channel,i,E_lo,E_hi,E_ctr,obs,pred_sm,pred_geo,bkg,P_sm,P_geo,dphi,dphi_base,dphi_breath,dphi_thread,thread_weight,thread_amp,thread_phase,breath_amp,breath_phase,k_rt,kappa_gate,eta,omega
MINOS_dis_FHC,0,0.0,1.0,0.5,35.0,39.7,47.507275670512094,1.5,0.0031510773562207772,0.0037950912195486314,-0.005479363671056216,0.0011298739728491207,-0.0002536965466290314,-0.006355541097276305,1.0,5.0,-1.5707963267948966,2.5,-1.5707963267948966,180.0,0.0,0.0,0.0038785094488762877
MINOS_dis_FHC,1,1.0,1.5,1.25,82.0,90.5,96.42616708557775,2.0,0.08269924613992441,0.08823698117355731,-0.009905003559217005,0.002042464489381103,-0.00045860529582940297,-0.011488862752768706,1.0,5.0,-1.5707963267948966,2.5,-1.5707963267948966,180.0,0.0,0.0,0.0038785094488762877
MINOS_dis_FHC,2,1.5,2.0,1.75,65.0,69.6,76.91619071755356,1.5,0.05670881969848063,0.0628012211710422,-0.012855430151324197,0.0026508581670690906,-0.0005952111286296506,-0.014911077189763637,1.0,5.0,-1.5707963267948966,2.5,-1.5707963267948966,180.0,0.0,0.0,0.0038785094488762877
MINOS_dis_FHC,3,2.0,2.5,2.25,102.0,109.60000000000001,115.41645083905111,1.2,0.2608855228229453,0.27488393442921655,-0.01580585674343139,0.0032592518447570784,-0.0007318169614298981,-0.01833329162675857,1.0,5.0,-1.5707963267948966,2.5,-1.5707963267948966,180.0,0.0,0.0,0.0038785094488762877
MINOS_dis_FHC,4,2.5,3.0,2.75,148.0,156.2,162.7955042385471,1.0,0.43896441101951456,0.45761899628659286,-0.018756283335538578,0.0038676455224450654,-0.0008684227942301457,-0.021755506063753496,1.0,5.0,-1.5707963267948966,2.5,-1.5707963267948966,180.0,0.0,0.0,0.0038785094488762877
MINOS_dis_FHC,5,3.0,4.0,3.5,325.0,338.8,351.01853219330627,0.8,0.6190680684508663,0.6414470717769457,-0.02318192322369937,0.004780236038977048,-0.0010733315434305172,-0.026888827719245903,1.0,5.0,-1.5707963267948966,2.5,-1.5707963267948966,180.0,0.0,0.0,0.0038785094488762877
MINOS_dis_FHC,6,4.0,5.0,4.5,290.0,299.2,308.9040100642477,0.7,0.7553847699173472,0.7799417595644405,-0.029082776407913756,0.005997023394353025,-0.0013465432090310127,-0.03373325659323577,1.0,5.0,-1.5707963267948966,2.5,-1.5707963267948966,180.0,0.0,0.0,0.0038785094488762877
MINOS_dis_FHC,7,5.0,6.0,5.5,210.0,216.1,222.6651691650683,1.0,0.831271946827495,0.8566435923556128,-0.03498362959212814,0.007213810749729001,-0.0016197548746315084,-0.040577685467225635,1.0,5.0,-1.5707963267948966,2.5,-1.5707963267948966,180.0,0.0,0.0,0.0038785094488762877
MINOS_dis_FHC,8,6.0,8.0,7.0,160.0,166.3,171.02264090272513,0.9,0.8934043938655446,0.9189136328809242,-0.04383490936844972,0.009038991782792964,-0.002029572373032251,-0.050844328778210435,1.0,5.0,-1.5707963267948966,2.5,-1.5707963267948966,180.0,0.0,0.0,0.0038785094488762877
MINOS_dis_FHC,9,8.0,10.0,9.0,110.0,113.1,116.0767702412169,0.8,0.9345643709271813,0.9593371528317015,-0.055636615736878475,0.011472566493544917,-0.0025759957042332414,-0.06453318652619015,1.0,5.0,-1.5707963267948966,2.5,-1.5707963267948966,180.0,0.0,0.0,0.0038785094488762877
