t_s,drive,cube_x,cube_y,cube_z,cube_vx,cube_vy,cube_vz,cube_ax,cube_ay,cube_az,bubble_x,bubble_y,bubble_z,bubble_vx,bubble_vy,bubble_vz,bubble_ax,bubble_ay,bubble_az,Q_xx,Q_yy,Q_zz,Q_xy,Q_xz,Q_yz,Qddot_xx,Qddot_yy,Qddot_zz,Qddot_xy,Qddot_xz,Qddot_yz,h_plus_proxy,h_cross_proxy,h_plus_A,h_cross_A,h_plus_B,h_cross_B,h_plus_AB,h_cross_AB
0.0,0.0,-2.5000000004468306,-2.5000000004468306,-2.4985259231578096,-4.134836964634327e-06,-4.134836964634327e-06,1.0967475604182884,-0.03425666983539992,-0.03425666983539992,-37998.807531175786,-2.500000000152008,-2.500000000152008,-2.4734187410047546,-1.8707999520856558e-06,-1.8707999520856558e-06,-76.32942730722385,-0.028486236783746843,-0.028486236783746843,276425.6119216327,-0.0002047512953458827,-0.0002047512953462366,0.00040950259069786124,1.1886882894662776e-08,8.326672684688674e-17,1.0408340855860843e-16,-787.3213015859365,-787.3213015878573,1574.642603176355,0.6453909679257777,5.9371814131736755e-09,1.3387762010097504e-09,1.9208528101444244e-09,1.2907819358515553,0.0,0.0,0.0,0.0,0.0,0.0
0.000244140625,0.040690104166666664,-2.5000000028193323,-2.5000000028193323,-2.499143561494306,-1.3286244200915328e-05,-1.3286244200915328e-05,-3.261978526867942,-0.039715205495809064,-0.039715205495809064,1750.5694041745073,-2.500000001843047,-2.500000001843047,-2.48405843803214,-1.0420205517428957e-05,-1.0420205517428957e-05,-30.62885196265064,-0.040884231213702486,-0.040884231213702486,84791.35764400812,-7.66637625033012e-05,-7.666376250348161e-05,0.00015332752501281965,8.048317438891228e-08,-2.0816681711721685e-16,5.551115123125783e-17,-866.9448519624711,-866.9448519627331,1733.8897039194417,0.9748140776791843,8.731149137020111e-10,-1.1641532182693481e-10,2.6193447411060333e-10,1.9496281553583685,0.0,0.0,0.0,0.0,0.0,0.0
0.00048828125,0.08138020833333333,-2.5000000075166047,-2.5000000075166047,-2.4998111369207345,-2.270447849457614e-05,-2.270447849457614e-05,-2.27045655193918,-0.035637243851567336,-0.035637243851567336,5352.2120778499375,-2.5000000059060157,-2.5000000059060157,-2.488987598562838,-2.0326687629086292e-05,-2.0326687629086292e-05,-15.6378085431272,-0.03845466239423235,-0.03845466239423235,35042.26916416923,-4.243224267097556e-05,-4.2432242671211484e-05,8.48644853488241e-05,2.260160646520848e-07,2.0816681711721685e-16,1.6653345369377348e-16,-580.1368751513655,-580.1368751513073,1160.2737502966338,1.283415449084714,-2.2992026060819626e-09,-7.275957614183426e-10,-5.820766091346741e-11,2.566830898169428,0.0,0.0,0.0,0.0,0.0,0.0
0.000732421875,0.1220703125,-2.500000014326795,-2.500000014326795,-2.5001794347736177,-3.08060725090526e-05,-3.08060725090526e-05,-1.1010422971194882,-0.02893906352496648,-0.02893906352496648,3648.0730880753367,-2.5000000122424964,-2.5000000122424964,-2.4916971367917062,-2.913037563591009e-05,-2.913037563591009e-05,-8.955764726787878,-0.031730399993489866,-0.031730399993489866,17611.084357058233,-2.7184456582445005e-05,-2.718445658234092e-05,5.436891317003867e-05,4.500895446658826e-07,-5.828670879282072e-16,-6.938893903907228e-17,-147.87135976791615,-147.8713597690221,295.7427195391647,1.193441182229435,4.452886059880257e-09,1.3096723705530167e-09,1.1059455573558807e-09,2.38688236445887,0.0,0.0,0.0,0.0,0.0,0.0
0.0009765625,0.16276041666666666,-2.500000022862899,-2.500000022862899,-2.500329457324814,-3.725474499500555e-05,-3.725474499500555e-05,-0.37658815525695577,-0.022367274779425857,-0.022367274779425857,1955.9512016055764,-2.5000000204691366,-2.5000000204691366,-2.4933163296897103,-3.621684547094291e-05,-3.621684547094291e-05,-5.505106130585093,-0.024639805355123494,-0.024639805355123494,9504.560074769506,-1.8428599454077543e-05,-1.8428599454181627e-05,3.685719891435152e-05,7.461353341772781e-07,-2.1510571102112408e-16,5.551115123125783e-17,-63.42522526264656,-63.42522526171524,126.85045053467911,1.036850657663308,2.5902409106492996e-09,-2.9103830456733704e-10,-9.313225746154785e-10,2.073701315326616,0.0,0.0,0.0,0.0,0.0,0.0
0.001220703125,0.20345052083333334,-2.5000000327370997,-2.5000000327370997,-2.500359850782755,-4.2184709444772394e-05,-4.2184709444772394e-05,-0.007943444378450418,-0.01681221977173082,-0.01681221977173082,890.601540113594,-2.5000000301690926,-2.5000000301690926,-2.4943512350295594,-4.164753858461177e-05,-4.164753858461177e-05,-3.615426451431856,-0.01850197394481885,-0.01850197394481885,5352.672819599707,-1.2960430147271329e-05,-1.2960430147146429e-05,2.592086029941723e-05,1.1042344658512837e-06,1.0408340855860843e-16,1.1796119636642288e-16,-36.715013877896126,-36.71501387626631,73.43002775135392,0.8586146561137866,-4.2782630771398544e-09,-1.1932570487260818e-09,-1.6298145055770874e-09,1.7172293122275732,0.0,0.0,0.0,0.0,0.0,0.0
0.00146484375,0.244140625,-2.5000000436188277,-2.5000000436188277,-2.500334870393837,-4.586521666736958e-05,-4.586521666736958e-05,0.1495604784112474,-0.012413216576520475,-0.012413216576520475,316.46143764881896,-2.500000040977688,-2.500000040977688,-2.495058280752291,-4.569245532232419e-05,-4.569245532232419e-05,-2.536673809074959,-0.013599591118184087,-0.013599591118184087,3143.9635826410695,-9.546708323496245e-06,-9.546708323246444e-06,1.9093416654750173e-05,1.5134590642430779e-06,-2.0816681711721685e-17,-1.249000902703301e-16,-23.624873425782425,-23.624873426859267,47.24974683544133,0.6815468528366182,4.94765117764473e-10,1.3096723705530167e-09,1.076841726899147e-09,1.3630937056732364,0.0,0.0,0.0,0.0,0.0,0.0
0.001708984375,0.2848307291666667,-2.500000055245249,-2.500000055245249,-2.5002896615507355,-4.8569462364849514e-05,-4.8569462364849514e-05,0.19730959574583876,-0.009043802326832023,-0.009043802326832023,39.24394634813314,-2.5000000526022164,-2.5000000526022164,-2.495573361705089,-4.864833631523474e-05,-4.864833631523474e-05,-1.8929255033073251,-0.009838120879967263,-0.009838120879967263,1939.4889164610645,-7.489945152559796e-06,-7.489945152025501e-06,1.4979890308661897e-05,1.9630890733431106e-06,-2.2898349882893854e-16,2.0816681711721685e-17,-15.027028314187191,-15.027028317505028,30.05405664346472,0.5178169218124822,1.6298145055770874e-09,-6.984919309616089e-10,3.3178366720676422e-09,1.0356338436249644,0.0,0.0,0.0,0.0,0.0,0.0
0.001953125,0.3255208333333333,-2.500000067414615,-2.500000067414615,-2.5002413811605173,-5.05314353753188e-05,-5.05314353753188e-05,0.1940617948186392,-0.00651100979007925,-0.00651100979007925,-77.64034053698293,-2.5000000648175162,-2.5000000648175162,-2.495970424212619,-5.077596054185827e-05,-5.077596054185827e-05,-1.4883639787763667,-0.007015934357776554,-0.007015934357776554,1265.2338416495609,-6.297425946544255e-06,-6.29742594619731e-06,1.2594851898563297e-05,2.443276226553326e-06,2.914335439641036e-16,6.938893903907228e-18,-8.788549982244149,-8.78854998369934,17.577099969115807,0.373884244254441,-2.4156179279088974e-09,-6.693881005048752e-10,1.4551915228366852e-09,0.747768488508882,0.0,0.0,0.0,0.0,0.0,0.0
0.002197265625,0.3662109375,-2.5000000799750928,-2.5000000799750928,-2.5001973650723386,-5.193796926852145e-05,-5.193796926852145e-05,0.17071342329485983,-0.00462972622692355,-0.00462972622692355,-114.55164267478672,-2.500000077454408,-2.500000077454408,-2.496290776477235,-5.2285458954941886e-05,-5.2285458954941886e-05,-1.21907720812316,-0.004927827905447341,-0.004927827905447341,875.2578621158023,-5.602182896635721e-06,-5.6021828964830656e-06,1.1204365799079297e-05,2.9454008555682143e-06,-1.734723475976807e-16,-2.42861286636753e-16,-4.36842884492944,-4.368428842397407,8.736857676747604,0.25272685929667205,-1.4551915228366852e-10,2.9103830456733704e-09,-2.5320332497358322e-09,0.5054537185933441,0.0,0.0,0.0,0.0,0.0,0.0
