target_label,target_mz,g_bin,g_center,baseline,compare,delta_p_success,ratio_mad_success
T09,816.15,0,0.007171815552931395,ModeA_points,ModeB_points,0.0,
T09,816.15,1,0.038181500435962745,ModeA_points,ModeB_points,0.18181818181818182,
T09,816.15,2,0.07899819337937795,ModeA_points,ModeB_points,-0.06944444444444442,1.1796739462096117
T09,816.15,3,0.10516345273237146,ModeA_points,ModeB_points,0.275,2.092758183200228
T09,816.15,4,0.12459349817271292,ModeA_points,ModeB_points,0.0,0.404001879750353
T09,816.15,5,0.13916901305263268,ModeA_points,ModeB_points,0.09166666666666667,0.6145619425605413
T09,816.15,6,0.15125596273601696,ModeA_points,ModeB_points,0.20564516129032262,57.077106119645535
T09,816.15,7,0.5789640015366174,ModeA_points,ModeB_points,0.11376878905590271,1.6649292237841091
