fold,n_train_points,n_test_points,n_test_galaxies,A_best,alpha_best,chi2_train_base,chi2_train_best,delta_chi2_train,chi2_test_base,chi2_test_best,delta_chi2_test,use_env_scale,env_model,thread_mode,thread_q,thread_xi,thread_norm,thread_r_weight_power,thread_S0,thread_gate_p,thread_k2,thread_k4
0,2742,649,35,0.1778279410038923,0.001,783.3403356086048,143.15843273608044,640.1819028725245,162.50260233212413,37.36191574978858,125.14068658233555,,thread,down,0.6,0.5,median,1.0,,4.0,1.0,0.0
1,2803,588,35,0.1778279410038923,0.001,761.6235032710279,154.73989637796154,606.8836068930664,184.21943466970106,25.780452107724788,158.43898256197627,,thread,down,0.6,0.5,median,1.0,,4.0,1.0,0.0
2,2596,795,35,0.1778279410038923,0.001,763.8170231185914,129.94702727984142,633.8699958387499,182.02591482213748,50.573317727377805,131.45259709475968,,thread,down,0.6,0.5,median,1.0,,4.0,1.0,0.0
3,2694,697,35,0.1778279410038923,0.001,743.6123798784224,144.5549719653675,599.0574079130549,202.23055806230656,35.96537650932154,166.265181552985,,thread,down,0.6,0.5,median,1.0,,4.0,1.0,0.0
4,2729,662,35,0.1778279410038923,0.001,730.9785098862692,149.68106468068973,581.2974452055795,214.86442805445978,30.83928380521937,184.0251442492404,,thread,down,0.6,0.5,median,1.0,,4.0,1.0,0.0
