fold,n_train_points,n_test_points,n_test_galaxies,A_best,alpha_best,chi2_train_base,chi2_train_best,delta_chi2_train,chi2_test_base,chi2_test_best,delta_chi2_test,use_env_scale,env_model,thread_mode,thread_q,thread_xi,thread_norm,thread_r_weight_power,thread_S0,thread_gate_p,thread_k2,thread_k4
0,2742,649,35,0.1778279410038923,0.001,783.3403356086048,143.1584327431387,640.1819028654661,162.50260233212413,37.361915749966585,125.14068658215754,,none,down,0.6,0.5,median,1.0,,4.0,1.0,0.0
1,2803,588,35,0.1778279410038923,0.001,761.6235032710279,154.73989638538774,606.8836068856401,184.21943466970106,25.780452107717583,158.43898256198347,,none,down,0.6,0.5,median,1.0,,4.0,1.0,0.0
2,2596,795,35,0.1778279410038923,0.001,763.8170231185914,129.94702817681215,633.8699949417792,182.02591482213748,50.57332031629318,131.4525945058443,,none,down,0.6,0.5,median,1.0,,4.0,1.0,0.0
3,2694,697,35,0.1778279410038923,0.001,743.6123798784224,144.5549719791967,599.0574078992257,202.23055806230656,35.96537651390861,166.26518154839795,,none,down,0.6,0.5,median,1.0,,4.0,1.0,0.0
4,2729,662,35,0.1778279410038923,0.001,730.9785098862692,149.68106468788594,581.2974451983832,214.86442805445978,30.839283805219353,184.02514424924044,,none,down,0.6,0.5,median,1.0,,4.0,1.0,0.0
