fold,n_train_points,n_test_points,n_test_galaxies,A_best,alpha_best,chi2_train_base,chi2_train_best,delta_chi2_train,chi2_test_base,chi2_test_best,delta_chi2_test,use_env_scale,env_model,thread_mode,thread_q,thread_xi,thread_norm,thread_norm_scale_train,thread_r_weight_power,thread_S0,thread_gate_p,thread_k2,thread_k4
0,2742,649,35,0.0,0.001,783.3403356086048,783.3403356086048,0.0,162.50260233212413,162.50260233212413,0.0,,none,down,0.6,0.5,median,1.0,1.0,,4.0,1.0,0.0
1,2803,588,35,0.0,0.001,761.6235032710279,761.6235032710279,0.0,184.21943466970106,184.21943466970106,0.0,,none,down,0.6,0.5,median,1.0,1.0,,4.0,1.0,0.0
2,2596,795,35,0.0,0.001,763.8170231185914,763.8170231185914,0.0,182.02591482213748,182.02591482213748,0.0,,none,down,0.6,0.5,median,1.0,1.0,,4.0,1.0,0.0
3,2694,697,35,0.0,0.001,743.6123798784224,743.6123798784224,0.0,202.23055806230656,202.23055806230656,0.0,,none,down,0.6,0.5,median,1.0,1.0,,4.0,1.0,0.0
4,2729,662,35,0.0,0.001,730.9785098862692,730.9785098862692,0.0,214.86442805445978,214.86442805445978,0.0,,none,down,0.6,0.5,median,1.0,1.0,,4.0,1.0,0.0
