thread_weight_app,thread_weight_dis,chi2_geo_total,delta_total,pos_channels,exit_code,ok,evidence_dir
6.0,0.5,258.275,0.936,3,0,True,logs\weak\2026-03-03_run14\model_grid_thread_weightapp_sweep\wapp_6__wdis_0p5
5.0,0.5,258.281,0.93,3,0,True,logs\weak\2026-03-03_run14\model_grid_thread_weightapp_sweep\wapp_5__wdis_0p5
4.0,0.5,258.287,0.924,3,0,True,logs\weak\2026-03-03_run14\model_grid_thread_weightapp_sweep\wapp_4__wdis_0p5
3.0,0.5,258.293,0.918,3,0,True,logs\weak\2026-03-03_run14\model_grid_thread_weightapp_sweep\wapp_3__wdis_0p5
2.0,0.5,258.299,0.912,3,0,True,logs\weak\2026-03-03_run14\model_grid_thread_weightapp_sweep\wapp_2__wdis_0p5
1.5,0.5,258.302,0.909,3,0,True,logs\weak\2026-03-03_run14\model_grid_thread_weightapp_sweep\wapp_1p5__wdis_0p5
1.0,0.5,258.305,0.906,3,0,True,logs\weak\2026-03-03_run14\model_grid_thread_weightapp_sweep\wapp_1__wdis_0p5
0.5,0.5,258.308,0.903,3,0,True,logs\weak\2026-03-03_run14\model_grid_thread_weightapp_sweep\wapp_0p5__wdis_0p5
0.0,0.5,258.311,0.9,3,0,True,logs\weak\2026-03-03_run14\model_grid_thread_weightapp_sweep\wapp_0__wdis_0p5
