setting,scan,tic,g,drift_obs_ppm,drift_state_ppm,residual_ppm,width_obs_ppm
ModeA_points,0,3283382.1299397945,0.01522264820171936,-4.208791674172012,-4.208791674172012,0.0,0.0
ModeA_points,1,2380487.9334179163,0.0,-7.4019407081210895,-5.166736384356735,-2.2352043237643544,0.0
ModeA_points,2,2509873.474432647,0.0,-7.528600024802124,-5.8752954764903516,-1.6533045483117723,0.0
ModeA_points,3,2525324.9732123613,0.0,-7.286297536398337,-6.298596094462747,-0.9877014419355898,0.0
ModeA_points,4,2530265.7412890196,0.0,-8.390266480200756,-6.92609721018415,-1.4641692700166065,0.0
ModeA_points,5,2401881.2098402977,0.0,-6.883318281965353,-6.913263531718511,0.029945249753157377,0.0
ModeA_points,6,2462515.8906633854,0.0,-8.535709058155092,-7.399997189649485,-1.1357118685056067,0.0
ModeA_points,7,2390783.260497451,0.0,-6.677498633816026,-7.183247622899447,0.505748989083421,0.0
ModeA_points,8,2351516.6440737844,0.0,-8.099092189478071,-7.458000992873035,-0.6410911966050366,0.0
ModeA_points,9,2513904.681209579,0.0,-8.505725049887838,-7.772318209977476,-0.7334068399103622,0.0
ModeA_points,10,2397256.0959011912,0.0,-9.705630520957316,-8.352311903271428,-1.353318617685888,0.0
ModeA_points,11,2923717.602377236,0.005007651206608168,-9.558065823473553,-8.714038079332065,-0.8440277441414885,0.0
ModeA_points,12,3979136.5078048706,0.03498308698447094,-9.009569548367699,-8.802697520042756,-0.206872028324943,0.0
ModeA_points,13,5352533.394866943,0.07398956107161578,-4.341294795445141,-7.464276702663471,3.12298190721833,0.0
ModeA_points,14,5944532.884994507,0.09080320976180689,-4.618921245841848,-6.610670065616985,1.991748819775137,0.0
ModeA_points,15,5420561.153549194,0.0759216486067216,-11.252076320386768,-8.00309194204792,-3.2489843783388483,0.0
ModeA_points,16,5281090.863632202,0.07196048901707718,-10.83299371274086,-8.852062473255803,-1.9809312394850576,0.0
ModeA_points,17,4588534.853096008,0.05229088852987619,-10.131582959621806,-9.235918619165604,-0.8956643404562019,0.0
ModeA_points,18,3770235.6350193024,0.02904999760742772,-8.967535992205756,-9.155403831077649,0.1878678388718935,0.0
ModeA_points,19,3789452.792415075,0.029595792897229415,-10.390862742443902,-9.526041504487525,-0.8648212379563773,0.0
ModeA_points,20,4006572.075941518,0.03576229712224655,-7.95576789863869,-9.054959422732875,1.0991915240941843,0.0
ModeA_points,21,4677780.497927576,0.05482559496856623,-9.792470752096468,-9.276212821541954,-0.5162579305545147,0.0
ModeA_points,22,6470132.466704965,0.1057310042379251,-9.9318951849339,-9.472917530559538,-0.4589776543743618,0.0
ModeA_points,23,4969517.163305223,0.06311134163475109,-10.63178286132833,-9.820577129790177,-0.8112057315381538,0.0
ModeA_points,24,5196242.3015419245,0.0695506661394487,-10.966877897879948,-10.164467360217108,-0.8024105376628405,0.0
ModeA_points,25,4407854.425876617,0.04715930095400535,-9.881971009122502,-10.079718454888726,0.1977474457662236,16.343160621377137
ModeA_points,26,3548658.1138662696,0.02275687293343905,-9.186417694603282,-9.811728226803092,0.6253105321998103,4.478016278347198
ModeA_points,27,3556811.522005558,0.022988441612750245,-10.183740300268807,-9.923331848842807,-0.26040845142600055,0.0
ModeA_points,28,3383915.835397616,0.0180779520208607,-8.537113317356207,-9.507466289396827,0.9703529720406205,0.0
ModeA_points,29,3149993.6343551874,0.011434220438733572,-8.23158911049933,-9.124703135727579,0.8931140252282486,0.0
ModeA_points,30,3117129.5615745187,0.010500832853984184,-8.677686441043699,-8.990598127322414,0.31291168627871535,0.0
ModeA_points,31,2675908.3499735594,0.0,-8.92839732326513,-8.971937886105229,0.04354056284009822,0.0
ModeA_points,32,2889038.8407482207,0.004022723812641156,-8.374834504300177,-8.792806871563712,0.4179723672635358,0.0
ModeA_points,33,2737897.081685409,0.0,-9.203101039140588,-8.915895121836774,-0.2872059173038135,0.0
ModeA_points,34,2743086.2245913744,0.0,-8.307419920781275,-8.733352561520125,0.42593264073884995,0.0
ModeA_points,35,2613870.2637119293,0.0,-8.990179041543707,-8.810400505527198,-0.17977853601650828,0.0
ModeA_points,36,2627059.1747295856,0.0,-9.414706982404416,-8.991692448590364,-0.42301453381405274,0.0
ModeA_points,37,2602167.789901376,0.0,-9.881755735653302,-9.258711434709245,-0.6230443009440574,0.0
ModeA_points,38,2791512.1459926367,0.0012528234818443256,-8.919810554684888,-9.157041170701937,0.2372306160170492,0.0
ModeA_points,39,2942203.378196666,0.005532674193243772,-10.094635695361434,-9.438319528099786,-0.6563161672616484,0.0
ModeA_points,40,2581726.5941339135,0.0,-8.871752136547766,-9.26834931063418,0.3965971740864145,17.41144734465027
ModeA_points,41,2600754.642994046,0.0,-9.352984006968148,-9.29373971953437,-0.05924428743377774,0.0
ModeA_points,42,2445801.4730727673,0.0,-9.715216712753737,-9.42018281750018,-0.2950338952535567,0.0
ModeA_points,43,2505110.0495746136,0.0,-9.566804503169207,-9.464169323200888,-0.10263517996831872,0.0
ModeA_points,44,2716225.1262152195,0.0,-7.926938197313952,-9.002999985434807,1.076061788120855,0.0
ModeA_points,45,2503655.107281685,0.0,-9.377211044394233,-9.115263303122635,-0.26194774127159803,0.0
ModeA_points,46,2587481.240337208,0.0,-8.853631918217022,-9.036773887650952,0.18314196943392957,0.0
ModeA_points,47,2507139.2566640377,0.0,-9.166025363993844,-9.07554933055382,-0.09047603344002475,19.19965214316158
ModeA_points,48,2531004.30876565,0.0,-9.818266564533975,-9.298364500747866,-0.5199020637861089,0.0
ModeA_points,49,2557580.4500437975,0.0,-8.794553672159472,-9.147221252171347,0.35266758001187526,0.0
ModeA_points,50,2733562.565334618,0.0,-7.970583813251378,-8.794230020495355,0.8236462072439776,0.0
ModeA_points,51,2574523.3049901724,0.0,-8.663690705331128,-8.755068225946086,0.09137752061495874,9.964277257393523
ModeA_points,52,2535436.4180521965,0.0,-8.14121315491471,-8.570911704636673,0.4296985497219623,0.0
ModeA_points,53,2611260.7055161,0.0,-8.616171866916078,-8.584489753320495,-0.031682113595582706,0.0
ModeA_points,54,2954800.7348273993,0.005890457489253973,-11.517266076181349,-9.464322650178751,-2.0529434260025976,0.0
ModeA_points,55,2598925.15540904,0.0,-7.974573560628772,-9.017397923313757,1.0428243626849847,0.0
ModeA_points,56,2690535.6353217363,0.0,-9.9826844220033,-9.30698387292062,-0.6757005490826806,0.0
ModeA_points,57,2564435.408661008,0.0,-8.328550250176097,-9.013453786097262,0.6849035359211655,0.0
ModeA_points,58,2682699.087386906,0.0,-9.706626852752844,-9.221405706093936,-0.48522114665890825,0.0
ModeA_points,59,2851852.79189156,0.0029665858056346778,-7.547546426729342,-8.719247922284557,1.1717014955552152,0.0
ModeA_points,60,2922249.0178829804,0.004965941265687522,-4.345212531873008,-7.407037305161093,3.0618247732880848,0.0
