a_set,b_set,n_rows,E_obs,E_model,V_model,gamma_eff_km_inv,feat_gap,feat_jitter,dt_median,dt_mad,gap_median,gap_mad
0,0,12600,0.9992063492063492,-0.3184764411125164,0.450393702317637,8.105607513315096e-25,5858.0,4035.0,nan,nan,5858.0,4035.0
0,1,12572,0.998250079541839,-0.3184764411125164,0.450393702317637,8.105607513315096e-25,5940.0,4093.0,nan,nan,5940.0,4093.0
1,0,12892,0.9972075705864102,-0.3184764411125164,0.450393702317637,8.105607513315096e-25,5643.0,3938.0,nan,nan,5643.0,3938.0
1,1,265,0.539622641509434,0.31847644111251633,0.450393702317637,8.105607513315096e-25,256288.5,182122.5,nan,nan,256288.5,182122.5
