shift_app,shift_dis,chi2_sm_total,chi2_geo_total,delta_total,pos_channels,lock_ok,delta_T2K_app_FHC,delta_T2K_app_RHC,delta_T2K_dis_FHC,delta_T2K_dis_RHC
0,0,259.210200905533,258.31064930109176,0.8995516044412284,3,True,0.6527932640918692,0.2591903961456907,-0.027561886172904337,0.015129830376530151
0,-1,1471.4982613596276,1470.5872892746181,0.9109720850094618,3,True,0.6527932640918692,0.2591903961456907,0.03879250536101608,-0.039804080589263435
0,1,2129.610957838912,2128.6300390524307,0.9809187864811975,4,True,0.6527932640918692,0.2591903961456907,0.029049558099359274,0.03988556814408639
-4,0,2151.8330650748026,2150.956302265651,0.876762809151387,3,True,0.772932778574841,0.1162620863731263,-0.027561886172904337,0.015129830376530151
0,2,2550.2598242371478,2549.2991704644546,0.9606537726931492,4,True,0.6527932640918692,0.2591903961456907,0.01813847976472971,0.03053163269134984
2,0,3164.9624584417916,3163.9569163760107,1.0055420657809009,3,True,0.8907638572184169,0.12721026435883687,-0.027561886172904337,0.015129830376530151
3,0,3258.4820381597156,3257.396243004173,1.0857951555426553,3,True,0.5885826894959791,0.5096445218432564,-0.027561886172904337,0.015129830376530151
-4,-1,3364.121125528897,3363.2329422391776,0.8881832897195636,3,True,0.772932778574841,0.1162620863731263,0.03879250536101608,-0.039804080589263435
1,0,3462.566353518168,3461.950200040737,0.6161534774309985,3,True,0.40855707238051764,0.22002846084706107,-0.027561886172904337,0.015129830376530151
0,3,3841.221038219233,3840.228279562347,0.9927586568860534,4,True,0.6527932640918692,0.2591903961456907,0.04279021866932453,0.037984777979318096
-4,1,4022.2338220081815,4021.27569201699,0.9581299911915266,4,True,0.772932778574841,0.1162620863731263,0.029049558099359274,0.03988556814408639
4,0,4343.439364374383,4342.798594200525,0.6407701738580727,3,True,0.23041497683607304,0.4227872528182388,-0.027561886172904337,0.015129830376530151
0,4,4363.34049047594,4362.343122775626,0.997367700313589,4,True,0.6527932640918692,0.2591903961456907,0.0441168502252367,0.0412671898507142
2,-1,4377.250518895886,4376.233556349537,1.0169625463486227,3,True,0.8907638572184169,0.12721026435883687,0.03879250536101608,-0.039804080589263435
-4,2,4442.882688406417,4441.944823429014,0.9378649774034784,4,True,0.772932778574841,0.1162620863731263,0.01813847976472971,0.03053163269134984
3,-1,4470.77009861381,4469.672882977699,1.097215636110377,3,True,0.5885826894959791,0.5096445218432564,0.03879250536101608,-0.039804080589263435
1,-1,4674.854413972262,4674.226840014263,0.6275739579987203,3,True,0.40855707238051764,0.22002846084706107,0.03879250536101608,-0.039804080589263435
2,1,5035.3632153751705,5034.276306127349,1.0869092478214952,4,True,0.8907638572184169,0.12721026435883687,0.029049558099359274,0.03988556814408639
0,5,5055.656176836076,5054.671377544977,0.9847992910990797,4,True,0.6527932640918692,0.2591903961456907,0.03746743645024253,0.03534819441142645
3,1,5128.8827950930945,5127.715632755511,1.1671623375832496,4,True,0.5885826894959791,0.5096445218432564,0.029049558099359274,0.03988556814408639
1,1,5332.967110451546,5332.269589792076,0.6975206594706833,4,True,0.40855707238051764,0.22002846084706107,0.029049558099359274,0.03988556814408639
2,2,5456.012081773407,5454.945437539373,1.066644234033447,4,True,0.8907638572184169,0.12721026435883687,0.01813847976472971,0.03053163269134984
3,2,5549.531661491331,5548.384764167536,1.1468973237952014,4,True,0.5885826894959791,0.5096445218432564,0.01813847976472971,0.03053163269134984
4,-1,5555.7274248284775,5555.075234174052,0.6521906544257945,3,True,0.23041497683607304,0.4227872528182388,0.03879250536101608,-0.039804080589263435
-4,3,5733.843902388502,5732.873932526906,0.9699698615959278,4,True,0.772932778574841,0.1162620863731263,0.04279021866932453,0.037984777979318096
1,2,5753.615976849783,5752.938721204099,0.6772556456835446,4,True,0.40855707238051764,0.22002846084706107,0.01813847976472971,0.03053163269134984
0,6,6064.854140974789,6063.850704728045,1.0034362467440587,4,True,0.6527932640918692,0.2591903961456907,0.04778940429696377,0.043663182209002116
4,1,6213.840121307762,6213.1179839518645,0.7221373558977575,4,True,0.23041497683607304,0.4227872528182388,0.029049558099359274,0.03988556814408639
-4,4,6255.96335464521,6254.988775740186,0.9745789050239182,4,True,0.772932778574841,0.1162620863731263,0.0441168502252367,0.0412671898507142
0,7,6552.33997888464,6551.332024687374,1.007954197266372,4,True,0.6527932640918692,0.2591903961456907,0.05285546815866837,0.043115068870292816
4,2,6634.488987705999,6633.787115363888,0.7018723421106188,4,True,0.23041497683607304,0.4227872528182388,0.01813847976472971,0.03053163269134984
2,3,6746.973295755492,6745.874546637266,1.0987491182258964,4,True,0.8907638572184169,0.12721026435883687,0.04279021866932453,0.037984777979318096
3,3,6840.492875473416,6839.313873265428,1.1790022079876508,4,True,0.5885826894959791,0.5096445218432564,0.04279021866932453,0.037984777979318096
-4,5,6948.279041005346,6947.3170305095355,0.9620104958103184,4,True,0.772932778574841,0.1162620863731263,0.03746743645024253,0.03534819441142645
1,3,7044.5771908318675,7043.867830301992,0.7093605298750845,4,True,0.40855707238051764,0.22002846084706107,0.04279021866932453,0.037984777979318096
2,4,7269.092748012198,7267.989389850546,1.1033581616520678,4,True,0.8907638572184169,0.12721026435883687,0.0441168502252367,0.0412671898507142
3,4,7362.612327730122,7361.428716478708,1.1836112514138222,4,True,0.5885826894959791,0.5096445218432564,0.0441168502252367,0.0412671898507142
0,8,7364.926083386219,7363.906328150282,1.0197552359368274,4,True,0.6527932640918692,0.2591903961456907,0.059050432704680134,0.04872114299405439
1,4,7566.696643088575,7565.982673515272,0.7139695733030749,4,True,0.40855707238051764,0.22002846084706107,0.0441168502252367,0.0412671898507142
0,9,7746.818874704173,7745.800032092032,1.0188426121412704,4,True,0.6527932640918692,0.2591903961456907,0.056391267498838715,0.05046768440524829
4,3,7925.450201688083,7924.71622446178,0.7339772263030682,4,True,0.23041497683607304,0.4227872528182388,0.04279021866932453,0.037984777979318096
-4,6,7957.477005144058,7956.496357692604,0.9806474514543879,4,True,0.772932778574841,0.1162620863731263,0.04778940429696377,0.043663182209002116
2,5,7961.408434372335,7960.317644619896,1.0907897524393775,4,True,0.8907638572184169,0.12721026435883687,0.03746743645024253,0.03534819441142645
3,5,8054.928014090259,8053.756971248058,1.1710428422011319,4,True,0.5885826894959791,0.5096445218432564,0.03746743645024253,0.03534819441142645
0,10,8094.436721575199,8093.421916783451,1.0148047917482472,4,True,0.6527932640918692,0.2591903961456907,0.057377177166017646,0.045443954344591475
0,11,8096.384398236714,8095.382813312999,1.0015849237151997,4,True,0.6527932640918692,0.2591903961456907,0.04959775226689089,0.04000351121112544
0,12,8176.091808244002,8175.105728430166,0.9860798138361133,4,True,0.6527932640918692,0.2591903961456907,0.03997173667357856,0.03412441692489665
1,5,8259.012329448711,8258.310928284622,0.7014011640894751,4,True,0.40855707238051764,0.22002846084706107,0.03746743645024253,0.03534819441142645
-4,7,8444.96284305391,8443.977677651934,0.9851654019767011,4,True,0.772932778574841,0.1162620863731263,0.05285546815866837,0.043115068870292816
4,4,8447.56965394479,8446.83106767506,0.7385862697301491,4,True,0.23041497683607304,0.4227872528182388,0.0441168502252367,0.0412671898507142
