target_label,target_mz,g_bin,g_center,baseline,compare,delta_p_success,ratio_mad_success
T01,1359.8,0,0.004412881153552691,ModeA_points,ModeB_holdout_points,-0.1111111111111111,
T01,1359.8,1,0.01595734449985362,ModeA_points,ModeB_holdout_points,0.125,0.4704612862825037
T01,1359.8,2,0.06883309088167935,ModeA_points,ModeB_holdout_points,-0.125,0.38731714684881263
T01,1359.8,3,0.1263063164557513,ModeA_points,ModeB_holdout_points,-0.125,14.346337034244886
T01,1359.8,4,0.1461649808271278,ModeA_points,ModeB_holdout_points,0.125,0.0
T01,1359.8,5,0.16006722105024662,ModeA_points,ModeB_holdout_points,-0.125,0.30261059037649524
T01,1359.8,6,0.16798612839647648,ModeA_points,ModeB_holdout_points,0.22499999999999998,0.0
T01,1359.8,7,0.5853018247701445,ModeA_points,ModeB_holdout_points,0.09522702618936929,0.8116532949639038
T02,1359.47,0,0.00569866436721068,ModeA_points,ModeB_holdout_points,-0.19318181818181818,1.5088779551731868
T02,1359.47,1,0.02876741847903696,ModeA_points,ModeB_holdout_points,-0.4423076923076923,0.05811486682470958
T02,1359.47,2,0.0889835613482258,ModeA_points,ModeB_holdout_points,0.0,3.6508510139333725
T02,1359.47,3,0.13846613963391358,ModeA_points,ModeB_holdout_points,-0.3522727272727273,1.0431968389718644
T02,1359.47,4,0.15434882613821935,ModeA_points,ModeB_holdout_points,0.10833333333333334,0.11993262955404552
T02,1359.47,5,0.1647832953661028,ModeA_points,ModeB_holdout_points,-0.25,1.2268163088508848
T02,1359.47,6,0.17120579175793643,ModeA_points,ModeB_holdout_points,0.09722222222222221,1.8557903769461888
T02,1359.47,7,0.5866111563031892,ModeA_points,ModeB_holdout_points,0.009683299156983405,1.0191876494651135
T03,1359.59,0,0.005316659071309933,ModeA_points,ModeB_holdout_points,0.125,521688.43600010854
T03,1359.59,1,0.02116217298599692,ModeA_points,ModeB_holdout_points,-0.375,
T03,1359.59,2,0.0723230657588784,ModeA_points,ModeB_holdout_points,0.0,0.159544340215265
T03,1359.59,3,0.1263063164557513,ModeA_points,ModeB_holdout_points,0.375,0.8220233859737678
T03,1359.59,4,0.1461649808271278,ModeA_points,ModeB_holdout_points,0.3125,
T03,1359.59,5,0.16006722105024662,ModeA_points,ModeB_holdout_points,-0.07500000000000001,0.0
T03,1359.59,6,0.16798612839647648,ModeA_points,ModeB_holdout_points,-0.175,0.0
T03,1359.59,7,0.5853018247701445,ModeA_points,ModeB_holdout_points,0.09339841933984194,0.9453933209585457
T04,1359.68,0,0.00569866436721068,ModeA_points,ModeB_holdout_points,0.0,
T04,1359.68,1,0.02310051715780273,ModeA_points,ModeB_holdout_points,0.013888888888888895,
T04,1359.68,2,0.07858065627508085,ModeA_points,ModeB_holdout_points,-0.07692307692307693,
T04,1359.68,3,0.12821480058678353,ModeA_points,ModeB_holdout_points,0.0,
T04,1359.68,4,0.14731470788598583,ModeA_points,ModeB_holdout_points,-0.0625,0.0
T04,1359.68,5,0.16116347918552476,ModeA_points,ModeB_holdout_points,-0.10526315789473684,
T04,1359.68,6,0.16909299132485972,ModeA_points,ModeB_holdout_points,0.0,
T04,1359.68,7,0.5860271499502157,ModeA_points,ModeB_holdout_points,-0.09526733421500094,0.8602053033957447
T05,816.22,0,0.0,ModeA_points,ModeB_holdout_points,0.0,
T05,816.22,1,0.0,ModeA_points,ModeB_holdout_points,0.0,
T05,816.22,2,0.0,ModeA_points,ModeB_holdout_points,0.0,
T05,816.22,3,0.0,ModeA_points,ModeB_holdout_points,0.0,
T05,816.22,4,0.000346313614917381,ModeA_points,ModeB_holdout_points,0.0,
T05,816.22,5,0.0016839747538813258,ModeA_points,ModeB_holdout_points,0.0,
T05,816.22,6,0.0034036786689778187,ModeA_points,ModeB_holdout_points,0.125,
T05,816.22,7,0.5022270932836347,ModeA_points,ModeB_holdout_points,0.0074050453514739045,
T06,874.45,0,0.0082424044675146,ModeA_points,ModeB_holdout_points,-0.13636363636363635,1.3375643788403273
T06,874.45,1,0.028433427589498364,ModeA_points,ModeB_holdout_points,0.25,0.08048686680112929
T06,874.45,2,0.08120003595864428,ModeA_points,ModeB_holdout_points,0.07142857142857145,1.4310254695311935
T06,874.45,3,0.1345425418262956,ModeA_points,ModeB_holdout_points,-0.125,1.0408029656190207
T06,874.45,4,0.1521911981505308,ModeA_points,ModeB_holdout_points,0.16346153846153844,0.7258894926364587
T06,874.45,5,0.16262074072392968,ModeA_points,ModeB_holdout_points,0.2,1.2987321525374935
T06,874.45,6,0.169817032740045,ModeA_points,ModeB_holdout_points,-0.04999999999999999,2.1110087557768513
T06,874.45,7,0.5862305215505816,ModeA_points,ModeB_holdout_points,-0.004082879233576031,1.0607435230164772
T07,874.37,0,0.008494814022412079,ModeA_points,ModeB_holdout_points,-0.125,
T07,874.37,1,0.0311433155450222,ModeA_points,ModeB_holdout_points,-0.375,
T07,874.37,2,0.0889835613482258,ModeA_points,ModeB_holdout_points,-0.028846153846153855,0.0
T07,874.37,3,0.13846613963391358,ModeA_points,ModeB_holdout_points,0.25,
T07,874.37,4,0.15434882613821935,ModeA_points,ModeB_holdout_points,0.125,
T07,874.37,5,0.1647832953661028,ModeA_points,ModeB_holdout_points,0.15476190476190477,1.3217884210762354
T07,874.37,6,0.17120579175793643,ModeA_points,ModeB_holdout_points,0.0,
T07,874.37,7,0.5866111563031892,ModeA_points,ModeB_holdout_points,-0.023300650902199876,0.6194900397076959
T08,816.28,0,0.003266560394573015,ModeA_points,ModeB_holdout_points,0.0,
T08,816.28,1,0.013024658310974088,ModeA_points,ModeB_holdout_points,0.0,
T08,816.28,2,0.03396778084450232,ModeA_points,ModeB_holdout_points,0.0,0.009801202157810527
T08,816.28,3,0.08795814927195494,ModeA_points,ModeB_holdout_points,0.11538461538461536,3.164007112760447
T08,816.28,4,0.13846613963391358,ModeA_points,ModeB_holdout_points,0.175,0.4070043269257013
T08,816.28,5,0.15434882613821935,ModeA_points,ModeB_holdout_points,-0.09166666666666667,0.8419731923619267
T08,816.28,6,0.1647832953661028,ModeA_points,ModeB_holdout_points,-0.034090909090909116,1.466493010737784
T08,816.28,7,0.5847663541154822,ModeA_points,ModeB_holdout_points,0.020088327301723607,0.7697031790116963
T09,816.15,0,0.007481349418913531,ModeA_points,ModeB_holdout_points,0.0625,916255.7359992291
T09,816.15,1,0.027595906545903895,ModeA_points,ModeB_holdout_points,0.25,0.743567823125782
T09,816.15,2,0.07976612835461566,ModeA_points,ModeB_holdout_points,0.0,2.7259391402383213
T09,816.15,3,0.1345425418262956,ModeA_points,ModeB_holdout_points,0.3295454545454546,3.558391105250855
T09,816.15,4,0.1521911981505308,ModeA_points,ModeB_holdout_points,-0.06730769230769229,0.2576229250128069
T09,816.15,5,0.16262074072392968,ModeA_points,ModeB_holdout_points,0.19999999999999996,1.2640323623587137
T09,816.15,6,0.169817032740045,ModeA_points,ModeB_holdout_points,-0.17500000000000004,0.4630618752736556
T09,816.15,7,0.5862305215505816,ModeA_points,ModeB_holdout_points,0.1135422826729745,0.6454901711670903
T10,1359.91,0,0.009928849964064896,ModeA_points,ModeB_holdout_points,0.07692307692307693,
