target_label,target_mz,window_ppm,setting,g_bin,g_lo,g_hi,g_center,n_total,n_good,p_success,median_success_ppm,mad_success_ppm,frac_tail3
T03,1359.59,30.0,ModeA_points,0,0.0,0.048541040033943564,0.024270520016971782,8,1,0.125,-2.3257565455027773,0.0,0.0
T03,1359.59,30.0,ModeB_points,0,0.0,0.048541040033943564,0.024270520016971782,22,6,0.2727272727272727,1.5356893010687247,0.9883075376401707,0.0
T03,1359.59,30.0,ModeA_points,1,0.051367620690775585,0.09435548589472317,0.07286155329274938,19,4,0.21052631578947367,0.012443994139350156,1.1663245836653782,0.0
T03,1359.59,30.0,ModeB_points,1,0.051367620690775585,0.09435548589472317,0.07286155329274938,8,2,0.25,-1.233312088210403,0.49627514662951033,0.0
T03,1359.59,30.0,ModeA_points,2,0.09491169354212527,0.11407207354758034,0.10449188354485281,11,1,0.09090909090909091,-2.000957220170173,0.0,0.0
T03,1359.59,30.0,ModeB_points,2,0.09491169354212527,0.11407207354758034,0.10449188354485281,8,2,0.25,0.378015620228904,0.6759530089923256,0.0
T03,1359.59,30.0,ModeA_points,3,0.11436362903002245,0.13421207697912105,0.12428785300457175,8,1,0.125,-1.0655020111999796,0.0,0.0
T03,1359.59,30.0,ModeB_points,3,0.11436362903002245,0.13421207697912105,0.12428785300457175,26,2,0.07692307692307693,-1.12748731690405,0.4007949833240545,0.0
T03,1359.59,30.0,ModeA_points,4,0.13424649944152856,0.14409152666373679,0.13916901305263268,8,1,0.125,-1.665263673428505,0.0,0.0
T03,1359.59,30.0,ModeB_points,4,0.13424649944152856,0.14409152666373679,0.13916901305263268,30,3,0.1,-1.925890890977787,0.2540605681136925,0.0
T03,1359.59,30.0,ModeA_points,5,0.14464668789571283,0.15640064420804714,0.15052366605188,8,1,0.125,-2.4998608459451894,0.0,0.0
T03,1359.59,30.0,ModeB_points,5,0.14464668789571283,0.15640064420804714,0.15052366605188,32,3,0.09375,-2.4652865818775247,0.45507320441019816,0.0
T03,1359.59,30.0,ModeA_points,6,0.1564143250918949,0.16164814149591195,0.15903123329390342,8,3,0.375,-1.8484127098527627,0.6993697231359477,0.0
T03,1359.59,30.0,ModeB_points,6,0.1564143250918949,0.16164814149591195,0.15903123329390342,14,2,0.14285714285714285,-1.7331620138152777,1.205393083740218,0.0
T03,1359.59,30.0,ModeA_points,7,0.16177063886555873,1.0,0.5808853194327793,244,41,0.1680327868852459,-2.050121576856801,0.6963676769837277,0.0
T03,1359.59,30.0,ModeB_points,7,0.16177063886555873,1.0,0.5808853194327793,183,33,0.18032786885245902,-2.0005720675149528,0.541783672270626,0.0
