group,sqrt_s_GeV,cos_lo,cos_hi,cos_ctr,obs_pb,stat_pb,sys1_frac,sys2_frac,pred_sm_pb,pred_geo_pb,res_sm,res_geo,pull_sm_diag,pull_geo_diag
0,189.0,-1.0,-0.8,-0.9,0.67,0.285,0.0108,0.0021,0.5230415728878893,0.5230415728878893,0.1469584271121107,0.1469584271121107,0.5154712081824329,0.5154712081824329
0,189.0,-0.8,-0.6,-0.7,0.47,0.16,0.0108,0.0021,0.5029199190802164,0.5029199190802164,-0.03291991908021641,-0.03291991908021641,-0.20564212269138535,-0.20564212269138535
0,189.0,-0.6,-0.4,-0.5,0.54,0.18,0.0108,0.0021,0.575472262586951,0.575472262586951,-0.03547226258695102,-0.03547226258695102,-0.19696086518150704,-0.19696086518150704
0,189.0,-0.4,-0.2,-0.3,0.62,0.13,0.0108,0.0021,0.7406986034080938,0.7406986034080938,-0.1206986034080938,-0.1206986034080938,-0.9271752537170761,-0.9271752537170761
0,189.0,-0.2,0.0,-0.1,1.27,0.19,0.0108,0.0021,0.9985989415436443,0.9985989415436443,0.27140105845635576,0.27140105845635576,1.4245795036362652,1.4245795036362652
0,189.0,0.0,0.2,0.1,1.35,0.2,0.0108,0.0021,1.3491732769936025,1.3491732769936025,0.0008267230063976339,0.0008267230063976339,0.004122262821488611,0.004122262821488611
0,189.0,0.2,0.4,0.3,2.03,0.25,0.0108,0.0021,1.7924216097579684,1.7924216097579684,0.23757839024203142,0.23757839024203142,0.9465437154831702,0.9465437154831702
0,189.0,0.4,0.6,0.5,2.15,0.26,0.0108,0.0021,2.3283439398367425,2.3283439398367425,-0.17834393983674257,-0.17834393983674257,-0.6831168339413338,-0.6831168339413338
0,189.0,0.6,0.8,0.7,2.85,0.3,0.0108,0.0021,2.956940267229924,2.956940267229924,-0.10694026722992378,-0.10694026722992378,-0.3545362060687779,-0.3545362060687779
0,189.0,0.8,1.0,0.9,3.77,0.42,0.0108,0.0021,3.678210591937513,3.678210591937513,0.09178940806248681,0.09178940806248681,0.21748817603216059,0.21748817603216059
1,192.0,-1.0,-0.8,-0.9,1.3,1.05,0.0108,0.0032,0.4353876331270104,0.4353876331270104,0.8646123668729897,0.8646123668729897,0.8233602848872501,0.8233602848872501
1,192.0,-0.8,-0.6,-0.7,0.7,0.55,0.0108,0.0032,0.41719091143377485,0.41719091143377485,0.2828090885662251,0.2828090885662251,0.5141455107796694,0.5141455107796694
1,192.0,-0.6,-0.4,-0.5,0.4,0.4499999999999999,0.0108,0.0032,0.4747419902207187,0.4747419902207187,-0.0747419902207187,-0.0747419902207187,-0.16608498672851096,-0.16608498672851096
1,192.0,-0.4,-0.2,-0.3,0.5,0.4499999999999999,0.0108,0.0032,0.608040869487842,0.608040869487842,-0.10804086948784197,-0.10804086948784197,-0.2400720191427104,-0.2400720191427104
1,192.0,-0.2,0.0,-0.1,1.9,0.7,0.0108,0.0032,0.8170875492351447,0.8170875492351447,1.082912450764855,1.082912450764855,1.5462952412084117,1.5462952412084117
1,192.0,0.0,0.2,0.1,0.8,0.5,0.0108,0.0032,1.1018820294626268,1.1018820294626268,-0.30188202946262677,-0.30188202946262677,-0.6036660276587054,-0.6036660276587054
1,192.0,0.2,0.4,0.3,2.0,0.8,0.0108,0.0032,1.4624243101702885,1.4624243101702885,0.5375756898297115,0.5375756898297115,0.6717033346940046,0.6717033346940046
