t_lo_GeV2,t_ctr_GeV2,t_hi_GeV2,dsdt_mb_per_GeV2,stat_mb_per_GeV2,sys_mb_per_GeV2
0.142962,0.14414,0.145328,33.65,0.24,1.853
0.145328,0.146515,0.14771,32.302,0.234,1.766
0.14771,0.148909,0.150118,30.473,0.226,1.683
0.150118,0.15133,0.152551,28.634,0.218,1.603
0.152551,0.153771,0.155,27.551,0.213,1.525
0.155,0.156221,0.157452,26.25,0.208,1.451
0.157452,0.158693,0.159942,25.092,0.202,1.38
0.159942,0.161189,0.162445,23.721,0.195,1.312
0.162445,0.163705,0.164974,22.677,0.19,1.246
0.164974,0.166239,0.167515,21.752,0.186,1.183
0.167515,0.168791,0.170078,20.011,0.177,1.123
0.170078,0.171369,0.172669,19.18,0.173,1.065
0.172669,0.173966,0.175277,18.237,0.168,1.01
0.175277,0.176583,0.177899,17.122,0.162,0.957
0.177899,0.179217,0.180548,16.427,0.158,0.906
0.180548,0.181874,0.183212,15.434,0.153,0.858
0.183212,0.184552,0.185903,14.965,0.149,0.812
0.185903,0.187249,0.188606,13.905,0.144,0.768
0.188606,0.18996,0.191329,12.957,0.138,0.726
0.191329,0.192702,0.194088,12.445,0.135,0.685
0.194088,0.195466,0.196855,11.711,0.13,0.647
0.196855,0.198244,0.199646,10.987,0.126,0.611
0.199646,0.201041,0.202452,10.371,0.122,0.576
