A,gamma,P_sm,P_phase,P_gksl,int_dphi
0.0,0.0,0.3234090883118191,0.3234090883118191,0.05358497087558595,0.0
0.0,0.005,0.3234090883118191,0.3234090883118191,0.03473529472039714,0.0
0.0,0.02,0.3234090883118191,0.3234090883118191,0.015203934737163399,0.0
0.005,0.0,0.3234090883118191,0.36915354371707815,0.043914530388069126,1.1733823596979647
0.005,0.005,0.3234090883118191,0.36915354371707815,0.03049417470090125,1.1733823596979647
0.005,0.02,0.3234090883118191,0.36915354371707815,0.014599052810527133,1.1733823596979647
0.01,0.0,0.3234090883118191,0.00967881956801677,0.02288185880000028,2.3467647193959293
0.01,0.005,0.3234090883118191,0.00967881956801677,0.02072715774829312,2.3467647193959293
0.01,0.02,0.3234090883118191,0.00967881956801677,0.013009612223169013,2.3467647193959293
0.05,0.0,0.3234090883118191,0.005170367528001917,0.0014301245121054271,11.733823596979649
0.05,0.005,0.3234090883118191,0.005170367528001917,0.0016962666096679113,11.733823596979649
0.05,0.02,0.3234090883118191,0.005170367528001917,0.0030529563665415834,11.733823596979649
