pair_shell,shell_offset,target_a,target_b,mz_a,mz_b,delta_mz,mean_mz,overlap_proxy,corridor_proxy,rejection_proxy,leak_reduction_proxy,effective_leak_ratio,sep_s0_used,sep_norm,stable_margin,reject_margin,leak_margin,nearest_stable_boundary_margin,stable_margin_norm,repulsive_corridor_margin,repulsive_reject_margin,repulsive_margin,repulsive_margin_norm,nearest_threshold_gap,boundary_confidence,classification,repulsive_delta_ref_median,repulsive_delta_over_median,repulsive_distance_rank_desc,repulsive_proximity_rank_asc,repulsive_geom_bucket,repulsive_tiebreak_active,weak_stable_delta_ref_median,weak_stable_delta_over_median,weak_stable_compactness_rank_asc,weak_stable_edge_rank_desc,weak_stable_geom_bucket,weak_stable_tiebreak_active
adjacent,1,T09,T05,816.15,816.22,0.07000000000005,816.185,0.9323938199059016,0.9323938199059016,0.0676061800940984,0.4661969099529507,0.5338030900470492,0.1100000000001273,0.3888888888887836,0.6823938199059015,0.6823938199059015,0.3661969099529508,0.3661969099529508,1.4647876398118034,-0.6823938199059015,-0.6823938199059015,-0.6823938199059015,-2.729575279623606,0.3661969099529508,STRONG_STABLE,STABLE-INTERMEDIATE-CANDIDATE,,,,,,0,,,,,,0
adjacent,1,T05,T08,816.22,816.28,0.0599999999999454,816.25,0.9417645335843,0.9417645335843,0.0582354664156998,0.47088226679215,0.5291177332078499,0.1100000000001273,0.3529411764701162,0.6917645335843001,0.6917645335843001,0.3708822667921501,0.3708822667921501,1.4835290671686003,-0.6917645335843001,-0.6917645335843001,-0.6917645335843001,-2.7670581343372005,0.3708822667921501,STRONG_STABLE,STABLE-INTERMEDIATE-CANDIDATE,,,,,,0,,,,,,0
adjacent,1,T08,T12,816.28,816.35,0.07000000000005,816.315,0.9323938199059016,0.9323938199059016,0.0676061800940984,0.4661969099529507,0.5338030900470492,0.1100000000001273,0.3888888888887836,0.6823938199059015,0.6823938199059015,0.3661969099529508,0.3661969099529508,1.4647876398118034,-0.6823938199059015,-0.6823938199059015,-0.6823938199059015,-2.729575279623606,0.3661969099529508,STRONG_STABLE,STABLE-INTERMEDIATE-CANDIDATE,,,,,,0,,,,,,0
adjacent,1,T12,T07,816.35,874.37,58.01999999999998,845.36,6.342115690100828e-26,6.342115690100828e-26,1.0,3.171057845050414e-26,1.0,0.1100000000001273,0.9981076896611022,-0.25,-0.25,-0.0999999999999999,-0.25,-1.0,0.25,0.25,0.25,1.0,0.0999999999999999,BORDERLINE,REPULSIVE,169.675,0.341947841461618,8.0,1.0,NEAR_THRESHOLD,1,,,,,,0
adjacent,1,T07,T06,874.37,874.45,0.0800000000000409,874.4100000000001,0.923116346386598,0.923116346386598,0.0768836536134019,0.461558173193299,0.538441826806701,0.1100000000001273,0.4210526315787899,0.673116346386598,0.673116346386598,0.3615581731932989,0.3615581731932989,1.446232692773196,-0.673116346386598,-0.673116346386598,-0.673116346386598,-2.692465385546392,0.3615581731932989,STRONG_STABLE,STABLE-INTERMEDIATE-CANDIDATE,,,,,,0,,,,,,0
adjacent,1,T06,T02,874.45,1359.47,485.02,1116.96,2.2829183937880144e-211,2.2829183937880144e-211,1.0,1.1414591968940072e-211,1.0,0.1100000000001273,0.9997732566528555,-0.25,-0.25,-0.0999999999999999,-0.25,-1.0,0.25,0.25,0.25,1.0,0.0999999999999999,BORDERLINE,REPULSIVE,169.675,2.85852364815088,3.0,6.0,FAR_GEOMETRY,1,,,,,,0
adjacent,1,T02,T03,1359.47,1359.59,0.1199999999998908,1359.53,0.8869204367172543,0.8869204367172543,0.1130795632827457,0.4434602183586271,0.5565397816413729,0.1100000000001273,0.5217391304342668,0.6369204367172543,0.6369204367172543,0.3434602183586271,0.3434602183586271,1.373840873434509,-0.6369204367172543,-0.6369204367172543,-0.6369204367172543,-2.547681746869017,0.3434602183586271,STRONG_STABLE,STABLE-INTERMEDIATE-CANDIDATE,,,,,,0,,,,,,0
adjacent,1,T03,T04,1359.59,1359.68,0.0900000000001455,1359.635,0.9139311852710952,0.9139311852710952,0.0860688147289048,0.4569655926355476,0.5430344073644524,0.1100000000001273,0.4500000000001137,0.6639311852710952,0.6639311852710952,0.3569655926355476,0.3569655926355476,1.4278623705421905,-0.6639311852710952,-0.6639311852710952,-0.6639311852710952,-2.6557247410843807,0.3569655926355476,STRONG_STABLE,STABLE-INTERMEDIATE-CANDIDATE,,,,,,0,,,,,,0
adjacent,1,T04,T01,1359.68,1359.8,0.1199999999998908,1359.74,0.8869204367172543,0.8869204367172543,0.1130795632827457,0.4434602183586271,0.5565397816413729,0.1100000000001273,0.5217391304342668,0.6369204367172543,0.6369204367172543,0.3434602183586271,0.3434602183586271,1.373840873434509,-0.6369204367172543,-0.6369204367172543,-0.6369204367172543,-2.547681746869017,0.3434602183586271,STRONG_STABLE,STABLE-INTERMEDIATE-CANDIDATE,,,,,,0,,,,,,0
adjacent,1,T01,T10,1359.8,1359.91,0.1100000000001273,1359.855,0.8958341352964142,0.8958341352964142,0.1041658647035858,0.4479170676482071,0.5520829323517928,0.1100000000001273,0.5,0.6458341352964142,0.6458341352964142,0.3479170676482072,0.3479170676482072,1.3916682705928287,-0.6458341352964142,-0.6458341352964142,-0.6458341352964142,-2.583336541185657,0.3479170676482072,STRONG_STABLE,STABLE-INTERMEDIATE-CANDIDATE,,,,,,0,,,,,,0
