pair_shell,shell_offset,target_a,target_b,mz_a,mz_b,delta_mz,mean_mz,overlap_proxy,corridor_proxy,rejection_proxy,leak_reduction_proxy,effective_leak_ratio,sep_s0_used,sep_norm,stable_margin,reject_margin,leak_margin,nearest_stable_boundary_margin,stable_margin_norm,repulsive_corridor_margin,repulsive_reject_margin,repulsive_margin,repulsive_margin_norm,nearest_threshold_gap,classification,boundary_confidence
adjacent,1,T09,T05,816.15,816.22,0.07000000000005002,816.185,0.9323938199059016,0.9323938199059016,0.06760618009409836,0.4661969099529508,0.5338030900470492,0.11,0.38888888888905876,0.6823938199059016,0.6823938199059016,0.36619690995295084,0.36619690995295084,0.4882625466039345,-0.6823938199059016,-0.6823938199059016,-0.6823938199059016,-2.7295752796236066,0.36619690995295084,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE
adjacent,1,T05,T08,816.22,816.28,0.05999999999994543,816.25,0.9417645335843001,0.9417645335843001,0.05823546641569988,0.47088226679215006,0.5291177332078499,0.11,0.35294117647038054,0.6917645335843001,0.6917645335843001,0.3708822667921501,0.3708822667921501,0.49450968905620013,-0.6917645335843001,-0.6917645335843001,-0.6917645335843001,-2.7670581343372005,0.3708822667921501,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE
adjacent,1,T08,T12,816.28,816.35,0.07000000000005002,816.315,0.9323938199059016,0.9323938199059016,0.06760618009409836,0.4661969099529508,0.5338030900470492,0.11,0.38888888888905876,0.6823938199059016,0.6823938199059016,0.36619690995295084,0.36619690995295084,0.4882625466039345,-0.6823938199059016,-0.6823938199059016,-0.6823938199059016,-2.7295752796236066,0.36619690995295084,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE
adjacent,1,T12,T07,816.35,874.37,58.01999999999998,845.36,6.342115690100828e-26,6.342115690100828e-26,1.0,3.171057845050414e-26,1.0,0.11,0.9981076896611044,-0.25,-0.25,-0.09999999999999998,-0.25,-0.3333333333333333,0.25,0.25,0.25,1.0,0.09999999999999998,REPULSIVE,STRONG_REPULSIVE
adjacent,1,T07,T06,874.37,874.45,0.08000000000004093,874.4100000000001,0.923116346386598,0.923116346386598,0.07688365361340199,0.461558173193299,0.538441826806701,0.11,0.42105263157907213,0.673116346386598,0.673116346386598,0.36155817319329897,0.36155817319329897,0.48207756425773196,-0.673116346386598,-0.673116346386598,-0.673116346386598,-2.692465385546392,0.36155817319329897,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE
adjacent,1,T06,T02,874.45,1359.47,485.02,1116.96,2.2829183937880144e-211,2.2829183937880144e-211,1.0,1.1414591968940072e-211,1.0,0.11,0.9997732566528559,-0.25,-0.25,-0.09999999999999998,-0.25,-0.3333333333333333,0.25,0.25,0.25,1.0,0.09999999999999998,REPULSIVE,STRONG_REPULSIVE
adjacent,1,T02,T03,1359.47,1359.59,0.11999999999989086,1359.53,0.8869204367172543,0.8869204367172543,0.11307956328274571,0.44346021835862715,0.5565397816413729,0.11,0.5217391304345557,0.6369204367172543,0.6369204367172543,0.34346021835862717,0.34346021835862717,0.4579469578115029,-0.6369204367172543,-0.6369204367172543,-0.6369204367172543,-2.547681746869017,0.34346021835862717,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE
adjacent,1,T03,T04,1359.59,1359.68,0.09000000000014552,1359.635,0.9139311852710952,0.9139311852710952,0.08606881472890482,0.4569655926355476,0.5430344073644524,0.11,0.4500000000004002,0.6639311852710952,0.6639311852710952,0.3569655926355476,0.3569655926355476,0.47595412351406347,-0.6639311852710952,-0.6639311852710952,-0.6639311852710952,-2.6557247410843807,0.3569655926355476,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE
adjacent,1,T04,T01,1359.68,1359.8,0.11999999999989086,1359.74,0.8869204367172543,0.8869204367172543,0.11307956328274571,0.44346021835862715,0.5565397816413729,0.11,0.5217391304345557,0.6369204367172543,0.6369204367172543,0.34346021835862717,0.34346021835862717,0.4579469578115029,-0.6369204367172543,-0.6369204367172543,-0.6369204367172543,-2.547681746869017,0.34346021835862717,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE
adjacent,1,T01,T10,1359.8,1359.91,0.11000000000012733,1359.855,0.8958341352964142,0.8958341352964142,0.1041658647035858,0.4479170676482071,0.5520829323517928,0.11,0.5000000000002894,0.6458341352964142,0.6458341352964142,0.3479170676482072,0.3479170676482072,0.4638894235309429,-0.6458341352964142,-0.6458341352964142,-0.6458341352964142,-2.583336541185657,0.3479170676482072,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE
adjacent,1,T10,T11,1359.91,1529.53,169.6199999999999,1444.72,2.162569031855021e-74,2.162569031855021e-74,1.0,1.0812845159275104e-74,1.0,0.11,0.9993519118600129,-0.25,-0.25,-0.09999999999999998,-0.25,-0.3333333333333333,0.25,0.25,0.25,1.0,0.09999999999999998,REPULSIVE,STRONG_REPULSIVE
next_nearest,2,T09,T08,816.15,816.28,0.12999999999999545,816.2149999999999,0.8780954309205653,0.8780954309205653,0.1219045690794347,0.43904771546028265,0.5609522845397173,0.11,0.541666666666658,0.6280954309205653,0.6280954309205653,0.3390477154602827,0.3390477154602827,0.45206362061371025,-0.6280954309205653,-0.6280954309205653,-0.6280954309205653,-2.512381723682261,0.3390477154602827,STABLE-INTERMEDIATE-CANDIDATE,WEAK_STABLE
next_nearest,2,T05,T12,816.22,816.35,0.12999999999999545,816.2850000000001,0.8780954309205653,0.8780954309205653,0.1219045690794347,0.43904771546028265,0.5609522845397173,0.11,0.541666666666658,0.6280954309205653,0.6280954309205653,0.3390477154602827,0.3390477154602827,0.45206362061371025,-0.6280954309205653,-0.6280954309205653,-0.6280954309205653,-2.512381723682261,0.3390477154602827,STABLE-INTERMEDIATE-CANDIDATE,WEAK_STABLE
next_nearest,2,T08,T07,816.28,874.37,58.09000000000003,845.325,5.913349474578265e-26,5.913349474578265e-26,1.0,2.956674737289132e-26,1.0,0.11,0.9981099656357388,-0.25,-0.25,-0.09999999999999998,-0.25,-0.3333333333333333,0.25,0.25,0.25,1.0,0.09999999999999998,REPULSIVE,STRONG_REPULSIVE
