sqrts_GeV,sigma_mb,err_mb,channel,sigma_sm_mb,sigma_geo_mb,resid_sm,resid_geo,env_scale
13000.0,110.5,2.4,pp,108.1990015221406,108.13956560743397,0.9587493657747478,0.9835143302358478,1.0
13000.0,104.7,1.1,pp,108.1990015221406,108.13956560743397,-3.180910474673275,-3.126877824939966,1.0
8000.0,101.7,2.9,pp,99.54753508475527,99.47651291076507,0.7422292811188742,0.7667196859430815,0.9400495346620952
8000.0,96.07,0.92,pp,99.54753508475527,99.47651291076507,-3.779929439951385,-3.702731424744645,0.9400495346620952
7000.0,98.0,2.5,pp,97.26251266152357,97.18880167659024,0.29499493539057087,0.324479329363902,0.9235610892347654
7000.0,95.35,1.36,pp,97.26251266152357,97.18880167659024,-1.4062593099438077,-1.3520600563163607,0.9235610892347654
2760.0,84.7,3.3,pp,82.47161895823221,82.3845024957628,0.6752669823538757,0.7016659103749092,0.8086408645691538
2760.0,85.6,1.4,pp,82.47161895823221,82.3845024957628,2.2345578869769867,2.2967839315979943,0.8086408645691538
200.0,41.6,1.2,pp,51.65535515542256,51.56504911710051,-8.379462629518802,-8.304207597583755,0.4845470017244935
62.5,43.55,0.31,pp,43.44090408086967,43.355747033208985,0.3519223197752438,0.6266224735193943,0.34092123497192506
62.3,44.0,0.9,pp,43.42328433839427,43.338140516408906,0.6407951795619246,0.7353994262123267,0.3405254656647945
52.8,42.38,0.15,pp,42.55282709607714,42.468342706051395,-1.1521806405142363,-0.5889513736759493,0.3200956841845248
44.7,41.8,0.25,pp,41.755013924886704,41.67113951491427,0.17994430045317245,0.515441940342896,0.2995316239719589
30.6,40.15,0.2,pp,40.24015515792823,40.15740913735586,-0.45077578964114906,-0.037045686779322295,0.25273600812962865
23.5,39.1,0.25,pp,39.4389186581022,39.35669425854631,-1.3556746324088067,-1.026777034185244,0.22013736064413839
1960.0,78.6,2.9,pbarp,77.54769820884597,77.45771384754663,0.3628626866048353,0.3938917767080572,0.7663753918195939
1800.0,80.03,2.24,pbarp,76.36265336316765,76.27210885086008,1.6372083200144414,1.6776299772946082,0.7558601126187068
1800.0,71.71,2.02,pbarp,76.36265336316765,76.27210885086008,-2.303293744142405,-2.258469728148557,0.7558601126187068
1800.0,72.8,3.1,pbarp,76.36265336316765,76.27210885086008,-1.1492430203766628,-1.1200351131806714,0.7558601126187068
900.0,65.3,2.3,pbarp,67.35207532794466,67.25891810030053,-0.8922066643237669,-0.8517035218697986,0.670270355520111
546.0,61.26,0.93,pbarp,61.568887498023976,61.47562595127888,-0.33213709464943864,-0.23185586159019433,0.6085580821929293
546.0,61.9,1.5,pbarp,61.568887498023976,61.47562595127888,0.22074166798401507,0.28291603248074654,0.6085580821929293
