fold,n_train_points,n_test_points,n_test_galaxies,A_best,alpha_best,chi2_train_base,chi2_train_best,delta_chi2_train,chi2_test_base,chi2_test_best,delta_chi2_test,use_env_scale,env_model,thread_mode,thread_q,thread_xi,thread_norm,thread_norm_scale_train,thread_r_weight_power,thread_S0,thread_gate_p,thread_k2,thread_k4
0,2742,649,35,0.177827941,0.001,783.3403356086048,143.15843273598745,640.1819028726175,162.50260233212413,37.361915749894564,125.14068658222956,,thread,down,0.6,0.5,median,1.0,1.0,,4.0,1.0,0.0
1,2803,588,35,0.177827941,0.001,761.6235032710279,154.73989637793824,606.8836068930896,184.21943466970106,25.780452107754815,158.43898256194623,,thread,down,0.6,0.5,median,1.0,1.0,,4.0,1.0,0.0
2,2596,795,35,0.177827941,0.001,763.8170231185914,129.94702728018618,633.8699958384052,182.02591482213748,50.57331772494987,131.4525970971876,,thread,down,0.6,0.5,median,1.0,1.0,,4.0,1.0,0.0
3,2694,697,35,0.177827941,0.001,743.6123798784224,144.55497196532224,599.0574079131002,202.23055806230656,35.965376509369655,166.2651815529369,,thread,down,0.6,0.5,median,1.0,1.0,,4.0,1.0,0.0
4,2729,662,35,0.177827941,0.001,730.9785098862692,149.68106468081237,581.2974452054568,214.86442805445978,30.83928380511503,184.02514424934475,,thread,down,0.6,0.5,median,1.0,1.0,,4.0,1.0,0.0
