channel,i,E_lo,E_hi,E_ctr,obs,pred_sm,pred_geo,bkg,P_sm,P_geo,dphi,dphi_base,dphi_breath,dphi_thread,thread_weight,thread_amp,thread_phase,breath_amp,breath_phase,k_rt,kappa_gate,eta,omega,trace_rho_sm,min_eig_rho_sm,purity_rho_sm,herm_err_rho_sm,Pe_sm,Pmu_sm,Ptau_sm,trace_rho_geo,min_eig_rho_geo,purity_rho_geo,herm_err_rho_geo,Pe_geo,Pmu_geo,Ptau_geo
T2K_app_FHC,0,0.0,0.06666666666666667,0.03333333333333333,17.0,16.985294117647058,19.025054159130107,0.0,0.007223553243907752,0.008091028081987825,0.04172890174291568,0.041977642073121255,-0.0018729760207252786,0.00027070594841995107,6.0,0.15081124444652771,-2.975189001805308,0.15081124444652771,-2.975189001805308,180.0,0.0,0.0,0.010649466622338281,0.9999999999999989,-2.839973841158765e-10,0.9999999997613742,0.0,0.007223553243907752,0.8287375911571266,0.16403885559896442,1.0000000000000002,-2.9042817727691404e-10,0.9999999997523206,0.0,0.008091028081987825,0.7974256783061343,0.19448329361187808
T2K_app_FHC,1,0.06666666666666667,0.13333333333333333,0.1,10.0,7.5,7.1409833963092195,0.0,0.039313122142797474,0.037431246997172415,0.04172890174291568,0.041977642073121255,-0.0018729760207252786,0.00027070594841995107,6.0,0.15081124444652771,-2.975189001805308,0.15081124444652771,-2.975189001805308,180.0,0.0,0.0,0.010649466622338281,0.9999999999999996,-1.3131732403083079e-12,0.9999999999996707,0.0,0.039313122142797474,0.3765650871306668,0.5841217907265353,1.000000000000002,-1.4097584314657802e-12,0.999999999999637,0.0,0.037431246997172415,0.4173094439790634,0.5452593090237662
T2K_app_FHC,2,0.13333333333333333,0.2,0.16666666666666669,10.0,7.5,7.699652276768231,0.0,0.042915602248141095,0.04405802860783726,0.04172890174291568,0.041977642073121255,-0.0018729760207252786,0.00027070594841995107,6.0,0.15081124444652771,-2.975189001805308,0.15081124444652771,-2.975189001805308,180.0,0.0,0.0,0.010649466622338281,1.0000000000000004,-1.0417091673606734e-13,0.9999999999999847,0.0,0.042915602248141095,0.05317993189268262,0.9039044658591767,0.9999999999999991,-1.1829948901665367e-13,0.9999999999999805,0.0,0.04405802860783726,0.036120839328933334,0.9198211320632285
T2K_app_FHC,3,0.2,0.26666666666666666,0.23333333333333334,16.0,16.102941176470587,17.186197115658082,0.0,0.02790520578900872,0.029782408194080064,0.04172890174291568,0.041977642073121255,-0.0018729760207252786,0.00027070594841995107,6.0,0.15081124444652771,-2.975189001805308,0.15081124444652771,-2.975189001805308,180.0,0.0,0.0,0.010649466622338281,1.0000000000000002,-1.9498750327182452e-14,0.9999999999999981,0.0,0.02790520578900872,0.33247975718964307,0.6396150370213485,1.0000000000000013,-2.307399051838414e-14,0.9999999999999998,0.0,0.029782408194080064,0.29382902351442575,0.6763885682914955
T2K_app_FHC,4,0.26666666666666666,0.3333333333333333,0.3,22.0,20.073529411764703,22.1193499867063,0.0,0.018491771740812197,0.020376385368961976,0.04172890174291568,0.041977642073121255,-0.0018729760207252786,0.00027070594841995107,6.0,0.15081124444652771,-2.975189001805308,0.15081124444652771,-2.975189001805308,180.0,0.0,0.0,0.010649466622338281,1.0000000000000002,-5.4907657240717236e-15,0.9999999999999996,0.0,0.018491771740812197,0.541562240459139,0.43994598780004907,0.9999999999999996,-6.7988438891310326e-15,0.9999999999999984,0.0,0.020376385368961976,0.49990855145198637,0.4797150631790512
T2K_app_FHC,5,0.3333333333333333,0.4,0.3666666666666667,22.0,20.073529411764703,22.7729008738884,0.0,0.012926807762214308,0.01466512967132659,0.04172890174291568,0.041977642073121255,-0.0018729760207252786,0.00027070594841995107,6.0,0.15081124444652771,-2.975189001805308,0.15081124444652771,-2.975189001805308,180.0,0.0,0.0,0.010649466622338281,1.0,-1.9166216983670178e-15,0.9999999999999994,0.0,0.012926807762214308,0.6731618563989723,0.3139113358388133,1.0,-2.8851916783379035e-15,1.0000000000000004,0.0,0.01466512967132659,0.6334799027846587,0.35185496754401474
T2K_app_FHC,6,0.4,0.4666666666666667,0.43333333333333335,15.0,16.323529411764703,19.03602712653662,0.0,0.009476372498194751,0.011051071088020236,0.04172890174291568,0.041977642073121255,-0.0018729760207252786,0.00027070594841995107,6.0,0.15081124444652771,-2.975189001805308,0.15081124444652771,-2.975189001805308,180.0,0.0,0.0,0.010649466622338281,1.0000000000000002,-8.190099726489967e-16,1.0,0.0,0.009476372498194751,0.7574476354798948,0.2330759920219106,1.0,-1.274760764715325e-15,0.9999999999999999,0.0,0.011051071088020236,0.7208392481577789,0.26810968075420083
T2K_app_FHC,7,0.4666666666666667,0.5333333333333333,0.5,6.0,10.588235294117649,12.679690797868298,0.0,0.00721872601601627,0.008644614640219097,0.04172890174291568,0.041977642073121255,-0.0018729760207252786,0.00027070594841995107,6.0,0.15081124444652771,-2.975189001805308,0.15081124444652771,-2.975189001805308,180.0,0.0,0.0,0.010649466622338281,0.9999999999999983,-3.713004635486574e-16,0.9999999999999964,0.0,0.00721872601601627,0.8136954075209398,0.17908586646304225,0.9999999999999984,-9.270249843990674e-16,0.9999999999999978,0.0,0.008644614640219097,0.7801627546980673,0.211192630661712
T2K_app_FHC,8,0.5333333333333333,0.6,0.5666666666666667,9.0,5.514705882352942,6.7764733740823155,0.0,0.005670645249224727,0.006968091746869776,0.04172890174291568,0.041977642073121255,-0.0018729760207252786,0.00027070594841995107,6.0,0.15081124444652771,-2.975189001805308,0.15081124444652771,-2.975189001805308,180.0,0.0,0.0,0.010649466622338281,1.0000000000000016,-1.6326093282075333e-16,1.0000000000000029,0.0,0.005670645249224727,0.8527769543795561,0.1415524003712207,1.0000000000000009,-4.650261929438433e-16,1.0000000000000022,0.0,0.006968091746869776,0.8220260970831365,0.17100581116999464
T2K_app_FHC,9,0.6,0.6666666666666666,0.6333333333333333,9.0,5.514705882352942,6.949296808080997,0.0,0.004566829454008326,0.0057548406070659815,0.04172890174291568,0.041977642073121255,-0.0018729760207252786,0.00027070594841995107,6.0,0.15081124444652771,-2.975189001805308,0.15081124444652771,-2.975189001805308,180.0,0.0,0.0,0.010649466622338281,0.9999999999999996,-2.0879092713410538e-16,0.9999999999999993,0.0,0.004566829454008326,0.880906018191491,0.11452715235450028,0.9999999999999988,-2.2771258789189874e-16,0.9999999999999974,0.0,0.0057548406070659815,0.8525924268222569,0.1416527325706759
