holdout_run,window,J_data,J_model,J_delta,dominant_term,emp_N_pp_00,model_N_pp_00,delta_N_pp_00,growth_model_N_pp_00,growth_emp_N_pp_00,emp_N_p0_01,model_N_p0_01,delta_N_p0_01,growth_model_N_p0_01,growth_emp_N_p0_01,emp_N_0p_10,model_N_0p_10,delta_N_0p_10,growth_model_N_0p_10,growth_emp_N_0p_10,emp_N_pp_11,model_N_pp_11,delta_N_pp_11,growth_model_N_pp_11,growth_emp_N_pp_11
01_11,slot6,122.0,77.12690956530082,-44.87309043469918,N_pp_00,2416.0,1561.4960863809888,-854.5039136190112,1.0,1.0,1101.0,718.538589973726,-382.46141002627405,1.0,1.0,1177.0,752.3314453179053,-424.66855468209474,1.0,1.0,16.0,13.499141524056771,-2.500858475943229,1.0,1.0
01_11,slots5-7,398.0,0.9495367285054428,-397.05046327149455,N_pp_00,7248.0,4720.390141626827,-2527.6098583731728,3.0229919772434837,3.0,3314.0,2283.6077950359117,-1030.3922049640883,3.178128254906134,3.0099909173478654,3473.0,2390.1876300854838,-1082.8123699145162,3.177040711192772,2.9507221750212405,63.0,45.64517977692629,-17.35482022307371,3.3813394500370397,3.9375
01_11,slots4-8,550.0,-486.650369535274,-1036.650369535274,N_pp_00,12082.0,7949.016207860393,-4132.983792139607,5.09064113396754,5.000827814569536,5580.0,4078.0721358633973,-1501.9278641366027,5.6755088630834925,5.068119891008174,5836.0,4265.814571089342,-1570.1854289106577,5.670126641173132,4.958368734069668,116.0,91.779870442927,-24.220129557072994,6.798941271885063,7.25
02_54,slot6,8.0,44.12954878866864,36.12954878866864,N_pp_00,1348.0,1508.165039088687,160.16503908868708,1.0,1.0,641.0,699.3899205715171,58.38992057151711,1.0,1.0,686.0,751.789453479936,65.78945347993601,1.0,1.0,13.0,12.856116248565314,-0.1438837514346858,1.0,1.0
02_54,slots5-7,41.0,123.46563526003568,82.46563526003568,N_pp_00,3983.0,4793.03672480603,810.0367248060302,3.1780585019410315,2.9547477744807122,1882.0,2229.5385262126174,347.5385262126174,3.1878333682457365,2.93603744149766,2022.0,2396.5769346870766,374.5769346870766,3.187829948389981,2.947521865889213,38.0,43.455628646300525,5.455628646300525,3.3801521241805808,2.923076923076923
02_54,slots4-8,176.0,166.78725424121177,-9.21274575878823,N_pp_00,6653.0,8559.206123325746,1906.2061233257464,5.6752450172811795,4.935459940652819,3095.0,4002.614252494158,907.6142524941579,5.723008202954027,4.828393135725429,3312.0,4302.487385035986,990.4873850359863,5.722995135300621,4.82798833819242,70.0,87.31723155439037,17.317231554390375,6.791882545720959,5.384615384615385
03_43,slot6,13.0,-12.203035251197994,-25.203035251197996,N_pp_00,783.0,1248.5010984340147,465.5010984340147,1.0,1.0,370.0,601.0778553914172,231.0778553914172,1.0,1.0,391.0,647.2548660020035,256.2548660020035,1.0,1.0,9.0,12.371412291792003,3.3714122917920033,1.0,1.0
03_43,slots5-7,49.0,-139.86101084610792,-188.86101084610792,N_pp_00,2348.0,3774.1012398275116,1426.1012398275116,3.022905822478921,2.998722860791826,1082.0,1817.0459771653016,735.0459771653016,3.0229794041939133,2.924324324324324,1187.0,2056.322704496182,869.3227044961818,3.17699072267742,3.0358056265984654,30.0,40.59356901213611,10.593569012136108,3.281239688298846,3.3333333333333335
03_43,slots4-8,151.0,-454.5033905492005,-605.5033905492005,N_pp_00,3953.0,6355.30502756088,2402.3050275608803,5.090347966479397,5.0485312899106,1801.0,3059.8459386970694,1258.8459386970694,5.0905983497005085,4.867567567567567,1947.0,3669.894814452071,1722.894814452071,5.66993777446659,4.979539641943734,54.0,80.06766496094045,26.067664960940448,6.471990672727197,6.0
