a_set,b_set,trials_valid,alice_detect,bob_detect,both_detect,rate_alice_detect,rate_bob_detect,rate_both_detect
0,0,85226929,10849,10612,7248,0.00012729545,0.00012451464,8.5043543e-05
0,1,85218882,10823,35773,7509,0.00012700237,0.00041977786,8.8114275e-05
1,0,83692928,32996,10436,6963,0.00039425075,0.00012469393,8.3196994e-05
1,1,83679779,32850,34888,63,0.00039256796,0.00041692271,7.5287006e-07
