a_set,b_set,trials_valid,alice_detect,bob_detect,both_detect,rate_alice_detect,rate_bob_detect,rate_both_detect
0,0,85226929,18076,17733,12082,0.00021209259,0.00020806804,0.00014176271
0,1,85218882,18020,59647,12440,0.00021145548,0.00069992704,0.00014597704
1,0,83692928,54813,17438,11602,0.00065492989,0.00020835691,0.00013862581
1,1,83679779,54962,58307,116,0.0006568134,0.00069678721,1.3862369e-06
