a_set,b_set,trials_valid,alice_detect,bob_detect,both_detect,rate_alice_detect,rate_bob_detect,rate_both_detect
0,0,26789179,1125,1260,783,4.1994568e-05,4.7033916e-05,2.9228219e-05
0,1,26775145,1200,3841,830,4.4817684e-05,0.00014345394,3.0998898e-05
1,0,26768994,3512,1158,767,0.00013119656,4.3259003e-05,2.8652552e-05
1,1,26776276,3616,3725,9,0.00013504492,0.00013911569,3.3611844e-07
