config_id,profile_form,L0_km,gamma_km_inv,mae_all_per_1M,mae_wide_per_1M,rmse_wide_per_1M,sign_rate,gamma_shift_mean_per_1M,dynamic_sensitive
form=abs_quad|L0=1000|gamma=0.01,abs_quad,1000.0,0.01,0.19238687580304084,0.28858031369340525,0.3818395350718052,1.0,0.065580133552718,YES
form=abs_quad|L0=1000|gamma=0.1,abs_quad,1000.0,0.1,0.19287302801837883,0.28930954201641224,0.38295814752491897,1.0,0.0652760475114851,YES
form=abs_quad|L0=1000|gamma=0.001,abs_quad,1000.0,0.001,0.1981853315555307,0.29727799732214005,0.39143441424162634,1.0,0.054753930786211505,YES
form=abs_quad|L0=1000|gamma=0.0001,abs_quad,1000.0,0.0001,0.20085168564797867,0.301277528460812,0.4013876589810749,1.0,0.06212923148153391,YES
form=abs_quad|L0=1000|gamma=1,abs_quad,1000.0,1.0,0.21351567239986707,0.3202735085886446,0.437702575380499,1.0,0.07597818419746794,YES
form=abs_quad|L0=0.001|gamma=0,abs_quad,0.001,0.0,0.21351567239986707,0.3202735085886446,0.437702575380499,1.0,0.0,NO
form=abs_quad|L0=0.001|gamma=0.0001,abs_quad,0.001,0.0001,0.21351567239986707,0.3202735085886446,0.437702575380499,1.0,0.0,NO
form=abs_quad|L0=0.001|gamma=0.001,abs_quad,0.001,0.001,0.21351567239986707,0.3202735085886446,0.437702575380499,1.0,0.0,NO
form=abs_quad|L0=0.001|gamma=0.01,abs_quad,0.001,0.01,0.21351567239986707,0.3202735085886446,0.437702575380499,1.0,0.0,NO
form=abs_quad|L0=0.001|gamma=0.1,abs_quad,0.001,0.1,0.21351567239986707,0.3202735085886446,0.437702575380499,1.0,0.0,NO
form=abs_quad|L0=0.001|gamma=1,abs_quad,0.001,1.0,0.21351567239986707,0.3202735085886446,0.437702575380499,1.0,0.0,NO
form=abs_quad|L0=1e+06|gamma=0,abs_quad,1000000.0,0.0,0.21351567239986707,0.3202735085886446,0.437702575380499,1.0,0.0,NO
form=abs_quad|L0=1e+06|gamma=0.0001,abs_quad,1000000.0,0.0001,0.21351567239986707,0.3202735085886446,0.437702575380499,1.0,0.0,NO
form=abs_quad|L0=1e+06|gamma=0.001,abs_quad,1000000.0,0.001,0.21351567239986707,0.3202735085886446,0.437702575380499,1.0,0.0,NO
form=abs_quad|L0=1e+06|gamma=0.01,abs_quad,1000000.0,0.01,0.21351567239986707,0.3202735085886446,0.437702575380499,1.0,0.0,NO
form=abs_quad|L0=1e+06|gamma=0.1,abs_quad,1000000.0,0.1,0.21351567239986707,0.3202735085886446,0.437702575380499,1.0,0.0,NO
form=abs_quad|L0=1e+06|gamma=1,abs_quad,1000000.0,1.0,0.21351567239986707,0.3202735085886446,0.437702575380499,1.0,0.0,NO
form=abs_quad|L0=1000|gamma=0,abs_quad,1000.0,0.0,0.24477491970863977,0.36716237955180364,0.4829598174954191,1.0,0.0,NO
form=tilt_abs_quad|L0=1000|gamma=0.0001,tilt_abs_quad,1000.0,0.0001,0.49826604375968525,0.7473990656283719,0.9307659816975713,1.0,0.15197575805340138,YES
form=tilt_abs_quad|L0=1000|gamma=0.01,tilt_abs_quad,1000.0,0.01,0.5427369367865192,0.814105405168623,1.0071778355772685,1.0,0.10624224272208344,YES
form=tilt_abs|L0=1000|gamma=0.0001,tilt_abs,1000.0,0.0001,0.5428250232962348,0.8142375349331963,0.996193022451071,1.0,0.09628621519578216,YES
form=tilt_abs|L0=1000|gamma=0.01,tilt_abs,1000.0,0.01,0.5622164118725734,0.8433246177977042,1.0448018959984715,1.0,0.09848400343480254,YES
form=tilt_quad|L0=1|gamma=0.1,tilt_quad,1.0,0.1,0.5872382366060499,0.8808573548979189,1.1316432598322295,1.0,0.009509866911735129,NO
form=tilt_quad|L0=1|gamma=0.01,tilt_quad,1.0,0.01,0.595781727438681,0.8936725911468654,1.1460360406499395,1.0,0.0009663760791041649,NO
form=tilt_quad|L0=1|gamma=0.001,tilt_quad,1.0,0.001,0.5966513117776956,0.8949769676553874,1.1475076375452444,1.0,9.6791740089487e-05,NO
form=tilt_quad|L0=1|gamma=0.0001,tilt_quad,1.0,0.0001,0.5967384227918175,0.8951076341765704,1.1476551222825309,1.0,9.680725967532568e-06,NO
form=tilt_quad|L0=1|gamma=0,tilt_quad,1.0,0.0,0.5967481035177851,0.8951221552655216,1.1476715131333706,1.0,0.0,NO
form=abs_quad|L0=1|gamma=1,abs_quad,1.0,1.0,0.61396934568551,0.920954018517109,1.0984395833081666,1.0,0.4949699839274669,YES
form=tilt_abs_quad|L0=1|gamma=1,tilt_abs_quad,1.0,1.0,0.61396934568551,0.920954018517109,1.0984395833081666,1.0,0.1722956512895604,YES
form=abs_quad|L0=1|gamma=0.1,abs_quad,1.0,0.1,0.6161887092212514,0.924283063820721,1.330535525864269,1.0,0.04587500236632875,YES
form=tilt_abs|L0=1000|gamma=0,tilt_abs,1000.0,0.0,0.6330385397514101,0.9495578096159591,1.1519879452931499,1.0,0.0,NO
form=tilt_abs_quad|L0=1000|gamma=0,tilt_abs_quad,1000.0,0.0,0.6423825212952463,0.9635737819317135,1.1685892202770722,1.0,0.0,NO
form=abs_quad|L0=1|gamma=0.01,abs_quad,1.0,0.01,0.6573891392856708,0.9860837089173501,1.4159125942606223,1.0,0.004674572301909325,NO
form=tilt_quad|L0=1000|gamma=0.01,tilt_quad,1000.0,0.01,0.6578086424061976,0.9867129635981404,1.2205825668526937,1.0,0.05376977595203251,YES
form=tilt_abs_quad|L0=1|gamma=0.1,tilt_abs_quad,1.0,0.1,0.6599873419953559,0.9899810129818779,1.2256779810787974,1.0,0.013501760092421532,NO
form=abs_quad|L0=1|gamma=0.001,abs_quad,1.0,0.001,0.6615953785723694,0.992393067847398,1.4246513736682456,1.0,0.00046833301521070285,NO
