holdout_run,window,setting,P_pp,P_p0,P_0p,P_A_plus,P_B_plus,emp_pp,emp_p0,emp_0p,abs_err_pp,abs_err_p0,abs_err_0p,bounds_ok,accounting_ok
01_11,slot6,00,1.8321627972550658e-05,8.100273617972498e-06,1.076515874964823e-05,2.6421901590523156e-05,2.9086786722198887e-05,2.8347847662092812e-05,1.3622454940268938e-05,1.3317387043243104e-05,1.0026219689542154e-05,5.52218132229644e-06,2.5522282935948746e-06,YES,YES
01_11,slot6,01,1.901438697304858e-05,8.43168289832441e-06,7.59441190064658e-05,2.744606987137299e-05,9.495850597951438e-05,2.938315947397667e-05,1.2919671957207793e-05,0.00011071490001476433,1.036877250092809e-05,4.4879890588833825e-06,3.477078100829853e-05,YES,YES
01_11,slot6,10,1.8579401357743386e-05,6.853753777547045e-05,8.989187776031748e-06,8.711693913321383e-05,2.7568589133775134e-05,2.7373877993610165e-05,0.00010511043418148783,1.4063314883666156e-05,8.79447663586678e-06,3.657289640601738e-05,5.074127107634408e-06,YES,YES
01_11,slot6,11,1.6131903890492794e-07,8.982010148439468e-05,9.481516172693549e-05,8.99814205232996e-05,9.497648076584042e-05,1.9120509388534593e-07,0.00013163275682169284,0.00013781107141786308,2.9886054980417996e-08,4.1812655337298166e-05,4.2995909690927585e-05,YES,YES
01_11,slots5-7,00,5.5386134371060436e-05,2.737993497270441e-05,3.4317638147318696e-05,8.276606934376485e-05,8.970377251837913e-05,8.504354298627844e-05,4.22519037380779e-05,3.9471092522880886e-05,2.9657408615218e-05,1.4871968765373491e-05,5.153454375562189e-06,YES,YES
01_11,slots5-7,01,5.748029914587338e-05,2.6796969655573655e-05,0.00022956513232952336,8.427726880144704e-05,0.00028704543147539674,8.811427495610655e-05,3.888809524630938e-05,0.00033166358601137246,3.063397581023317e-05,1.2091125590735724e-05,0.0001020984536818491,YES,YES
01_11,slots5-7,10,5.57803747237573e-05,0.00020647111122151784,2.855901552500928e-05,0.00026225148594527514,8.433939024876658e-05,8.319699365757642e-05,0.0003110537607191853,4.149693508153998e-05,2.7416618933819123e-05,0.00010458264949766744,1.2937919556530701e-05,YES,YES
01_11,slots5-7,11,5.454744302912928e-07,0.0002715058840132567,0.00028562559763622986,0.000272051358443548,0.00028617107206652115,7.528700571735497e-07,0.0003918150883261773,0.00041616983715982327,2.0739562688225685e-07,0.00012030920431292062,0.0001305442395235934,YES,YES
01_11,slots4-8,00,9.326883299831668e-05,5.717417694528493e-05,6.160949637457058e-05,0.0001504430099436016,0.00015487832937288726,0.00014176270507177373,7.03298836451094e-05,6.630533408049937e-05,4.849387207345705e-05,1.3155706699824479e-05,4.695837705928789e-06,YES,YES
01_11,slots4-8,01,9.6795283920037e-05,4.78540910201497e-05,0.00038655889717365,0.0001446493749401867,0.000483354181093687,0.0001459770382812579,6.547844643162534e-05,0.0005539500037092718,4.91817543612209e-05,1.7624355411475633e-05,0.00016739110653562182,YES,YES
