config_id,profile_scope,profile_form,L0_km,gamma_km_inv,mae_all_per_1M,mae_wide_per_1M,rmse_wide_per_1M,slot6_mae_per_1M,sign_rate,gamma_shift_mean_per_1M,dynamic_sensitive
scope=by_channel|form=tilt_abs|L0=1|gamma=1,by_channel,tilt_abs,1.0,1.0,0.2300420249587453,0.3450630374269619,0.460755303623877,2.231199253133198e-11,1.0,0.029824929582673947,YES
scope=by_channel|form=tilt_abs|L0=1000|gamma=0.0001,by_channel,tilt_abs,1000.0,0.0001,0.25334839541414095,0.38002259311005543,0.46394729697677944,2.231199253133198e-11,1.0,0.09386389009481226,YES
scope=by_channel|form=abs_quad|L0=1000|gamma=0.001,by_channel,abs_quad,1000.0,0.001,0.3597570082617346,0.5396355123814459,0.7331080644940051,2.231199253133198e-11,0.7777777777777778,0.14831810636150378,YES
scope=by_channel|form=linear_abs_quad|L0=1000|gamma=0.001,by_channel,linear_abs_quad,1000.0,0.001,0.3708818556384072,0.5563227834464548,0.7553028611640984,2.231199253133198e-11,0.6666666666666666,0.1639962523822997,YES
scope=by_channel|form=tilt_abs_quad|L0=1000|gamma=0.001,by_channel,tilt_abs_quad,1000.0,0.001,0.3708820805544343,0.5563231208204954,0.755297807782072,2.231199253133198e-11,0.6666666666666666,0.16399888790439496,YES
scope=by_channel|form=tilt_quad|L0=1|gamma=0.1,by_channel,tilt_quad,1.0,0.1,0.3863106840302542,0.5794660260342253,0.7397355783498878,2.231199253133198e-11,0.8888888888888888,0.19490829210831354,YES
scope=by_channel|form=tilt_abs|L0=1|gamma=0.1,by_channel,tilt_abs,1.0,0.1,0.6679251336790353,1.001887700507397,1.3549033681418265,2.231199253133198e-11,1.0,0.4765227417570947,YES
scope=by_channel|form=tilt_quad|L0=1|gamma=0.01,by_channel,tilt_quad,1.0,0.01,2.2200861583442206,3.3301292375051754,4.3123230869752,2.231199253133198e-11,0.5555555555555556,2.0286837664222803,YES
scope=by_channel|form=abs_quad|L0=1000|gamma=0.0001,by_channel,abs_quad,1000.0,0.0001,2.266598704018713,3.3998980560169136,4.999189906603316,2.231199253133198e-11,0.5555555555555556,2.0661061515394765,YES
scope=by_channel|form=linear_abs_quad|L0=1000|gamma=1e-06,by_channel,linear_abs_quad,1000.0,1e-06,2.336181074771588,3.504271612146226,5.498324137722259,2.231199253133198e-11,0.5555555555555556,2.2018861699233163,YES
scope=by_channel|form=tilt_abs_quad|L0=1000|gamma=1e-06,by_channel,tilt_abs_quad,1000.0,1e-06,2.3361999586936615,3.504299938029336,5.498398375562712,2.231199253133198e-11,0.5555555555555556,2.201905307754443,YES
scope=by_channel|form=tilt_abs_quad|L0=1000|gamma=0.0001,by_channel,tilt_abs_quad,1000.0,0.0001,2.4981605125351285,3.747240768791537,5.527808824495744,2.231199253133198e-11,0.5555555555555556,2.3067581206131877,YES
scope=by_channel|form=linear_abs_quad|L0=1000|gamma=0.0001,by_channel,linear_abs_quad,1000.0,0.0001,2.4981845156133007,3.747276773408795,5.527869626036238,2.231199253133198e-11,0.5555555555555556,2.306781183244129,YES
