a_set,b_set,trials_valid,alice_detect,bob_detect,both_detect,rate_alice_detect,rate_bob_detect,rate_both_detect
0,0,26789179,5784,6204,3953,0.00021590807,0.00023158604,0.00014755958
0,1,26775145,5790,19083,3989,0.00021624533,0.00071271323,0.00014898145
1,0,26768994,17812,5933,3986,0.00066539669,0.00022163702,0.00014890362
1,1,26776276,17676,18863,54,0.00066013661,0.00070446689,2.0167106e-06
