a_set,b_set,trials_valid,alice_detect,bob_detect,both_detect,rate_alice_detect,rate_bob_detect,rate_both_detect
0,0,50928270,1992,2143,1348,3.9113836e-05,4.207879e-05,2.64686e-05
0,1,50924566,2004,6766,1363,3.9352324e-05,0.00013286318,2.6765078e-05
1,0,50912954,6276,2101,1415,0.00012326922,4.1266511e-05,2.7792534e-05
1,1,50915670,6233,6722,13,0.00012241811,0.00013202222,2.5532415e-07
