a_set,b_set,trials_valid,alice_detect,bob_detect,both_detect,rate_alice_detect,rate_bob_detect,rate_both_detect
0,0,50928270,5990,6310,3983,0.0001176164,0.00012389975,7.8208037e-05
0,1,50924566,6054,20290,4172,0.00011888172,0.00039843246,8.1925097e-05
1,0,50912954,18902,6260,4238,0.00037126111,0.00012295496,8.3240112e-05
1,1,50915670,18959,20332,38,0.00037236081,0.00039932697,7.4633212e-07
