galaxy,n_points,v_flat_kms,env_scale,file
UGC06786_rotmod,45,217.4,52.51417777777778,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\UGC06786_rotmod.dat
UGC06787_rotmod,71,250.0,69.44444444444446,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\UGC06787_rotmod.dat
UGC06818_rotmod,8,64.92,4.682896,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\UGC06818_rotmod.dat
UGC06917_rotmod,11,106.0,12.484444444444444,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\UGC06917_rotmod.dat
UGC06923_rotmod,6,73.14000000000001,5.943844000000003,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\UGC06923_rotmod.dat
UGC06930_rotmod,10,108.0,12.96,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\UGC06930_rotmod.dat
UGC06973_rotmod,9,176.0,34.41777777777777,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\UGC06973_rotmod.dat
UGC06983_rotmod,17,108.4,13.05617777777778,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\UGC06983_rotmod.dat
UGC07089_rotmod,12,74.7,6.200100000000001,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\UGC07089_rotmod.dat
UGC07125_rotmod,13,65.3,4.737877777777778,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\UGC07125_rotmod.dat
UGC07151_rotmod,11,72.53999999999999,5.846723999999998,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\UGC07151_rotmod.dat
UGC07232_rotmod,4,30.45,1.0302249999999997,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\UGC07232_rotmod.dat
UGC07261_rotmod,7,72.12,5.779216000000002,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\UGC07261_rotmod.dat
UGC07323_rotmod,10,78.12,6.780816000000001,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\UGC07323_rotmod.dat
