label,target_mz,window_ppm,sum_intensity
T01,1359.8,30.0,483790770.71936035
T02,1359.47,30.0,469198754.2830887
T03,1359.59,30.0,467013708.8460388
T04,1359.68,30.0,446834370.1504059
T05,816.22,30.0,443263504.96520996
T06,874.45,30.0,430559650.47088623
T07,874.37,30.0,425626107.08180237
T08,816.28,30.0,424325105.96578217
T09,816.15,30.0,420744472.56211853
T10,1359.91,30.0,398957771.4039459
T11,1529.53,30.0,398331004.4784241
T12,816.35,30.0,396791404.19166565
