run_name,target_id,weighted_median_mz,local_spread_mz,local_spread_method,point_count,summed_intensity,target_mz_nominal,window_ppm
A1_B2_ModeA,T05,816.2179591887738,0.005944844958321482,weighted_mad_fallback,3957,815321533.4426427,816.22,30.0
A1_B2_ModeA,T08,816.2846386253631,0.005611865598666554,weighted_mad_fallback,2098,802881843.0527878,816.28,30.0
A1_B2_ModeA,T09,816.150905794617,0.005920510710893723,weighted_mad_fallback,2177,736015253.5801773,816.15,30.0
A1_B2_ModeA,T12,816.3505774368784,0.005840744970100786,weighted_mad_fallback,2197,709420875.9461632,816.35,30.0
