pair_shell,target_a,target_b,shell_offset_track8,classification_track8,boundary_confidence_track8,mz_a_track8,mz_b_track8,delta_mz_track8,corridor_proxy_track8,rejection_proxy_track8,effective_leak_ratio_track8,shell_offset_rebuilt,classification_rebuilt,boundary_confidence_rebuilt,mz_a_rebuilt,mz_b_rebuilt,delta_mz_rebuilt,corridor_proxy_rebuilt,rejection_proxy_rebuilt,effective_leak_ratio_rebuilt,pair_presence,classification_changed,boundary_confidence_changed,mz_a_diff,mz_a_abs_diff,mz_b_diff,mz_b_abs_diff,delta_mz_diff,delta_mz_abs_diff,corridor_proxy_diff,corridor_proxy_abs_diff,rejection_proxy_diff,rejection_proxy_abs_diff,effective_leak_ratio_diff,effective_leak_ratio_abs_diff
adjacent,T01,T10,1,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE,1359.8,1359.91,0.1100000000001273,0.8958341352964142,0.1041658647035858,0.5520829323517928,1,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE,1359.800168321732,1359.9082147277895,0.10804640605761051,0.8975859420389977,0.10241405796100234,0.5512070289805011,matched,False,False,0.0001683217319623509,0.0001683217319623509,-0.0017852722105544672,0.0017852722105544672,-0.0019535939425167903,0.0019535939425167903,0.0017518067425834616,0.0017518067425834616,-0.0017518067425834616,0.0017518067425834616,-0.0008759033712917308,0.0008759033712917308
adjacent,T02,T03,1,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE,1359.47,1359.59,0.1199999999998908,0.8869204367172543,0.1130795632827457,0.5565397816413729,1,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE,1359.4670907916216,1359.5760603878325,0.10896959621095448,0.8967576819151485,0.10324231808485151,0.5516211590424258,matched,False,False,-0.002909208378468975,0.002909208378468975,-0.013939612167405357,0.013939612167405357,-0.011030403788936327,0.011030403788936327,0.009837245197894195,0.009837245197894195,-0.009837245197894182,0.009837245197894182,-0.004918622598947042,0.004918622598947042
adjacent,T03,T04,1,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE,1359.59,1359.68,0.0900000000001455,0.9139311852710952,0.0860688147289048,0.5430344073644524,1,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE,1359.5760603878325,1359.692103898025,0.11604351019241221,0.8904364793920522,0.10956352060794783,0.554781760303974,matched,False,False,-0.013939612167405357,0.013939612167405357,0.012103898024861337,0.012103898024861337,0.02604351019226671,0.02604351019226671,-0.02349470587904301,0.02349470587904301,0.023494705879043024,0.023494705879043024,0.01174735293952156,0.01174735293952156
adjacent,T04,T01,1,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE,1359.68,1359.8,0.1199999999998908,0.8869204367172543,0.1130795632827457,0.5565397816413729,1,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE,1359.692103898025,1359.800168321732,0.10806442370699187,0.8975697697958978,0.10243023020410225,0.5512151151020511,matched,False,False,0.012103898024861337,0.012103898024861337,0.0001683217319623509,0.0001683217319623509,-0.01193557629289893,0.01193557629289893,0.010649333078643464,0.010649333078643464,-0.01064933307864345,0.01064933307864345,-0.005324666539321732,0.005324666539321732
adjacent,T05,T08,1,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE,816.22,816.28,0.0599999999999454,0.9417645335843,0.0582354664156998,0.5291177332078499,1,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE,816.2167007237565,816.2832467439532,0.06654602019671074,0.9356198574556738,0.06438014254432622,0.5321900712721631,matched,False,False,-0.0032992762435242184,0.0032992762435242184,0.0032467439532410935,0.0032467439532410935,0.00654602019676534,0.00654602019676534,-0.006144676128626236,0.006144676128626236,0.006144676128626424,0.006144676128626424,0.0030723380643131737,0.0030723380643131737
adjacent,T06,T02,1,REPULSIVE,STRONG_REPULSIVE,874.45,1359.47,485.02,2.2829183937880144e-211,1.0,1.0,1,REPULSIVE,STRONG_REPULSIVE,874.4453328372649,1359.4670907916216,485.02175795435664,2.278908652955076e-211,1.0,1.0,matched,False,False,-0.004667162735131569,0.004667162735131569,-0.002909208378468975,0.002909208378468975,0.0017579543566625944,0.0017579543566625944,-4.009740832938517e-214,4.009740832938517e-214,0.0,0.0,0.0,0.0
adjacent,T07,T06,1,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE,874.37,874.45,0.0800000000000409,0.923116346386598,0.0768836536134019,0.538441826806701,1,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE,874.3724938549005,874.4453328372649,0.0728389823643738,0.9297505242048976,0.07024947579510243,0.5351247378975512,matched,False,False,0.0024938549005355526,0.0024938549005355526,-0.004667162735131569,0.004667162735131569,-0.007161017635667094,0.007161017635667094,0.006634177818299558,0.006634177818299558,-0.006634177818299461,0.006634177818299461,-0.0033170889091498346,0.0033170889091498346
adjacent,T08,T12,1,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE,816.28,816.35,0.07000000000005,0.9323938199059016,0.0676061800940983,0.5338030900470492,1,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE,816.2832467439532,816.3494625084064,0.06621576445320443,0.9359289023164482,0.06407109768355179,0.5320355488417758,matched,False,False,0.0032467439532410935,0.0032467439532410935,-0.0005374915936044999,0.0005374915936044999,-0.0037842355468455657,0.0037842355468455657,0.003535082410546564,0.003535082410546564,-0.0035350824105465084,0.0035350824105465084,-0.0017675412052733375,0.0017675412052733375
adjacent,T09,T05,1,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE,816.15,816.22,0.07000000000005,0.9323938199059016,0.0676061800940983,0.5338030900470492,1,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE,816.1508423429284,816.2167007237565,0.06585838082810369,0.9362634477573651,0.06373655224263486,0.5318682761213174,matched,False,False,0.0008423429284221129,0.0008423429284221129,-0.0032992762435242184,0.0032992762435242184,-0.004141619171946304,0.004141619171946304,0.0038696278514634974,0.0038696278514634974,-0.003869627851463442,0.003869627851463442,-0.0019348139257318042,0.0019348139257318042
adjacent,T10,T11,1,REPULSIVE,STRONG_REPULSIVE,1359.91,1529.53,169.6199999999999,2.162569031855021e-74,1.0,1.0,1,REPULSIVE,STRONG_REPULSIVE,1359.9082147277895,1529.528504859221,169.62029013143137,2.1619416936157973e-74,1.0,1.0,matched,False,False,-0.0017852722105544672,0.0017852722105544672,-0.0014951407790704252,0.0014951407790704252,0.00029013143148404197,0.00029013143148404197,-6.273382392235983e-78,6.273382392235983e-78,0.0,0.0,0.0,0.0
adjacent,T12,T07,1,REPULSIVE,STRONG_REPULSIVE,816.35,874.37,58.01999999999998,6.342115690100828e-26,1.0,1.0,1,REPULSIVE,STRONG_REPULSIVE,816.3494625084064,874.3724938549005,58.02303134649412,6.322919649562767e-26,1.0,1.0,matched,False,False,-0.0005374915936044999,0.0005374915936044999,0.0024938549005355526,0.0024938549005355526,0.0030313464941400525,0.0030313464941400525,-1.9196040538060648e-28,1.9196040538060648e-28,0.0,0.0,0.0,0.0
next_nearest,T01,T11,2,REPULSIVE,STRONG_REPULSIVE,1359.8,1529.53,169.73000000000002,1.9373031586706464e-74,1.0,1.0,2,REPULSIVE,STRONG_REPULSIVE,1359.800168321732,1529.528504859221,169.72833653748899,1.9405284716975215e-74,1.0,1.0,matched,False,False,0.0001683217319623509,0.0001683217319623509,-0.0014951407790704252,0.0014951407790704252,-0.001663462511032776,0.001663462511032776,3.2253130268750726e-77,3.2253130268750726e-77,0.0,0.0,0.0,0.0
next_nearest,T02,T04,2,STABLE-INTERMEDIATE-CANDIDATE,WEAK_STABLE,1359.47,1359.68,0.2100000000000363,0.8105842459701577,0.1894157540298423,0.5947078770149212,2,STABLE-INTERMEDIATE-CANDIDATE,WEAK_STABLE,1359.4670907916216,1359.692103898025,0.2250131064033667,0.7985057531523025,0.20149424684769746,0.6007471234238487,matched,False,False,-0.002909208378468975,0.002909208378468975,0.012103898024861337,0.012103898024861337,0.015013106403330395,0.015013106403330395,-0.012078492817855113,0.012078492817855113,0.012078492817855169,0.012078492817855169,0.006039246408927501,0.006039246408927501
next_nearest,T03,T01,2,STABLE-INTERMEDIATE-CANDIDATE,WEAK_STABLE,1359.59,1359.8,0.2100000000000363,0.8105842459701577,0.1894157540298423,0.5947078770149212,2,STABLE-INTERMEDIATE-CANDIDATE,WEAK_STABLE,1359.5760603878325,1359.800168321732,0.2241079338994041,0.7992288658257938,0.20077113417420622,0.6003855670871031,matched,False,False,-0.013939612167405357,0.013939612167405357,0.0001683217319623509,0.0001683217319623509,0.014107933899367792,0.014107933899367792,-0.01135538014436388,0.01135538014436388,0.011355380144363936,0.011355380144363936,0.005677690072181885,0.005677690072181885
next_nearest,T04,T10,2,STABLE-INTERMEDIATE-CANDIDATE,WEAK_STABLE,1359.68,1359.91,0.2300000000000182,0.7945336025033195,0.2054663974966805,0.6027331987483402,2,STABLE-INTERMEDIATE-CANDIDATE,WEAK_STABLE,1359.692103898025,1359.9082147277895,0.21611082976460239,0.8056460073679771,0.1943539926320229,0.5971769963160114,matched,False,False,0.012103898024861337,0.012103898024861337,-0.0017852722105544672,0.0017852722105544672,-0.013889170235415804,0.013889170235415804,0.011112404864657588,0.011112404864657588,-0.011112404864657588,0.011112404864657588,-0.005556202432328794,0.005556202432328794
next_nearest,T05,T12,2,STABLE-INTERMEDIATE-CANDIDATE,WEAK_STABLE,816.22,816.35,0.1299999999999954,0.8780954309205653,0.1219045690794347,0.5609522845397173,2,STABLE-INTERMEDIATE-CANDIDATE,WEAK_STABLE,816.2167007237565,816.3494625084064,0.13276178464991517,0.8756736661739606,0.12432633382603941,0.5621631669130197,matched,False,False,-0.0032992762435242184,0.0032992762435242184,-0.0005374915936044999,0.0005374915936044999,0.002761784649919774,0.002761784649919774,-0.0024217647466047154,0.0024217647466047154,0.0024217647466047154,0.0024217647466047154,0.0012108823733023577,0.0012108823733023577
next_nearest,T06,T03,2,REPULSIVE,STRONG_REPULSIVE,874.45,1359.59,485.1399999999999,2.024766978808318e-211,1.0,1.0,2,REPULSIVE,STRONG_REPULSIVE,874.4453328372649,1359.5760603878325,485.1307275505676,2.043628840920367e-211,1.0,1.0,matched,False,False,-0.004667162735131569,0.004667162735131569,-0.013939612167405357,0.013939612167405357,-0.009272449432273788,0.009272449432273788,1.886186211204896e-213,1.886186211204896e-213,0.0,0.0,0.0,0.0
next_nearest,T07,T02,2,REPULSIVE,STRONG_REPULSIVE,874.37,1359.47,485.1,2.1073992867723527e-211,1.0,1.0,2,REPULSIVE,STRONG_REPULSIVE,874.3724938549005,1359.4670907916216,485.094596936721,2.1188165147000588e-211,1.0,1.0,matched,False,False,0.0024938549005355526,0.0024938549005355526,-0.002909208378468975,0.002909208378468975,-0.005403063279004527,0.005403063279004527,1.1417227927706082e-213,1.1417227927706082e-213,0.0,0.0,0.0,0.0
next_nearest,T08,T07,2,REPULSIVE,STRONG_REPULSIVE,816.28,874.37,58.09000000000003,5.913349474578265e-26,1.0,1.0,2,REPULSIVE,STRONG_REPULSIVE,816.2832467439532,874.3724938549005,58.089247110947326,5.917803247050383e-26,1.0,1.0,matched,False,False,0.0032467439532410935,0.0032467439532410935,0.0024938549005355526,0.0024938549005355526,-0.000752889052705541,0.000752889052705541,4.453772472118621e-29,4.453772472118621e-29,0.0,0.0,0.0,0.0
next_nearest,T09,T08,2,STABLE-INTERMEDIATE-CANDIDATE,WEAK_STABLE,816.15,816.28,0.1299999999999954,0.8780954309205653,0.1219045690794347,0.5609522845397173,2,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE,816.1508423429284,816.2832467439532,0.13240440102481443,0.8759866735317036,0.12401332646829644,0.5620066632341483,matched,False,True,0.0008423429284221129,0.0008423429284221129,0.0032467439532410935,0.0032467439532410935,0.002404401024819036,0.002404401024819036,-0.0021087573888617372,0.0021087573888617372,0.0021087573888617372,0.0021087573888617372,0.0010543786944309241,0.0010543786944309241
next_nearest,T12,T06,2,REPULSIVE,STRONG_REPULSIVE,816.35,874.45,58.10000000000002,5.854510664206994e-26,1.0,1.0,2,REPULSIVE,STRONG_REPULSIVE,816.3494625084064,874.4453328372649,58.095870328858496,5.87873785868643e-26,1.0,1.0,matched,False,False,-0.0005374915936044999,0.0005374915936044999,-0.004667162735131569,0.004667162735131569,-0.004129671141527069,0.004129671141527069,2.422719447943609e-28,2.422719447943609e-28,0.0,0.0,0.0,0.0
