channel,i,E_lo,E_hi,E_ctr,obs,pred_sm,pred_geo,bkg,P_sm,P_geo,dphi,dphi_base,dphi_breath,dphi_thread,thread_weight,thread_amp,thread_phase,breath_amp,breath_phase,k_rt,kappa_gate,eta,omega
T2K_app_FHC,0,0.0,0.06666666666666667,0.03333333333333333,17.0,16.985294117647058,17.074383711469526,0.0,0.0025100808552534783,0.0025232464844328843,0.0006464346586051988,0.0006463224255702796,1.1223303491919041e-07,-9.59499394661612e-09,0.0,0.08748811693597168,-3.0183313383705164,0.08748811693597168,-3.0183313383705164,180.0,0.0,0.0,0.010649466622338281
T2K_app_FHC,1,0.06666666666666667,0.13333333333333333,0.1,10.0,7.5,7.63790290296578,0.0,0.00028378866445819077,0.0002890067018791996,0.0007397345062389387,0.00073960607462166,1.284316172786612e-07,-1.0979838433756593e-08,0.0,0.08748811693597168,-3.0183313383705164,0.08748811693597168,-3.0183313383705164,180.0,0.0,0.0,0.010649466622338281
T2K_app_FHC,2,0.13333333333333333,0.2,0.16666666666666669,10.0,7.5,7.51555934533395,0.0,0.0171461384777148,0.0171817095030106,0.000833034353872679,0.0008328897236730408,1.44630199638132e-07,-1.2364682920897064e-08,0.0,0.08748811693597168,-3.0183313383705164,0.08748811693597168,-3.0183313383705164,180.0,0.0,0.0,0.010649466622338281
T2K_app_FHC,3,0.2,0.26666666666666666,0.23333333333333334,16.0,16.102941176470587,16.128464362854192,0.0,0.0252414833978509,0.02528149118762681,0.0009263342015064189,0.0009261733727244213,1.6082878199760276e-07,-1.3749527408037536e-08,0.0,0.08748811693597168,-3.0183313383705164,0.08748811693597168,-3.0183313383705164,180.0,0.0,0.0,0.010649466622338281
T2K_app_FHC,4,0.26666666666666666,0.3333333333333333,0.3,22.0,20.073529411764703,21.624647397841265,0.0,3.159292132915451e-05,3.403416359906808e-05,0.001019634049140159,0.0010194570217758017,1.7702736435707353e-07,-1.5134371895178003e-08,0.0,0.08748811693597168,-3.0183313383705164,0.08748811693597168,-3.0183313383705164,180.0,0.0,0.0,0.010649466622338281
T2K_app_FHC,5,0.3333333333333333,0.4,0.3666666666666667,22.0,20.073529411764703,20.13983255428926,0.0,0.01366281137867725,0.013707939831753153,0.0011129338967738988,0.0011127406708271823,1.932259467165443e-07,-1.6519216382318472e-08,0.0,0.08748811693597168,-3.0183313383705164,0.08748811693597168,-3.0183313383705164,180.0,0.0,0.0,0.010649466622338281
T2K_app_FHC,6,0.4,0.4666666666666667,0.43333333333333335,15.0,16.323529411764703,16.34962956511842,0.0,0.030368093496711792,0.030416649901232558,0.0012062337444076392,0.001206024319878563,2.0942452907601512e-07,-1.7904060869458947e-08,0.0,0.08748811693597168,-3.0183313383705164,0.08748811693597168,-3.0183313383705164,180.0,0.0,0.0,0.010649466622338281
T2K_app_FHC,7,0.4666666666666667,0.5333333333333333,0.5,6.0,10.588235294117649,10.596672475315176,0.0,0.03995184597856118,0.03998368140291032,0.001299533592041379,0.0012993079689299436,2.2562311143548588e-07,-1.928890535659942e-08,0.0,0.08748811693597168,-3.0183313383705164,0.08748811693597168,-3.0183313383705164,180.0,0.0,0.0,0.010649466622338281
T2K_app_FHC,8,0.5333333333333333,0.6,0.5666666666666667,9.0,5.514705882352942,5.515898510147101,0.0,0.043455027073578074,0.043464424795630625,0.001392833439675119,0.001392591617981324,2.4182169379495665e-07,-2.0673749843739888e-08,0.0,0.08748811693597168,-3.0183313383705164,0.08748811693597168,-3.0183313383705164,180.0,0.0,0.0,0.010649466622338281
T2K_app_FHC,9,0.6,0.6666666666666666,0.6333333333333333,9.0,5.514705882352942,5.516262426388942,0.0,0.043324845892477384,0.04333707447400525,0.001486133287308859,0.0014858752670327045,2.580202761544274e-07,-2.205859433088036e-08,0.0,0.08748811693597168,-3.0183313383705164,0.08748811693597168,-3.0183313383705164,180.0,0.0,0.0,0.010649466622338281
T2K_app_FHC,10,0.6666666666666666,0.7333333333333333,0.7,1.0,2.647058823529412,2.6490627360484047,0.0,0.04133294388567822,0.041364234313742414,0.001579433134942599,0.001579158916084085,2.742188585138982e-07,-2.344343881802083e-08,0.0,0.08748811693597168,-3.0183313383705164,0.08748811693597168,-3.0183313383705164,180.0,0.0,0.0,0.010649466622338281
T2K_app_FHC,11,0.7333333333333333,0.8,0.7666666666666666,2.0,1.5441176470588234,1.5460112691716534,0.0,0.038524491619164006,0.038571735965703624,0.001672732982576339,0.0016724425651354657,2.9041744087336896e-07,-2.48282833051613e-08,0.0,0.08748811693597168,-3.0183313383705164,0.08748811693597168,-3.0183313383705164,180.0,0.0,0.0,0.010649466622338281
T2K_app_FHC,12,0.8,0.8666666666666667,0.8333333333333334,1.0,1.1029411764705883,1.10481795649599,0.0,0.03546678377458118,0.0355271345464749,0.0017660328302100791,0.0017657262141868462,3.066160232328398e-07,-2.6213127792301776e-08,0.0,0.08748811693597168,-3.0183313383705164,0.08748811693597168,-3.0183313383705164,180.0,0.0,0.0,0.010649466622338281
T2K_app_FHC,13,0.8666666666666667,0.9333333333333333,0.9,22.0,1.1029411764705883,1.1053559296101958,0.0,0.032450165389940284,0.03252121100907918,0.001859332677843819,0.0018590098632382268,3.228146055923106e-07,-2.7597972279442245e-08,0.0,0.08748811693597168,-3.0183313383705164,0.08748811693597168,-3.0183313383705164,180.0,0.0,0.0,0.010649466622338281
T2K_app_FHC,14,0.9333333333333333,1.0,0.9666666666666667,1.0,1.1029411764705883,1.1059121317286877,0.0,0.029612343783797165,0.02969210955040917,0.0019526325254775592,0.0019522935122896073,3.3901318795178137e-07,-2.8982816766582717e-08,0.0,0.08748811693597168,-3.0183313383705164,0.08748811693597168,-3.0183313383705164,180.0,0.0,0.0,0.010649466622338281
T2K_app_FHC,15,1.0,1.0666666666666667,1.0333333333333332,1.0,1.1029411764705883,1.1064894696594303,0.0,0.027009267601077497,0.02709615963331732,0.0020459323731112987,0.0020455771613409873,3.552117703112521e-07,-3.036766125372318e-08,0.0,0.08748811693597168,-3.0183313383705164,0.08748811693597168,-3.0183313383705164,180.0,0.0,0.0,0.010649466622338281
T2K_app_FHC,16,1.0666666666666667,1.1333333333333333,1.1,0.0,0.0,0.0,0.0,0.0246542997869117,0.024747037869510723,0.002139232220745039,0.0021388608103923685,3.714103526707229e-07,-3.175250574086366e-08,0.0,0.08748811693597168,-3.0183313383705164,0.08748811693597168,-3.0183313383705164,180.0,0.0,0.0,0.010649466622338281
T2K_app_FHC,17,1.1333333333333333,1.2,1.1666666666666665,17.0,16.985294117647058,17.058809903376922,0.0,0.022539562147184843,0.02263711792748398,0.0022325320683787785,0.0022321444594437484,3.876089350301936e-07,-3.3137350228004124e-08,0.0,0.08748811693597168,-3.0183313383705164,0.08748811693597168,-3.0183313383705164,180.0,0.0,0.0,0.010649466622338281
T2K_app_RHC,0,0.0,0.06666666666666667,0.03333333333333333,10.0,10.058823529411764,10.111583081078058,0.0,0.0025100808552534783,0.0025232464844328843,0.0006464346586051988,0.0006463224255702796,1.1223303491919041e-07,-9.59499394661612e-09,0.0,0.08748811693597168,-3.0183313383705164,0.08748811693597168,-3.0183313383705164,180.0,0.0,0.0,0.010649466622338281
T2K_app_RHC,1,0.06666666666666667,0.13333333333333333,0.1,1.0,1.1470588235294117,1.1681498557477075,0.0,0.00028378866445819077,0.0002890067018791996,0.0007397345062389387,0.00073960607462166,1.284316172786612e-07,-1.0979838433756593e-08,0.0,0.08748811693597168,-3.0183313383705164,0.08748811693597168,-3.0183313383705164,180.0,0.0,0.0,0.010649466622338281
T2K_app_RHC,2,0.13333333333333333,0.2,0.16666666666666669,1.0,1.1470588235294117,1.1494384881098982,0.0,0.0171461384777148,0.0171817095030106,0.000833034353872679,0.0008328897236730408,1.44630199638132e-07,-1.2364682920897064e-08,0.0,0.08748811693597168,-3.0183313383705164,0.08748811693597168,-3.0183313383705164,180.0,0.0,0.0,0.010649466622338281
