t_s,h_plus_proxy,h_cross_proxy
0.0,0.4396965987980366,6.464189496822656
0.000244140625,0.6369472499936819,0.9279855478089303
0.00048828125,0.7708471426740289,-4.693397026043385
0.000732421875,0.6263875467702746,4.2716423145029685
0.0009765625,0.4714188743382692,1.8174710329622028
0.001220703125,0.3385308906435966,-5.29306030413136
0.00146484375,0.2355037489905953,0.8612360998522489
0.001708984375,0.1601042728871107,-1.3314670368563384
0.001953125,0.1069522192701697,1.70038693677634
0.002197265625,0.0704568522050976,4.727069721091539
0.00244140625,0.0458836928009986,0.15502306586131448
0.002685546875,0.0295867593958973,-1.1782222012989223
0.0029296875,0.0189089197665452,-2.07656687987037
0.003173828125,0.0119823506101965,0.23753704177215687
0.00341796875,0.0075271511450409,0.2840135414153337
0.003662109375,0.0046827420592308,-0.2645276947878302
0.00390625,0.0028789415955543,4.324797769309953
0.004150390625,0.0017423769459128,-0.44209103076718753
0.00439453125,0.0010308641940355,-7.857003362849355
0.004638671875,0.0005885530263185,2.408930519130081
0.0048828125,0.0003158273175358,6.148500013165176
0.005126953125,0.0001494102180004,-4.219906007871032
0.00537109375,-0.4560124780982733,-3.9630240502301604
0.005615234375,-4.811727585271001,-2.1923828446306293
0.005859375,-9.66774634178728,-8.02337992237881
0.006103515625,-6.450960668735206,-8.815646893111989
0.00634765625,-0.0484603308141231,-0.28129097237251693
0.006591796875,2.7785467756912112,4.524776604957879
0.0068359375,3.304811175912618,4.199753962224349
0.007080078125,2.939421769231558,3.0703890074510127
0.00732421875,2.322443070821464,1.4566041161306202
0.007568359375,1.7199541851878166,2.6440008031204343
0.0078125,1.222762900404632,0.8953448089305311
0.008056640625,0.8451680336147547,-1.9342477761674672
0.00830078125,0.5722858170047402,0.8778760312125087
0.008544921875,0.3814838612452149,4.135877983644605
0.0087890625,0.2511792806908488,1.7500265475828198
0.009033203125,0.1637467090040445,-3.976273171370849
0.00927734375,0.1058790320530533,-3.262889339355752
0.009521484375,0.0679956525564193,4.571813414804638
0.009765625,0.0434153582900762,3.0483858480583876
0.010009765625,0.0275842742994427,-3.3557360181584954
0.01025390625,0.0174514697864651,-4.922923743957654
0.010498046875,0.0110001564025878,1.57533105276525
0.0107421875,0.006911383010447,6.977278779260814
0.010986328125,0.0043301302939653,-1.3126182004343718
0.01123046875,0.0027061309665441,-2.201909023337066
0.011474609375,0.001687416806817,0.9621138237416742
0.01171875,0.0010500643402338,-1.366829973878339
0.011962890625,0.0006522163748741,0.08796370355412361
0.01220703125,0.0004043728113174,0.7862077916506678
0.012451171875,0.0002502491697669,-0.17437273752875632
0.0126953125,0.0001545464619994,-3.1794389251153916
0.012939453125,9.521655738353728e-05,-0.8511918189469724
0.01318359375,5.84898516535759e-05,6.322865652386099
0.013427734375,3.5771168768405914e-05,0.3347298160661012
0.013671875,2.173520624637604e-05,-4.380104748997837
0.013916015625,1.3076700270175934e-05,-2.510192296700552
0.01416015625,7.738359272480011e-06,1.8044452266767619
0.014404296875,4.453584551811218e-06,6.642953757662326
0.0146484375,2.440996468067169e-06,-3.143211239948869
0.014892578125,1.216307282447815e-06,-3.7252890777308494
0.01513671875,4.76837158203125e-07,3.3105611868668343
0.015380859375,3.166496753692627e-08,0.9313225946389136
0.015625,-2.4028122425079346e-07,3.0340740813408047
0.015869140625,-3.986060619354248e-07,-0.683940411079675
0.01611328125,-4.852190613746643e-07,-5.791662744944915
0.016357421875,-5.345791578292847e-07,-0.363798409467563
0.0166015625,-5.522742867469788e-07,0.021827329648658637
0.016845703125,-5.494803190231323e-07,-0.2692109746858478
0.01708984375,-5.345791578292847e-07,0.7203192617744207
0.017333984375,-5.150213837623596e-07,-0.9167711955960839
0.017578125,-5.094334483146667e-07,1.2805680171586573
0.017822265625,-5.168840289115906e-07,1.9135763430967927
