center_gps,anchor_lag_s,anchor_corr,avg_lag_s_requested,avg_lag_fixed,abs_corr_avg,corr_avg,time_scale,model_lag_s,abs_corr_h1,corr_h1,abs_corr_l1,corr_l1,min_abs_corr,sign_agree
1186741865.3326688,-0.008,0.11950987999535057,0.0,True,0.26113099722728356,0.26113099722728356,2.0,-0.016357421875,0.0646886924202007,0.0646886924202007,0.2273622374061667,0.2273622374061667,0.0646886924202007,1
1186741858.4844043,-0.008,-0.1946434719129354,0.0,True,0.2862558132816729,0.2862558132816729,2.0,-0.02587890625,0.06372570200077092,0.06372570200077092,0.33891505772565444,0.33891505772565444,0.06372570200077092,1
1186741865.0019693,-0.008,0.023937186087669274,0.0,True,0.3021386141121118,0.3021386141121118,2.0,-0.0068359375,0.28943728075515035,0.28943728075515035,0.2678183304068612,0.2678183304068612,0.013074308931939048,0
1186741875.9065008,-0.008,0.1453619313719561,0.0,True,0.309355439630059,0.309355439630059,2.0,-0.02587890625,0.03070246474630232,0.03070246474630232,0.25727992436331376,0.25727992436331376,0.03070246474630232,1
1186741852.884829,-0.008,-0.05416215865729233,0.0,True,0.2943247454933781,-0.2943247454933781,2.0,-0.008544921875,0.2888714215059375,-0.2888714215059375,0.20536914437596068,-0.20536914437596068,0.030596645489155295,1
1186741857.1111603,-0.008,0.01737288354708851,0.0,True,0.27829002915516005,0.27829002915516005,2.0,-0.026611328125,0.10142037213363385,0.10142037213363385,0.27071499301678964,0.27071499301678964,0.10142037213363385,1
1186741864.0541108,-0.008,-0.13734863053694005,0.0,True,0.2947871178415339,0.2947871178415339,2.0,-0.00830078125,0.2964440225301161,0.2964440225301161,0.27442662040829535,0.27442662040829535,0.03481719617604435,0
1186741863.1876314,-0.008,-0.03596547635262088,0.0,True,0.29330692075565384,0.29330692075565384,2.0,-0.030029296875,0.05081070299769085,0.05081070299769085,0.33507505567014345,0.33507505567014345,0.05081070299769085,1
1186741869.081273,-0.008,-0.1389979400644144,0.0,True,0.20949619789781024,0.20949619789781024,2.0,-0.017333984375,0.060797426852072955,0.060797426852072955,0.2064305451409988,0.2064305451409988,0.060797426852072955,1
1186741859.9244587,-0.008,-0.08945005843155819,0.0,True,0.23824211160962874,-0.23824211160962874,2.0,-0.022705078125,0.012065822940031343,-0.012065822940031343,0.28989426150612024,-0.28989426150612024,0.012065822940031343,1
