center_gps,anchor_lag_s,anchor_corr,avg_lag_s_requested,avg_lag_fixed,abs_corr_avg,corr_avg,time_scale,model_lag_s,abs_corr_h1,corr_h1,abs_corr_l1,corr_l1,min_abs_corr,sign_agree
1186741865.3326688,-0.008,0.11950987999535057,0.0,True,0.16406334474800754,-0.16406334474800754,1.0,0.0,0.13471559162296928,-0.13471559162296928,0.17159267210120774,-0.17159267210120774,0.04505773127811604,1
1186741858.4844043,-0.008,-0.1946434719129354,0.0,True,0.13999835800125343,-0.13999835800125343,1.0,0.0,0.11772456214734134,-0.11772456214734134,0.1453378277176143,-0.1453378277176143,0.057664988089694155,1
1186741865.0019693,-0.008,0.023937186087669274,0.0,True,0.11399422971404981,0.11399422971404981,1.0,0.0,0.008225305434368014,0.008225305434368014,0.13468305184909266,0.13468305184909266,0.008225305434368014,1
1186741875.9065008,-0.008,0.1453619313719561,0.0,True,0.0335084332461256,0.0335084332461256,1.0,0.0,0.13430156100892487,0.13430156100892487,0.04330400171025064,-0.04330400171025064,0.04044668848576118,0
1186741852.884829,-0.008,-0.05416215865729233,0.0,True,0.10517361198462755,-0.10517361198462755,1.0,0.0,0.15507534184748928,-0.15507534184748928,0.04958510468351422,-0.04958510468351422,0.04472487025256754,0
1186741857.1111603,-0.008,0.01737288354708851,0.0,True,0.024261102142767863,-0.024261102142767863,1.0,0.0,0.13952279360191192,-0.13952279360191192,0.1130734238175229,0.1130734238175229,0.0058932749932436015,0
1186741864.0541108,-0.008,-0.13734863053694005,0.0,True,0.06460772871758484,0.06460772871758484,1.0,0.0,0.10224690908048084,0.10224690908048084,0.015972299867082432,0.015972299867082432,0.015972299867082432,0
1186741863.1876314,-0.008,-0.03596547635262088,0.0,True,0.029448322419803927,-0.029448322419803927,1.0,0.0,0.08106160657999938,0.08106160657999938,0.08520079025167872,-0.08520079025167872,0.03097931053920243,0
1186741869.081273,-0.008,-0.1389979400644144,0.0,True,0.0984567413432689,0.0984567413432689,1.0,0.0,0.1223933569035791,0.1223933569035791,0.06064063479380709,0.06064063479380709,0.06064063479380709,0
1186741859.9244587,-0.008,-0.08945005843155819,0.0,True,0.015266857631545196,-0.015266857631545196,1.0,0.0,0.15856241949625868,-0.15856241949625868,0.0888358944193929,0.0888358944193929,0.051175138179415124,0
1186741848.7257934,-0.008,0.21857927229432547,0.0,True,0.10392308829617557,0.10392308829617557,1.0,0.0,0.06838114611645055,0.06838114611645055,0.11022143328027291,0.11022143328027291,0.031039271915616326,0
1186741851.9817114,-0.008,-0.11159103150569508,0.0,True,0.09574718371657982,0.09574718371657982,1.0,0.0,0.11884066452314102,0.11884066452314102,0.023771494909010166,-0.023771494909010166,0.023771494909010166,0
1186741869.722018,-0.008,0.1819677691573151,0.0,True,0.10099049876298466,0.10099049876298466,1.0,0.0,0.044858379483706495,0.044858379483706495,0.15363077535478661,0.15363077535478661,0.004036175041697927,0
1186741867.3979921,-0.008,0.11507291813658484,0.0,True,0.0702665455880048,0.0702665455880048,1.0,0.0,0.1523237274331467,0.1523237274331467,0.11010608538602316,-0.11010608538602316,0.03943499343249326,0
1186741868.045698,-0.008,0.030753644058030143,0.0,True,0.09961713413009775,0.09961713413009775,1.0,0.0,0.06990810347343154,0.06990810347343154,0.07856810884852634,0.07856810884852634,0.011672758445697711,0
1186741850.157784,-0.008,-0.2557557100512988,0.0,True,0.10219652517235944,0.10219652517235944,1.0,0.0,0.037932903935327895,-0.037932903935327895,0.15017891283147736,0.15017891283147736,0.016675982392796194,0
1186741848.392333,-0.008,-0.3148771000500282,0.0,True,0.07930755297040576,-0.07930755297040576,1.0,0.0,0.05706961641603639,-0.05706961641603639,0.08656856229646366,-0.08656856229646366,0.03853910583747392,1
1186741874.9569504,-0.008,0.10619152242955672,0.0,True,0.10611277554554596,0.10611277554554596,1.0,0.0,0.1379807631480373,0.1379807631480373,0.010496940423232126,0.010496940423232126,0.010496940423232126,1
1186741859.650278,-0.008,0.09945926056802722,0.0,True,0.12245357870871158,-0.12245357870871158,1.0,0.0,0.1617032659833061,-0.1617032659833061,0.023453131477579922,0.023453131477579922,0.023453131477579922,0
1186741848.0153565,-0.008,-0.18406659848996584,0.0,True,0.07525455167890668,-0.07525455167890668,1.0,0.0,0.05520717957094526,0.05520717957094526,0.12619444004296348,-0.12619444004296348,0.05363521672999739,0
1186741853.5948672,-0.008,-0.017127183305230123,0.0,True,0.019002111137017667,0.019002111137017667,1.0,0.0,0.08602808486899743,-0.08602808486899743,0.06597869829951737,0.06597869829951737,0.051930880029408356,0
1186741856.6939485,-0.008,0.046999075391095844,0.0,True,0.0627996035762639,0.0627996035762639,1.0,0.0,0.11781414537303177,0.11781414537303177,0.019373347449908675,0.019373347449908675,0.019373347449908675,0
1186741850.0969815,-0.008,-0.2557557100512988,0.0,True,0.10219652517235944,0.10219652517235944,1.0,0.0,0.037932903935327895,-0.037932903935327895,0.15017891283147736,0.15017891283147736,0.016675982392796194,0
1186741871.7966528,-0.008,-0.06466170815971273,0.0,True,0.1163613239601424,-0.1163613239601424,1.0,0.0,0.09058310264044131,-0.09058310264044131,0.13308999283386955,-0.13308999283386955,0.020747373783056085,1
1186741850.8396997,-0.008,-0.08046341890434491,0.0,True,0.10603038927964106,0.10603038927964106,1.0,0.0,0.11666422841277233,0.11666422841277233,0.12150838503125949,0.12150838503125949,0.0395118570409383,0
1186741853.0005128,-0.008,-0.05416215865729233,0.0,True,0.10517361198462755,-0.10517361198462755,1.0,0.0,0.15507534184748928,-0.15507534184748928,0.04958510468351422,-0.04958510468351422,0.04472487025256754,0
1186741852.1020575,-0.008,0.09234761813608963,0.0,True,0.03508283474922684,0.03508283474922684,1.0,0.0,0.01592304791867285,0.01592304791867285,0.09697779659728994,0.09697779659728994,0.01592304791867285,0
1186741873.7602131,-0.008,-0.01208931538995534,0.0,True,0.07750971429456467,0.07750971429456467,1.0,0.0,0.025831403549959237,0.025831403549959237,0.1474949923947905,0.1474949923947905,0.025831403549959237,0
1186741869.160606,-0.008,-0.1389979400644144,0.0,True,0.0984567413432689,0.0984567413432689,1.0,0.0,0.1223933569035791,0.1223933569035791,0.06064063479380709,0.06064063479380709,0.06064063479380709,0
1186741870.3368666,-0.008,0.15546278809925895,0.0,True,0.10852274697740596,0.10852274697740596,1.0,0.0,0.15421896836537483,0.15421896836537483,0.04416206045217996,0.04416206045217996,0.04416206045217996,1
1186741849.2315376,-0.008,-0.10646493830095753,0.0,True,0.14957167374217575,-0.14957167374217575,1.0,0.0,0.1683109724994971,-0.1683109724994971,0.15572160799443743,-0.15572160799443743,0.05322266540431641,0
1186741850.9615192,-0.008,0.12550952059953538,0.0,True,0.1001606124135343,0.1001606124135343,1.0,0.0,0.04901588883136589,0.04901588883136589,0.038360840869769576,0.038360840869769576,0.038360840869769576,1
1186741851.927812,-0.008,-0.11159103150569508,0.0,True,0.09574718371657982,0.09574718371657982,1.0,0.0,0.11884066452314102,0.11884066452314102,0.023771494909010166,-0.023771494909010166,0.023771494909010166,0
1186741856.3304656,-0.008,-0.2337464065546726,0.0,True,0.14506357464011232,0.14506357464011232,1.0,0.0,0.14988252863315013,0.14988252863315013,0.13301871475352853,0.13301871475352853,0.04388698608784989,0
1186741851.0133562,-0.008,0.12550952059953538,0.0,True,0.1001606124135343,0.1001606124135343,1.0,0.0,0.04901588883136589,0.04901588883136589,0.038360840869769576,0.038360840869769576,0.038360840869769576,1
1186741851.7326522,-0.008,-0.11159103150569508,0.0,True,0.09574718371657982,0.09574718371657982,1.0,0.0,0.11884066452314102,0.11884066452314102,0.023771494909010166,-0.023771494909010166,0.023771494909010166,0
1186741848.2983747,-0.008,0.15569973330105813,0.0,True,0.045380808981354055,-0.045380808981354055,1.0,0.0,0.04963008466764805,-0.04963008466764805,0.01233265000993586,0.01233265000993586,0.01233265000993586,0
1186741857.4828715,-0.008,0.10097962468597806,0.0,True,0.05317837490940365,-0.05317837490940365,1.0,0.0,0.13789836268067998,0.13789836268067998,0.13599327895949134,-0.13599327895949134,0.06974150398888564,0
1186741850.3380282,-0.008,-0.2557557100512988,0.0,True,0.10219652517235944,0.10219652517235944,1.0,0.0,0.037932903935327895,-0.037932903935327895,0.15017891283147736,0.15017891283147736,0.016675982392796194,0
1186741851.6514452,-0.008,0.19474805662106986,0.0,True,0.06821698377810728,-0.06821698377810728,1.0,0.0,0.04922216649087889,0.04922216649087889,0.14038258985094368,-0.14038258985094368,0.0009792454711422488,0
1186741869.7847135,-0.008,0.1819677691573151,0.0,True,0.10099049876298466,0.10099049876298466,1.0,0.0,0.044858379483706495,0.044858379483706495,0.15363077535478661,0.15363077535478661,0.004036175041697927,0
1186741853.8449316,-0.008,-0.03225447053053187,0.0,True,0.07234546312732382,0.07234546312732382,1.0,0.0,0.06831763250605906,0.06831763250605906,0.1208845835174729,0.1208845835174729,0.04053227847652765,0
1186741867.74183,-0.008,-0.06584091724520941,0.0,True,0.0865532609646346,-0.0865532609646346,1.0,0.0,0.11378604589914687,-0.11378604589914687,0.04828029373665334,-0.04828029373665334,0.005699925562593273,1
1186741867.8406515,-0.008,-0.06584091724520941,0.0,True,0.0865532609646346,-0.0865532609646346,1.0,0.0,0.11378604589914687,-0.11378604589914687,0.04828029373665334,-0.04828029373665334,0.005699925562593273,1
1186741872.4526918,-0.008,0.03777210011039625,0.0,True,0.027344285140019384,-0.027344285140019384,1.0,0.0,0.03424075850532204,0.03424075850532204,0.10817295537782139,-0.10817295537782139,0.02610304815810367,0
1186741872.5935626,-0.008,-0.045132611310323485,0.0,True,0.1594157949412536,-0.1594157949412536,1.0,0.0,0.10962402919988147,-0.10962402919988147,0.18019076308755214,-0.18019076308755214,0.01734625357683204,1
1186741859.2899082,-0.008,-0.010306750370133285,0.0,True,0.1466566093473043,0.1466566093473043,1.0,0.0,0.15592546285527176,0.15592546285527176,0.10091237739855664,0.10091237739855664,0.005230417713330451,0
1186741856.618338,-0.008,0.046999075391095844,0.0,True,0.0627996035762639,0.0627996035762639,1.0,0.0,0.11781414537303177,0.11781414537303177,0.019373347449908675,0.019373347449908675,0.019373347449908675,0
1186741874.099224,-0.008,0.13812987240137245,0.0,True,0.05306459727801989,0.05306459727801989,1.0,0.0,0.14413041507968988,0.14413041507968988,0.1063642861636532,-0.1063642861636532,0.016531322693624406,0
1186741849.1294289,-0.008,-0.10646493830095753,0.0,True,0.14957167374217575,-0.14957167374217575,1.0,0.0,0.1683109724994971,-0.1683109724994971,0.15572160799443743,-0.15572160799443743,0.05322266540431641,0
1186741871.1547108,-0.008,-0.06904138490698791,0.0,True,0.0025225638526124397,0.0025225638526124397,1.0,0.0,0.09858931168268871,-0.09858931168268871,0.016649254373360498,0.016649254373360498,0.016649254373360498,0
1186741870.1904974,-0.008,-0.03596879976580351,0.0,True,0.15241709939761947,-0.15241709939761947,1.0,0.0,0.11999059022405392,-0.11999059022405392,0.1005780005479089,-0.1005780005479089,0.0812300617172952,1
1186741873.8548515,-0.008,-0.20402076998462657,0.0,True,0.10588810829544794,0.10588810829544794,1.0,0.0,0.1657060493541214,0.1657060493541214,0.009211517308249872,0.009211517308249872,0.0014067653367814412,1
1186741868.4690902,-0.008,-0.10352528389845062,0.0,True,0.10162123129541656,-0.10162123129541656,1.0,0.0,0.0014184029427576016,0.0014184029427576016,0.16652081248132022,-0.16652081248132022,0.0014184029427576016,0
1186741869.8078222,-0.008,0.1819677691573151,0.0,True,0.10099049876298466,0.10099049876298466,1.0,0.0,0.044858379483706495,0.044858379483706495,0.15363077535478661,0.15363077535478661,0.004036175041697927,0
