sqrts_GeV,rho,err,channel,experiment,sigma_sm_mb,sigma_geo_mb,rho_sm,rho_geo,phi_geo_rad
541.0,0.135,0.015,pbarp,UA4/2,78.6483397529527,78.64427064932153,0.14158311399225967,0.14195540323806458,-0.0003649542016204583
1800.0,0.14,0.069,pbarp,E710,97.35943571180262,97.35364188535596,0.13669189084047478,0.13713470382199042,-0.0004346650691203163
13000.0,0.09,0.01,pp,TOTEM,135.31216036041414,135.3028891890946,0.12445567876118041,0.1250135458603944,-0.0005493203622075161
13000.0,0.098,0.011,pp,ATLAS-ALFA,135.31216036041414,135.3028891890946,0.12445567876118041,0.1250135458603944,-0.0005493203622075161
