split,start_idx,end_idx,trials_valid,dropped_invalid,N_pp_ab,N_p0_abp,N_0p_apb,N_pp_apbp,J,J_per_1M_valid
0,0,33781863,33781851,12,1188,560,613,12,3,0.08880508057418168
1,33781863,67563727,33781849,15,1242,535,577,16,114,3.374593261606255
2,67563727,101345591,33781856,8,1149,534,603,11,1,0.029601689143426577
3,101345591,135127455,33781853,11,1230,588,600,10,32,0.947254136710618
4,135127455,168909319,33781849,15,1193,572,538,6,77,2.2793305363480845
5,168909319,202691183,33781847,17,1227,568,614,13,32,0.9472543049525978
6,202691183,236473047,33781852,12,1211,556,580,12,63,1.8649066368534204
7,236473047,270254911,33781854,10,1235,530,589,14,102,3.019372471386562
8,270254911,304036775,33781857,7,1234,593,553,8,80,2.3681350613733283
9,304036775,337818639,33781850,14,1173,544,569,14,46,1.3616779424454257
