split,start_idx,end_idx,trials_valid,dropped_invalid,N_pp_ab,N_p0_abp,N_0p_apb,N_pp_apbp,J,J_per_1M_valid
0,0,33781863,19517609,14264254,170,106,577,1111,-1624,-83.20691330582552
1,33781863,67563727,19519738,14262126,182,92,574,1005,-1489,-76.28176156872598
2,67563727,101345591,22000994,11780870,344,145,597,891,-1289,-58.58826196670932
3,101345591,135127455,17046829,16735035,0,0,571,1263,-1834,-107.58599150610357
4,135127455,168909319,17043967,16737897,0,0,596,1245,-1841,-108.01475970940334
5,168909319,202691183,17047255,16734609,0,0,567,1285,-1852,-108.63919147100222
6,202691183,236473047,20253046,13528818,242,96,535,1049,-1438,-71.00166562600015
7,236473047,270254911,21268560,12513304,279,122,578,933,-1354,-63.66204388073287
8,270254911,304036775,19521313,14260551,186,108,560,994,-1476,-75.60966826360502
9,304036775,337818639,21998451,11783413,361,167,546,855,-1207,-54.86749953439904
