pair_shell,shell_offset,target_a,target_b,mz_a,mz_b,delta_mz,mean_mz,overlap_proxy,corridor_proxy,rejection_proxy,leak_reduction_proxy,effective_leak_ratio,sep_s0_used,sep_norm,stable_margin,reject_margin,leak_margin,nearest_stable_boundary_margin,stable_margin_norm,repulsive_corridor_margin,repulsive_reject_margin,repulsive_margin,repulsive_margin_norm,nearest_threshold_gap,classification,boundary_confidence
adjacent,1,T09,T05,816.150905794617,816.2179591887738,0.067053394156801,816.1844324916954,0.935145268710624,0.935145268710624,0.06485473128937602,0.467572634355312,0.5324273656446881,0.11,0.3787184904087045,0.685145268710624,0.685145268710624,0.36757263435531196,0.36757263435531196,0.4900968458070826,-0.685145268710624,-0.685145268710624,-0.685145268710624,-2.740581074842496,0.36757263435531196,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE
adjacent,1,T05,T08,816.2179591887738,816.2846386253631,0.06667943658931108,816.2512989070684,0.9354950387560622,0.9354950387560622,0.06450496124393779,0.4677475193780311,0.5322524806219688,0.11,0.3774034934484567,0.6854950387560622,0.6854950387560622,0.3677475193780312,0.3677475193780312,0.4903300258373749,-0.6854950387560622,-0.6854950387560622,-0.6854950387560622,-2.741980155024249,0.3677475193780312,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE
adjacent,1,T08,T12,816.2846386253631,816.3505774368784,0.06593881151536607,816.3176080311207,0.936188146473111,0.936188146473111,0.063811853526889,0.4680940732365555,0.5319059267634445,0.11,0.3747826357779343,0.686188146473111,0.686188146473111,0.3680940732365555,0.3680940732365555,0.4907920976487407,-0.686188146473111,-0.686188146473111,-0.686188146473111,-2.744752585892444,0.3680940732365555,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE
adjacent,1,T12,T07,816.3505774368784,874.3736148839217,58.02303744704329,845.3620961604001,6.322881076398197e-26,6.322881076398197e-26,1.0,3.161440538199098e-26,1.0,0.11,0.9981077885341841,-0.25,-0.25,-0.09999999999999998,-0.25,-0.3333333333333333,0.25,0.25,0.25,1.0,0.09999999999999998,REPULSIVE,STRONG_REPULSIVE
adjacent,1,T07,T06,874.3736148839217,874.4459950022319,0.07238011831020685,874.4098049430768,0.9301772511971494,0.9301772511971494,0.06982274880285055,0.4650886255985747,0.5349113744014253,0.11,0.3968640824494746,0.6801772511971494,0.6801772511971494,0.3650886255985747,0.3650886255985747,0.4867848341314329,-0.6801772511971494,-0.6801772511971494,-0.6801772511971494,-2.720709004788598,0.3650886255985747,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE
adjacent,1,T06,T02,874.4459950022319,1359.4683021868375,485.02230718460555,1116.9571485945348,2.2776573510462603e-211,2.2776573510462603e-211,1.0,1.1388286755231301e-211,1.0,0.11,0.9997732577311984,-0.25,-0.25,-0.09999999999999998,-0.25,-0.3333333333333333,0.25,0.25,0.25,1.0,0.09999999999999998,REPULSIVE,STRONG_REPULSIVE
adjacent,1,T02,T03,1359.4683021868375,1359.5761874211696,0.10788523433211594,1359.5222448040035,0.8977306191726742,0.8977306191726742,0.10226938082732584,0.4488653095863371,0.5511346904136629,0.11,0.49514706520988805,0.6477306191726742,0.6477306191726742,0.3488653095863371,0.3488653095863371,0.4651537461151161,-0.6477306191726742,-0.6477306191726742,-0.6477306191726742,-2.5909224766906966,0.3488653095863371,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE
adjacent,1,T03,T04,1359.5761874211696,1359.693640591063,0.11745316989345156,1359.6349140061163,0.8891821512663336,0.8891821512663336,0.1108178487336664,0.4445910756331668,0.5554089243668332,0.11,0.5163839657564301,0.6391821512663336,0.6391821512663336,0.3445910756331668,0.3445910756331668,0.4594547675108891,-0.6391821512663336,-0.6391821512663336,-0.6391821512663336,-2.5567286050653344,0.3445910756331668,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE
adjacent,1,T04,T01,1359.693640591063,1359.8014120746163,0.10777148355327881,1359.7475263328397,0.8978327425379871,0.8978327425379871,0.10216725746201294,0.44891637126899353,0.5510836287310065,0.11,0.4948833602766545,0.6478327425379871,0.6478327425379871,0.34891637126899355,0.34891637126899355,0.46522182835865805,-0.6478327425379871,-0.6478327425379871,-0.6478327425379871,-2.5913309701519482,0.34891637126899355,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE
adjacent,1,T01,T10,1359.8014120746163,1359.9123871042475,0.11097502963116312,1359.856899589432,0.8949610961586862,0.8949610961586862,0.10503890384131376,0.4474805480793431,0.5525194519206569,0.11,0.5022061986659547,0.6449610961586862,0.6449610961586862,0.34748054807934314,0.34748054807934314,0.4633073974391242,-0.6449610961586862,-0.6449610961586862,-0.6449610961586862,-2.579844384634745,0.34748054807934314,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE
