pair_shell,shell_offset,target_a,target_b,mz_a,mz_b,delta_mz,mean_mz,overlap_proxy,corridor_proxy,rejection_proxy,leak_reduction_proxy,effective_leak_ratio,sep_s0_used,sep_norm,stable_margin,reject_margin,leak_margin,nearest_stable_boundary_margin,stable_margin_norm,repulsive_corridor_margin,repulsive_reject_margin,repulsive_margin,repulsive_margin_norm,nearest_threshold_gap,classification,boundary_confidence
adjacent,1,T09,T05,816.1508423429284,816.2167007237565,0.06585838082810369,816.1837715333425,0.9362634477573651,0.9362634477573651,0.06373655224263486,0.46813172387868257,0.5318682761213174,0.11,0.37449668601508557,0.6862634477573651,0.6862634477573651,0.36813172387868265,0.36813172387868265,0.4908422985049102,-0.6862634477573651,-0.6862634477573651,-0.6862634477573651,-2.7450537910294606,0.36813172387868265,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE
adjacent,1,T05,T08,816.2167007237565,816.2832467439532,0.06654602019671074,816.2499737338549,0.9356198574556738,0.9356198574556738,0.06438014254432622,0.4678099287278369,0.5321900712721631,0.11,0.37693299527547536,0.6856198574556738,0.6856198574556738,0.3678099287278369,0.3678099287278369,0.49041323830378253,-0.6856198574556738,-0.6856198574556738,-0.6856198574556738,-2.742479429822695,0.3678099287278369,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE
adjacent,1,T08,T12,816.2832467439532,816.3494625084064,0.06621576445320443,816.3163546261799,0.9359289023164482,0.9359289023164482,0.06407109768355179,0.4679644511582241,0.5320355488417758,0.11,0.37576527082393124,0.6859289023164482,0.6859289023164482,0.3679644511582242,0.3679644511582242,0.4906192682109656,-0.6859289023164482,-0.6859289023164482,-0.6859289023164482,-2.743715609265793,0.3679644511582242,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE
adjacent,1,T12,T07,816.3494625084064,874.3724938549005,58.02303134649412,845.3609781816535,6.322919649562767e-26,6.322919649562767e-26,1.0,3.161459824781384e-26,1.0,0.11,0.9981077883356132,-0.25,-0.25,-0.09999999999999998,-0.25,-0.3333333333333333,0.25,0.25,0.25,1.0,0.09999999999999998,REPULSIVE,STRONG_REPULSIVE
adjacent,1,T07,T06,874.3724938549005,874.4453328372649,0.0728389823643738,874.4089133460827,0.9297505242048976,0.9297505242048976,0.07024947579510243,0.4648752621024488,0.5351247378975512,0.11,0.3983777497690038,0.6797505242048976,0.6797505242048976,0.3648752621024488,0.3648752621024488,0.48650034946993176,-0.6797505242048976,-0.6797505242048976,-0.6797505242048976,-2.7190020968195903,0.3648752621024488,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE
adjacent,1,T06,T02,874.4453328372649,1359.4670907916216,485.02175795435664,1116.9562118144431,2.278908652955076e-211,2.278908652955076e-211,1.0,1.139454326477538e-211,1.0,0.11,0.9997732574744975,-0.25,-0.25,-0.09999999999999998,-0.25,-0.3333333333333333,0.25,0.25,0.25,1.0,0.09999999999999998,REPULSIVE,STRONG_REPULSIVE
adjacent,1,T02,T03,1359.4670907916216,1359.5760603878325,0.10896959621095448,1359.521575589727,0.8967576819151485,0.8967576819151485,0.10324231808485151,0.44837884095757424,0.5516211590424258,0.11,0.49764715328777237,0.6467576819151485,0.6467576819151485,0.3483788409575742,0.3483788409575742,0.46450512127676563,-0.6467576819151485,-0.6467576819151485,-0.6467576819151485,-2.587030727660594,0.3483788409575742,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE
adjacent,1,T03,T04,1359.5760603878325,1359.692103898025,0.11604351019241221,1359.6340821429287,0.8904364793920522,0.8904364793920522,0.10956352060794783,0.4452182396960261,0.554781760303974,0.11,0.5133680241190466,0.6404364793920522,0.6404364793920522,0.34521823969602605,0.34521823969602605,0.46029098626136805,-0.6404364793920522,-0.6404364793920522,-0.6404364793920522,-2.5617459175682087,0.34521823969602605,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE
adjacent,1,T04,T01,1359.692103898025,1359.800168321732,0.10806442370699187,1359.7461361098785,0.8975697697958978,0.8975697697958978,0.10243023020410225,0.4487848848979489,0.5512151151020511,0.11,0.4955619163820851,0.6475697697958978,0.6475697697958978,0.3487848848979489,0.3487848848979489,0.4650465131972652,-0.6475697697958978,-0.6475697697958978,-0.6475697697958978,-2.590279079183591,0.3487848848979489,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE
adjacent,1,T01,T10,1359.800168321732,1359.9082147277895,0.10804640605761051,1359.8541915247606,0.8975859420389977,0.8975859420389977,0.10241405796100234,0.44879297101949883,0.5512070289805011,0.11,0.4955202335646997,0.6475859420389977,0.6475859420389977,0.3487929710194989,0.3487929710194989,0.4650572946926652,-0.6475859420389977,-0.6475859420389977,-0.6475859420389977,-2.5903437681559907,0.3487929710194989,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE
adjacent,1,T10,T11,1359.9082147277895,1529.528504859221,169.62029013143137,1444.7183597935052,2.1619416936157973e-74,2.1619416936157973e-74,1.0,1.0809708468078986e-74,1.0,0.11,0.9993519129678337,-0.25,-0.25,-0.09999999999999998,-0.25,-0.3333333333333333,0.25,0.25,0.25,1.0,0.09999999999999998,REPULSIVE,STRONG_REPULSIVE
