target_label,target_mz,window_ppm,setting,g_bin,g_lo,g_hi,g_center,n_total,n_good,p_success,median_success_ppm,mad_success_ppm,frac_tail3,x_occ_mean,x_occ_median,gate_occ_factor_mean,gate_occ_factor_min,gate_occ_factor_max,mean_gate_good,p_success_occ
T01,1359.8,30.0,ModeA_points,0,0.0,0.05875456247981278,0.02937728123990639,8,8,1.0,3.4738030489647214,2.5507425878619143,0.0,0.49624181887801133,0.45631292269113544,0.9503758181121988,0.9300951225120917,0.9677024800560367,0.9503758181121988,0.9503758181121988
T01,1359.8,30.0,ModeB_holdout_points,0,0.0,0.05875456247981278,0.02937728123990639,22,22,1.0,9.735187366768024,2.247434102611924,0.0,0.4278174537591146,0.41089264410988835,0.9572182546240885,0.9342107492631029,1.0,0.9572182546240885,0.9572182546240885
T01,1359.8,30.0,ModeB_points,0,0.0,0.05875456247981278,0.02937728123990639,22,22,1.0,11.22514273415145,2.113635266118358,0.0,0.4043445321792985,0.4212806809483982,0.9595655467820703,0.9346881249003636,1.0,0.9595655467820703,0.9595655467820703
T01,1359.8,30.0,ModeA_points,1,0.062821138569257,0.11263876645913054,0.08772995251419377,28,28,1.0,5.198157189173171,3.619690230908021,0.0,0.5623988884122956,0.518685266953133,0.9437601111587705,0.9242483866244531,0.966537931890208,0.9437601111587705,0.9437601111587705
T01,1359.8,30.0,ModeB_holdout_points,1,0.062821138569257,0.11263876645913054,0.08772995251419377,8,8,1.0,1.266538450713675,2.724508720230256,0.0,0.5267728373831966,0.4969890804175835,0.9473227162616804,0.9334931084749971,0.9558566874673012,0.9473227162616804,0.9473227162616804
T01,1359.8,30.0,ModeB_points,1,0.062821138569257,0.11263876645913054,0.08772995251419377,12,12,1.0,2.8671903213632004,1.9495328543113146,0.0,0.49419099091027224,0.46840808671862905,0.9505809009089727,0.9254636633443895,0.9576654670131937,0.9505809009089727,0.9505809009089727
T01,1359.8,30.0,ModeA_points,2,0.11348795036393747,0.13126954358089793,0.1223787469724177,8,8,1.0,4.3918354005795415,3.283573106040628,0.0,0.5405309153937166,0.507367189964339,0.9459469084606282,0.9312866989985941,0.9550961818260466,0.9459469084606282,0.9459469084606282
T01,1359.8,30.0,ModeB_holdout_points,2,0.11348795036393747,0.13126954358089793,0.1223787469724177,8,8,1.0,5.945180117844943,3.725857286441581,0.0,0.5821487238538113,0.6650712031592008,0.941785127614619,0.9311942041464755,0.9584299885677805,0.941785127614619,0.941785127614619
T01,1359.8,30.0,ModeB_points,2,0.11348795036393747,0.13126954358089793,0.1223787469724177,18,18,1.0,4.754650358584362,3.885122374135749,0.0,0.5437497411575851,0.5040926899397391,0.9456250258842415,0.9308199958807717,0.9621447247774455,0.9456250258842415,0.9456250258842415
T01,1359.8,30.0,ModeA_points,3,0.13210539119968825,0.14604668721701503,0.13907603920835165,8,8,1.0,3.749806140156393,2.845420345453147,0.0,0.6021461553978494,0.6616239275564835,0.9397853844602151,0.9288176406345667,0.954991981434935,0.9397853844602151,0.9397853844602151
T01,1359.8,30.0,ModeB_holdout_points,3,0.13210539119968825,0.14604668721701503,0.13907603920835165,19,19,1.0,3.7397692675065337,2.7200471136424884,0.0,0.5270023976823204,0.5048515795488557,0.9472997602317681,0.9309918978551848,0.9600896965386809,0.9472997602317681,0.9472997602317681
T01,1359.8,30.0,ModeB_points,3,0.13210539119968825,0.14604668721701503,0.13907603920835165,32,32,1.0,6.14565910367444,2.679550582044956,0.0,0.5329168489145273,0.5019509062398302,0.9467083151085474,0.9329827639516999,0.9605244251108709,0.9467083151085474,0.9467083151085474
T01,1359.8,30.0,ModeA_points,4,0.1462377570872365,0.15753367641722493,0.15188571675223073,8,8,1.0,3.623068629673841,2.4328946649011165,0.0,0.5472552199248911,0.5049349313526568,0.9452744780075109,0.9318486232418657,0.9567665188675055,0.9452744780075109,0.9452744780075109
T01,1359.8,30.0,ModeB_holdout_points,4,0.1462377570872365,0.15753367641722493,0.15188571675223073,22,22,1.0,3.231518186315688,2.957681717022822,0.0,0.5202758105615226,0.4722455007379477,0.9479724189438478,0.9311759586550337,0.9611427863043889,0.9479724189438478,0.9479724189438478
T01,1359.8,30.0,ModeB_points,4,0.1462377570872365,0.15753367641722493,0.15188571675223073,28,28,1.0,4.031380048507601,3.8661664731865595,0.0,0.5437270128316037,0.492619322046779,0.9456272987168396,0.9296798658994102,0.9612818687426631,0.9456272987168396,0.9456272987168396
T01,1359.8,30.0,ModeA_points,5,0.15763554002288532,0.16476267201959655,0.16119910602124093,8,8,1.0,8.353245010876398,2.583594097316036,0.0,0.5216274710274783,0.4799727818975913,0.9478372528972522,0.9318952607999373,0.9605257718802078,0.9478372528972522,0.9478372528972522
T01,1359.8,30.0,ModeB_holdout_points,5,0.15763554002288532,0.16476267201959655,0.16119910602124093,23,23,1.0,1.9922140363429606,1.726295512431012,0.0,0.5313692771464673,0.5042551700284845,0.9468630722853533,0.9303737315602758,0.9599731388008159,0.9468630722853533,0.9468630722853533
T01,1359.8,30.0,ModeB_points,5,0.15763554002288532,0.16476267201959655,0.16119910602124093,19,19,1.0,1.3294595103148512,1.3803014829457818,0.0,0.5814217873310966,0.6502134167934192,0.9418578212668903,0.9240886293969618,0.963824758676256,0.9418578212668903,0.9418578212668903
T01,1359.8,30.0,ModeA_points,6,0.16477966949564207,0.17123021803557678,0.16800494376560943,8,8,1.0,7.0416106925221875,2.086993317945674,0.0,0.5764941860109943,0.6469016705479376,0.9423505813989006,0.9332397567565103,0.958271167769858,0.9423505813989006,0.9423505813989006
T01,1359.8,30.0,ModeB_holdout_points,6,0.16477966949564207,0.17123021803557678,0.16800494376560943,17,17,1.0,2.075328286581593,3.4207549102601504,0.0,0.5325482123854155,0.4937194036046115,0.9467451787614584,0.9322392872262791,0.9596015516428735,0.9467451787614584,0.9467451787614584
T01,1359.8,30.0,ModeB_points,6,0.16477966949564207,0.17123021803557678,0.16800494376560943,20,20,1.0,7.365167359714569,2.1073184437551733,0.0,0.5485387473018605,0.5080717355527682,0.945146125269814,0.9304138680127289,0.9611452042375219,0.945146125269814,0.945146125269814
T01,1359.8,30.0,ModeA_points,7,0.17128527336287389,1.0,0.5856426366814369,238,238,1.0,1.8890404267293632,1.447068679211656,0.0,0.5223473402443322,0.4648395724226764,0.9477652659755668,0.9305755612536271,0.9627636287516799,0.9477652659755668,0.9477652659755668
T01,1359.8,30.0,ModeB_holdout_points,7,0.17128527336287389,1.0,0.5856426366814369,207,207,1.0,1.5312343355573075,1.4145745024204466,0.0,0.5464248843781951,0.5016739543937397,0.9453575115621805,0.925795483413237,0.9738297414053759,0.9453575115621805,0.9453575115621805
T01,1359.8,30.0,ModeB_points,7,0.17128527336287389,1.0,0.5856426366814369,171,171,1.0,1.098291205333834,2.140877596169882,0.0,0.5703515836507458,0.6432984373743478,0.9429648416349253,0.9308129033098382,0.9625522058152433,0.9429648416349253,0.9429648416349253
T02,1359.47,30.0,ModeA_points,0,0.0,0.01621577496266392,0.00810788748133196,8,8,1.0,1.321342118850982,9.61732197771864,0.0,0.39416638437108725,0.42554883497827367,0.9605833615628914,0.9278410314429195,1.0,0.9605833615628914,0.9605833615628914
T02,1359.47,30.0,ModeB_holdout_points,0,0.0,0.01621577496266392,0.00810788748133196,15,15,1.0,8.369145612381613,1.662251619196967,0.0,0.5853304737117492,0.6371038988894306,0.9414669526288252,0.9186509682355266,0.9678800945477641,0.9414669526288252,0.9414669526288252
T02,1359.47,30.0,ModeB_points,0,0.0,0.01621577496266392,0.00810788748133196,8,8,1.0,0.8362549927327915,8.764561202808814,0.0,0.5775754889184149,0.6632352904165224,0.9422424511081585,0.9272399813272855,1.0,0.9422424511081585,0.9422424511081585
T02,1359.47,30.0,ModeA_points,1,0.017143347577045102,0.06397424393416225,0.04055879575560367,8,8,1.0,-1.1094735975195866,0.9545966941088025,0.0,0.6168403471827248,0.6790452280376191,0.9383159652817274,0.929490580457858,0.9514689416292595,0.9383159652817274,0.9383159652817274
T02,1359.47,30.0,ModeB_holdout_points,1,0.017143347577045102,0.06397424393416225,0.04055879575560367,11,11,1.0,4.386410015060143,5.711523285633962,0.0,0.4719548521008741,0.4809303451473496,0.9528045147899125,0.9280656550727285,1.0,0.9528045147899125,0.9528045147899125
T02,1359.47,30.0,ModeB_points,1,0.017143347577045102,0.06397424393416225,0.04055879575560367,9,9,1.0,1.2703795886373106,3.8970038503205995,0.0,0.6350500862423785,0.6586488769601655,0.9364949913757622,0.9257862971355694,0.9535366323584072,0.9364949913757622,0.9364949913757622
T02,1359.47,30.0,ModeA_points,2,0.06897937854837631,0.11263876645913054,0.09080907250375342,26,26,1.0,-0.5903193247548967,3.025558326563804,0.0,0.5621095152673975,0.5140554490409525,0.9437890484732604,0.9253466114368842,0.9580279557318961,0.9437890484732604,0.9437890484732604
T02,1359.47,30.0,ModeB_holdout_points,2,0.06897937854837631,0.11263876645913054,0.09080907250375342,8,8,1.0,-0.2933612620769215,1.3437252260430759,0.0,0.5926729356855944,0.5681208381308027,0.9407327064314406,0.924237250454935,0.955309759191687,0.9407327064314406,0.9407327064314406
T02,1359.47,30.0,ModeB_points,2,0.06897937854837631,0.11263876645913054,0.09080907250375342,12,12,1.0,0.21678908171341535,2.0767689788549175,0.0,0.5785003938242358,0.4992836297360721,0.9421499606175766,0.9175330249062776,0.95336835872247,0.9421499606175766,0.9421499606175766
T02,1359.47,30.0,ModeA_points,3,0.11348795036393747,0.13126954358089793,0.1223787469724177,8,8,1.0,0.2840294317026783,1.850981491571082,0.0,0.5745660831762174,0.5162208909373487,0.9425433916823783,0.9301597894718406,0.9529376130520607,0.9425433916823783,0.9425433916823783
T02,1359.47,30.0,ModeB_holdout_points,3,0.11348795036393747,0.13126954358089793,0.1223787469724177,8,8,1.0,0.07008622714646107,2.6539682613370648,0.0,0.6365645533383031,0.6534484872889452,0.9363435446661696,0.92860707990619,0.9478983477762631,0.9363435446661696,0.9363435446661696
T02,1359.47,30.0,ModeB_points,3,0.11348795036393747,0.13126954358089793,0.1223787469724177,18,18,1.0,-0.06081977538008997,2.713349934639035,0.0,0.5572014812035712,0.5033586978919031,0.9442798518796428,0.9308665000238271,0.9574873330085338,0.9442798518796428,0.9442798518796428
T02,1359.47,30.0,ModeA_points,4,0.13210539119968825,0.14604668721701503,0.13907603920835165,8,8,1.0,-0.4579044271865327,1.7100357981083083,0.0,0.558236692519479,0.5664989020662701,0.9441763307480521,0.9315348742038657,0.9572509698182564,0.9441763307480521,0.9441763307480521
T02,1359.47,30.0,ModeB_holdout_points,4,0.13210539119968825,0.14604668721701503,0.13907603920835165,19,19,1.0,-1.2811562105724938,0.9200899298679062,0.0,0.5910478373933631,0.5537265991983127,0.9408952162606636,0.9251396311033048,0.9511288883854259,0.9408952162606636,0.9408952162606636
T02,1359.47,30.0,ModeB_points,4,0.13210539119968825,0.14604668721701503,0.13907603920835165,32,32,1.0,0.48335769356350006,2.763908136949942,0.0,0.5457618157597908,0.5047140521135489,0.9454238184240209,0.9259716937992242,0.9584841716403136,0.9454238184240209,0.9454238184240209
T02,1359.47,30.0,ModeA_points,5,0.1462377570872365,0.15753367641722493,0.15188571675223073,8,8,1.0,0.9553895028989051,1.6525569860896594,0.0,0.5539871106255885,0.5352928054523018,0.9446012889374411,0.9319835337421151,0.9575637336588423,0.9446012889374411,0.9446012889374411
T02,1359.47,30.0,ModeB_holdout_points,5,0.1462377570872365,0.15753367641722493,0.15188571675223073,22,22,1.0,2.246515882975016,2.3232740105227707,0.0,0.5517310767032452,0.50483514982127,0.9448268923296758,0.9250852564450404,0.959687359036026,0.9448268923296758,0.9448268923296758
