target_label,target_mz,g_bin,g_center,baseline,compare,delta_p_success_occ,delta_x_occ_mean,delta_gate_occ_factor_mean
T01,1359.8,0,0.02937728123990639,ModeA_points,ModeB_holdout_points,0.006842436511889649,-0.06842436511889671,0.006842436511889649
T01,1359.8,0,0.02937728123990639,ModeA_points,ModeB_points,0.009189728669871444,-0.09189728669871283,0.009189728669871444
T01,1359.8,1,0.08772995251419377,ModeA_points,ModeB_holdout_points,0.003562605102909955,-0.03562605102909899,0.003562605102909955
T01,1359.8,1,0.08772995251419377,ModeA_points,ModeB_points,0.006820789750202283,-0.06820789750202333,0.006820789750202283
T01,1359.8,2,0.1223787469724177,ModeA_points,ModeB_holdout_points,-0.0041617808460092665,0.041617808460094774,-0.0041617808460092665
T01,1359.8,2,0.1223787469724177,ModeA_points,ModeB_points,-0.0003218825763867672,0.0032188257638685602,-0.0003218825763867672
T01,1359.8,3,0.13907603920835165,ModeA_points,ModeB_holdout_points,0.007514375771553006,-0.07514375771552906,0.007514375771553006
T01,1359.8,3,0.13907603920835165,ModeA_points,ModeB_points,0.0069229306483322706,-0.06922930648332215,0.0069229306483322706
T01,1359.8,4,0.15188571675223073,ModeA_points,ModeB_holdout_points,0.0026979409363369067,-0.02697940936336851,0.0026979409363369067
T01,1359.8,4,0.15188571675223073,ModeA_points,ModeB_points,0.0003528207093287383,-0.0035282070932873832,0.0003528207093287383
T01,1359.8,5,0.16119910602124093,ModeA_points,ModeB_holdout_points,-0.0009741806118989116,0.009741806118989005,-0.0009741806118989116
T01,1359.8,5,0.16119910602124093,ModeA_points,ModeB_points,-0.005979431630361853,0.05979431630361831,-0.005979431630361853
T01,1359.8,6,0.16800494376560943,ModeA_points,ModeB_holdout_points,0.004394597362557762,-0.04394597362557884,0.004394597362557762
T01,1359.8,6,0.16800494376560943,ModeA_points,ModeB_points,0.0027955438709134084,-0.027955438709133862,0.0027955438709134084
T01,1359.8,7,0.5856426366814369,ModeA_points,ModeB_holdout_points,-0.002407754413386254,0.024077544133862983,-0.002407754413386254
T01,1359.8,7,0.5856426366814369,ModeA_points,ModeB_points,-0.004800424340641429,0.04800424340641363,-0.004800424340641429
T02,1359.47,0,0.00810788748133196,ModeA_points,ModeB_holdout_points,-0.019116408934066187,0.19116408934066192,-0.019116408934066187
T02,1359.47,0,0.00810788748133196,ModeA_points,ModeB_points,-0.01834091045473285,0.18340910454732767,-0.01834091045473285
T02,1359.47,1,0.04055879575560367,ModeA_points,ModeB_holdout_points,0.014488549508185011,-0.14488549508185072,0.014488549508185011
T02,1359.47,1,0.04055879575560367,ModeA_points,ModeB_points,-0.0018209739059652508,0.018209739059653618,-0.0018209739059652508
T02,1359.47,2,0.09080907250375342,ModeA_points,ModeB_holdout_points,-0.003056342041819815,0.03056342041819693,-0.003056342041819815
T02,1359.47,2,0.09080907250375342,ModeA_points,ModeB_points,-0.0016390878556837851,0.016390878556838295,-0.0016390878556837851
T02,1359.47,3,0.1223787469724177,ModeA_points,ModeB_holdout_points,-0.006199847016208682,0.061998470162085706,-0.006199847016208682
T02,1359.47,3,0.1223787469724177,ModeA_points,ModeB_points,0.0017364601972644778,-0.01736460197264622,0.0017364601972644778
T02,1359.47,4,0.13907603920835165,ModeA_points,ModeB_holdout_points,-0.003281114487388437,0.032811144873884035,-0.003281114487388437
T02,1359.47,4,0.13907603920835165,ModeA_points,ModeB_points,0.001247487675968828,-0.01247487675968828,0.001247487675968828
T02,1359.47,5,0.15188571675223073,ModeA_points,ModeB_holdout_points,0.0002256033922346523,-0.0022560339223433035,0.0002256033922346523
T02,1359.47,5,0.15188571675223073,ModeA_points,ModeB_points,-0.000576256976976719,0.005762569769767079,-0.000576256976976719
T02,1359.47,6,0.16119910602124093,ModeA_points,ModeB_holdout_points,0.0037382978832583014,-0.037382978832583125,0.0037382978832583014
T02,1359.47,6,0.16119910602124093,ModeA_points,ModeB_points,0.002238679840925517,-0.02238679840925617,0.002238679840925517
T02,1359.47,7,0.582389834747821,ModeA_points,ModeB_holdout_points,0.000370280202172224,-0.0037028020217235724,0.000370280202172224
T02,1359.47,7,0.582389834747821,ModeA_points,ModeB_points,0.0013452324853641118,-0.01345232485364134,0.0013452324853641118
T03,1359.59,0,0.02494648690387611,ModeA_points,ModeB_holdout_points,-0.003051871358511815,0.030518713585119484,-0.003051871358511815
T03,1359.59,0,0.02494648690387611,ModeA_points,ModeB_points,0.0029020063712917876,-0.029020063712916433,0.0029020063712917876
T03,1359.59,1,0.08191918017060346,ModeA_points,ModeB_holdout_points,0.0003315297115412674,-0.0033152971154132294,0.0003315297115412674
T03,1359.59,1,0.08191918017060346,ModeA_points,ModeB_points,-0.005603321686929119,0.05603321686928975,-0.005603321686929119
T03,1359.59,2,0.1203652299318847,ModeA_points,ModeB_holdout_points,-0.004960060799350963,0.04960060799351035,-0.004960060799350963
T03,1359.59,2,0.1203652299318847,ModeA_points,ModeB_points,-0.0004945189623043467,0.0049451896230438,-0.0004945189623043467
T03,1359.59,3,0.13787446799550784,ModeA_points,ModeB_holdout_points,0.004707026325920127,-0.04707026325920127,0.004707026325920127
T03,1359.59,3,0.13787446799550784,ModeA_points,ModeB_points,0.005741083467899255,-0.057410834678992106,0.005741083467899255
T03,1359.59,4,0.15188571675223073,ModeA_points,ModeB_holdout_points,0.0011540772921768694,-0.011540772921768028,0.0011540772921768694
T03,1359.59,4,0.15188571675223073,ModeA_points,ModeB_points,0.0005505455760026479,-0.005505455760026479,0.0005505455760026479
T03,1359.59,5,0.16119910602124093,ModeA_points,ModeB_holdout_points,0.0016198932119733112,-0.01619893211973178,0.0016198932119733112
