galaxy,r_kpc,v_obs_kms,e_v_kms,v_gas_kms,v_disk_kms,v_bul_kms,ups_disk,ups_bulge,v_bar_kms,g_obs_mps2,g_bar_mps2,sigma_log10_gobs,env_scale
D512-2_rotmod,1.92,33.5,2.71,6.24,21.2,0.0,0.5,0.7,16.237536759003813,1.894252373739031e-11,4.450292133253161e-12,0.07026495796763059,1.1646006944444443
D512-2_rotmod,2.88,37.2,4.19,7.45,20.56,0.0,0.5,0.7,16.33582872094342,1.5571944485780173e-11,3.0028892105403496e-12,0.09783300425670027,1.1646006944444443
D512-2_rotmod,3.83,35.9,5.98,8.09,20.08,0.0,0.5,0.7,16.3417043174817,1.0905349232451155e-11,2.2596718596845798e-12,0.1446841783722254,1.1646006944444443
D564-8_rotmod,0.51,8.54,1.53,3.47,6.36,0.0,0.5,0.7,5.680290485529768,4.634416055412562e-12,2.05031396704755e-12,0.1556137136562003,0.49749511111111117
D564-8_rotmod,1.02,15.1,1.41,5.33,8.66,0.0,0.5,0.7,8.11829415579406,7.244412605747154e-12,2.094010474466892e-12,0.08110665158722981,0.49749511111111117
D564-8_rotmod,1.53,19.8,1.8,6.34,9.09,0.0,0.5,0.7,9.028269490882513,8.30402034401156e-12,1.7265018667311036e-12,0.07896263307331851,0.49749511111111117
D564-8_rotmod,2.04,21.9,1.82,6.86,8.75,0.0,0.5,0.7,9.238011149592753,7.619167426521628e-12,1.3557395059979322e-12,0.07218410566793776,0.49749511111111117
D564-8_rotmod,2.56,24.0,1.89,7.05,8.17,0.0,0.5,0.7,9.114655780664457,7.291753401249822e-12,1.0516955429304883e-12,0.06840138089976215,0.49749511111111117
D564-8_rotmod,3.07,25.0,2.05,7.04,7.65,0.0,0.5,0.7,8.878223358307675,6.597677706523545e-12,8.320764163354394e-13,0.07122429503213329,0.49749511111111117
D631-7_rotmod,0.45,8.41,1.58,8.4,9.99,0.0,0.5,0.7,10.975429376566549,5.093648036927778e-12,8.675209672120726e-12,0.1631831822609127,3.699211111111111
D631-7_rotmod,0.9,17.8,2.22,13.51,15.52,0.0,0.5,0.7,17.405611164219426,1.140898344519503e-11,1.0909014020748938e-11,0.10832963481182235,3.699211111111111
D631-7_rotmod,1.35,26.0,2.35,16.7,20.76,0.0,0.5,0.7,22.234630646808597,1.6227902219736228e-11,1.1867945008743394e-11,0.07850707942097243,3.699211111111111
D631-7_rotmod,1.8,30.9,2.22,18.72,21.37,0.0,0.5,0.7,24.057781485415482,1.7190713740857636e-11,1.0420489048276934e-11,0.06240347895308861,3.699211111111111
D631-7_rotmod,2.25,34.7,1.82,19.9,19.92,0.0,0.5,0.7,24.38059064091762,1.7343066376120292e-11,8.561608835254894e-12,0.04555711568091748,3.699211111111111
D631-7_rotmod,2.69,38.8,1.81,20.61,18.76,0.0,0.5,0.7,24.510016319864008,1.8136798414502326e-11,7.237429989004344e-12,0.040519227435303395,3.699211111111111
D631-7_rotmod,3.14,42.5,1.57,20.73,17.36,0.0,0.5,0.7,24.091859621042126,1.864222162916842e-11,5.990463889767303e-12,0.03208669819238143,3.699211111111111
D631-7_rotmod,3.59,45.6,1.59,20.61,16.32,0.0,0.5,0.7,23.62082344034602,1.8770882516153302e-11,5.036688276669204e-12,0.030286325711674136,3.699211111111111
D631-7_rotmod,4.04,48.8,1.83,20.38,15.37,0.0,0.5,0.7,23.09681471545373,1.9103270868946507e-11,4.279295435564272e-12,0.032572086142743886,3.699211111111111
D631-7_rotmod,4.49,51.8,1.91,19.9,14.49,0.0,0.5,0.7,22.382807017887636,1.936701251805946e-11,3.6160315774113522e-12,0.03202712202452552,3.699211111111111
D631-7_rotmod,4.94,54.8,2.19,19.43,13.72,0.0,0.5,0.7,21.717368625135045,1.9700789144479767e-11,3.094118281920297e-12,0.03471185822511392,3.699211111111111
D631-7_rotmod,5.39,56.6,2.73,18.84,13.04,0.0,0.5,0.7,20.97537603953741,1.9261652876609262e-11,2.6453320912270787e-12,0.04189483871363524,3.699211111111111
D631-7_rotmod,5.84,58.4,3.27,18.25,12.45,0.0,0.5,0.7,20.26237276332661,1.8926151050355092e-11,2.2783330445147503e-12,0.04863503273368607,3.699211111111111
D631-7_rotmod,6.29,58.5,3.95,17.65,11.93,0.0,0.5,0.7,19.56233498332957,1.7632363948014276e-11,1.9716970752655836e-12,0.05864831465018273,3.699211111111111
D631-7_rotmod,6.74,57.7,4.07,17.06,11.48,0.0,0.5,0.7,18.892824034537558,1.6008151454828233e-11,1.7162609356663562e-12,0.061267887048396356,3.699211111111111
D631-7_rotmod,7.19,57.3,3.94,16.47,11.08,0.0,0.5,0.7,18.238533384019668,1.47989127026979e-11,1.4993409040832548e-12,0.059724965399609496,3.699211111111111
DDO064_rotmod,0.1,6.29,4.62,-1.13,1.96,0.0,0.5,0.7,1.788211396899147,1.282185158855058e-11,1.0363039933856243e-12,0.6379779034636004,2.3983684444444444
DDO064_rotmod,0.3,13.9,4.62,-2.45,6.31,0.0,0.5,0.7,5.090240662287,2.087169888378486e-11,2.7990124606037563e-12,0.28869647574000334,2.3983684444444444
DDO064_rotmod,0.49,15.6,4.62,-0.64,9.67,0.0,0.5,0.7,6.867608754144341,1.6095429548554707e-11,3.1193525805371118e-12,0.2572359623580799,2.3983684444444444
DDO064_rotmod,0.69,18.4,4.62,2.49,13.92,0.0,0.5,0.7,10.152994632127017,1.5901423713540355e-11,4.841597445327252e-12,0.21809135939054605,2.3983684444444444
DDO064_rotmod,0.89,22.5,4.62,1.87,15.16,0.0,0.5,0.7,10.881622121724316,1.8434208036867528e-11,4.311682061003601e-12,0.1783502672349354,2.3983684444444444
DDO064_rotmod,1.09,26.5,4.62,4.97,16.41,0.0,0.5,0.7,12.6231909594999,2.0879240880846838e-11,4.737631319610531e-12,0.1514294721806055,2.3983684444444444
DDO064_rotmod,1.29,35.3,4.62,9.29,17.34,0.0,0.5,0.7,15.383169374351956,3.1304671820028905e-11,5.944993554533056e-12,0.11367934880413731,2.3983684444444444
DDO064_rotmod,1.48,40.5,4.62,13.62,18.34,0.0,0.5,0.7,18.806440386208124,3.591681236156162e-11,7.744634789223781e-12,0.09908348179718633,2.3983684444444444
DDO064_rotmod,1.68,44.2,4.89,16.26,19.12,0.0,0.5,0.7,21.14650798595362,3.7686405065655297e-11,8.626159705960875e-12,0.09609502337135298,2.3983684444444444
DDO064_rotmod,1.88,46.3,4.62,18.16,19.54,0.0,0.5,0.7,22.818663413968835,3.695333061164357e-11,8.975776092083997e-12,0.08667129617248481,2.3983684444444444
DDO064_rotmod,2.08,46.4,4.62,19.64,19.1,0.0,0.5,0.7,23.835574253623513,3.3544558552894904e-11,8.851917525465186e-12,0.08648450458590617,2.3983684444444444
DDO064_rotmod,2.27,46.3,4.62,20.17,18.77,0.0,0.5,0.7,24.145089562890423,3.060452050655943e-11,8.323025763565968e-12,0.08667129617248481,2.3983684444444444
DDO064_rotmod,2.37,46.4,6.73,20.59,18.61,0.0,0.5,0.7,24.435919258337716,2.94399501223719e-11,8.165042914574582e-12,0.12598283893141743,2.3983684444444444
DDO064_rotmod,2.98,46.9,8.65,22.17,17.21,0.0,0.5,0.7,25.290333133432625,2.3920974942465505e-11,6.9557231955333596e-12,0.16019817775962167,2.3983684444444444
DDO154_rotmod,0.49,13.8,1.6,3.74,12.31,0.0,0.5,0.7,9.473945851650198,1.2595387915954794e-11,5.936290849604431e-12,0.10070596681814534,2.4502684444444434
DDO154_rotmod,0.99,21.6,0.8,7.46,14.55,0.0,0.5,0.7,12.70837715839438,1.527290894225417e-11,5.286819105719595e-12,0.03216996162246309,2.4502684444444434
DDO154_rotmod,1.48,28.9,0.7,10.87,12.95,0.0,0.5,0.7,14.212957116659432,1.8288724799573165e-11,4.423404248776829e-12,0.021038487012614272,2.4502684444444434
