channel,i,E_lo,E_hi,E_ctr,obs,pred_sm,pred_geo,bkg,P_sm,P_geo,dphi,dphi_base,dphi_breath,dphi_thread,thread_weight,thread_amp,thread_phase,breath_amp,breath_phase,k_rt,kappa_gate,eta,omega,trace_rho_sm,min_eig_rho_sm,purity_rho_sm,herm_err_rho_sm,Pe_sm,Pmu_sm,Ptau_sm,trace_rho_geo,min_eig_rho_geo,purity_rho_geo,herm_err_rho_geo,Pe_geo,Pmu_geo,Ptau_geo
T2K_app_FHC,0,0.0,0.06666666666666667,0.03333333333333333,17.0,16.985294117647058,17.043524376093742,0.0,0.007223553243907752,0.007248317570588391,0.0013909633914305224,0.001399254735770708,-6.243253402417594e-05,9.023531613998367e-06,6.0,0.15081124444652771,-2.975189001805308,0.15081124444652771,-2.975189001805308,180.0,0.0,0.0,0.010649466622338281,0.9999999999999989,-2.839973841158765e-10,0.9999999997613742,0.0,0.007223553243907752,0.8287375911571266,0.16403885559896442,1.0000000000000004,-2.842099888169351e-10,0.9999999997610797,0.0,0.007248317570588391,0.8277303015912407,0.16502138083817122
T2K_app_FHC,1,0.06666666666666667,0.13333333333333333,0.1,10.0,7.5,7.464850807689815,0.0,0.039313122142797474,0.03912887887739601,0.004172890174291568,0.004197764207312125,-0.00018729760207252783,2.7070594841995105e-05,6.0,0.15081124444652771,-2.975189001805308,0.15081124444652771,-2.975189001805308,180.0,0.0,0.0,0.010649466622338281,0.9999999999999996,-1.3131732403083079e-12,0.9999999999996707,0.0,0.039313122142797474,0.3765650871306668,0.5841217907265353,1.0000000000000013,-1.3224304976158608e-12,0.9999999999996709,0.0,0.03912887887739601,0.380605659108839,0.5802654620137664
T2K_app_FHC,2,0.13333333333333333,0.2,0.16666666666666669,10.0,7.5,7.534916596290565,0.0,0.042915602248141095,0.043115397815909735,0.006954816957152617,0.006996273678853545,-0.0003121626701208799,4.511765806999186e-05,6.0,0.15081124444652771,-2.975189001805308,0.15081124444652771,-2.975189001805308,180.0,0.0,0.0,0.010649466622338281,1.0000000000000004,-1.0417091673606734e-13,0.9999999999999847,0.0,0.042915602248141095,0.05317993189268262,0.9039044658591767,1.0000000000000002,-1.066670139739573e-13,0.9999999999999845,0.0,0.043115397815909735,0.05011728417205177,0.9067673180120387
T2K_app_FHC,3,0.2,0.26666666666666666,0.23333333333333334,16.0,16.102941176470587,16.35766026629099,0.0,0.02790520578900872,0.028346615127956894,0.00973674374001366,0.009794783150394962,-0.00043702773816923173,6.31647212979886e-05,6.0,0.15081124444652771,-2.975189001805308,0.15081124444652771,-2.975189001805308,180.0,0.0,0.0,0.010649466622338281,1.0000000000000002,-1.9498750327182452e-14,0.9999999999999981,0.0,0.02790520578900872,0.33247975718964307,0.6396150370213485,0.9999999999999976,-2.0433914161207702e-14,0.999999999999993,0.0,0.028346615127956894,0.32334684157042703,0.6483065433016136
T2K_app_FHC,4,0.26666666666666666,0.3333333333333333,0.3,22.0,20.073529411764703,20.684445373492448,0.0,0.018491771740812197,0.01905454863397117,0.012518670522874704,0.012593292621936376,-0.0005618928062175836,8.121178452598533e-05,6.0,0.15081124444652771,-2.975189001805308,0.15081124444652771,-2.975189001805308,180.0,0.0,0.0,0.010649466622338281,1.0000000000000002,-5.4907657240717236e-15,0.9999999999999996,0.0,0.018491771740812197,0.541562240459139,0.43994598780004907,1.0,-6.0553239280845905e-15,0.9999999999999996,0.0,0.01905454863397117,0.529083220197546,0.45186223116848295
T2K_app_FHC,5,0.3333333333333333,0.4,0.3666666666666667,22.0,20.073529411764703,21.05206391994193,0.0,0.012926807762214308,0.013556957409365364,0.01530059730573575,0.015391802093477793,-0.0006867578742659354,9.925884775398205e-05,6.0,0.15081124444652771,-2.975189001805308,0.15081124444652771,-2.975189001805308,180.0,0.0,0.0,0.010649466622338281,1.0,-1.9166216983670178e-15,0.9999999999999994,0.0,0.012926807762214308,0.6731618563989723,0.3139113358388133,0.9999999999999996,-2.3508932301682286e-15,0.9999999999999992,0.0,0.013556957409365364,0.6587371625680132,0.32770588002262097
T2K_app_FHC,6,0.4,0.4666666666666667,0.43333333333333335,15.0,16.323529411764703,17.480827706269537,0.0,0.009476372498194751,0.010148224121309368,0.018082524088596796,0.01819031156501921,-0.0008116229423142875,0.00011730591098197882,6.0,0.15081124444652771,-2.975189001805308,0.15081124444652771,-2.975189001805308,180.0,0.0,0.0,0.010649466622338281,1.0000000000000002,-8.190099726489967e-16,1.0,0.0,0.009476372498194751,0.7574476354798948,0.2330759920219106,1.000000000000001,-9.121816316812222e-16,1.0000000000000018,0.0,0.010148224121309368,0.7417891748431416,0.24806260103555022
T2K_app_FHC,7,0.4666666666666667,0.5333333333333333,0.5,6.0,10.588235294117649,11.615446846631484,0.0,0.00721872601601627,0.007919046565390879,0.02086445087145784,0.020988821036560627,-0.0009364880103626393,0.00013535297420997554,6.0,0.15081124444652771,-2.975189001805308,0.15081124444652771,-2.975189001805308,180.0,0.0,0.0,0.010649466622338281,0.9999999999999983,-3.713004635486574e-16,0.9999999999999964,0.0,0.00721872601601627,0.8136954075209398,0.17908586646304225,0.9999999999999996,-4.490766712883458e-16,0.999999999999999,0.0,0.007919046565390879,0.7971875993598954,0.19489335407471337
T2K_app_FHC,8,0.5333333333333333,0.6,0.5666666666666667,9.0,5.514705882352942,6.216392079537253,0.0,0.005670645249224727,0.0063921730306505005,0.023646377654318883,0.023787330508102042,-0.0010613530784109911,0.00015340003743797225,6.0,0.15081124444652771,-2.975189001805308,0.15081124444652771,-2.975189001805308,180.0,0.0,0.0,0.010649466622338281,1.0000000000000016,-1.6326093282075333e-16,1.0000000000000029,0.0,0.005670645249224727,0.8527769543795561,0.1415524003712207,1.000000000000001,-1.784385237915386e-16,1.000000000000002,0.0,0.0063921730306505005,0.8356394359014174,0.15796839106793323
T2K_app_FHC,9,0.6,0.6666666666666666,0.6333333333333333,9.0,5.514705882352942,6.406590501987086,0.0,0.004566829454008326,0.0053054155250363555,0.02642830443717993,0.02658583997964346,-0.001186218146459343,0.000171447100665969,6.0,0.15081124444652771,-2.975189001805308,0.15081124444652771,-2.975189001805308,180.0,0.0,0.0,0.010649466622338281,0.9999999999999996,-2.0879092713410538e-16,0.9999999999999993,0.0,0.004566829454008326,0.880906018191491,0.11452715235450028,0.9999999999999997,-1.0867980283992873e-16,0.9999999999999989,0.0,0.0053054155250363555,0.8632696885287672,0.13142489594619608
T2K_app_FHC,10,0.6666666666666666,0.7333333333333333,0.7,1.0,2.647058823529412,3.17820944815451,0.0,0.003753837846906565,0.004507071322265183,0.029210231220040975,0.029384349451184875,-0.0013110832145076948,0.0001894941638939657,6.0,0.15081124444652771,-2.975189001805308,0.15081124444652771,-2.975189001805308,180.0,0.0,0.0,0.010649466622338281,0.9999999999999999,-2.81185722847536e-16,1.0000000000000002,0.0,0.003753837846906565,0.9017695459858894,0.09447661616720389,0.9999999999999997,-9.630230187385812e-17,0.9999999999999992,0.0,0.004507071322265183,0.8837145067425719,0.11177842193516259
T2K_app_FHC,11,0.7333333333333333,0.8,0.7666666666666666,2.0,1.5441176470588234,1.9212182646843898,0.0,0.0031385831794213713,0.0039050802515087323,0.03199215800290202,0.03218285892272629,-0.0014359482825560467,0.00020754122712196248,6.0,0.15081124444652771,-2.975189001805308,0.15081124444652771,-2.975189001805308,180.0,0.0,0.0,0.010649466622338281,1.0000000000000009,-4.9806465791739056e-17,1.0000000000000016,0.0,0.0031385831794213713,0.9176442814819613,0.07921713533861809,0.9999999999999987,-1.0246409927919614e-16,0.9999999999999976,0.0,0.0039050802515087323,0.8992199984812489,0.09687492126724107
T2K_app_FHC,12,0.8,0.8666666666666667,0.8333333333333334,1.0,1.1029411764705883,1.4256860997855847,0.0,0.002662181449077747,0.0034411944789318515,0.03477408478576306,0.03498136839426771,-0.0015608133506043991,0.00022558829034995925,6.0,0.15081124444652771,-2.975189001805308,0.15081124444652771,-2.975189001805308,180.0,0.0,0.0,0.010649466622338281,0.9999999999999993,-1.050660946463561e-16,0.9999999999999989,0.0,0.002662181449077747,0.9299892558922189,0.06734856265870269,0.9999999999999994,-1.2024382107669368e-17,0.9999999999999987,0.0,0.0034411944789318515,0.9112258845598866,0.08533292096118096
