label,target_mz,window_ppm
T01,1359.8,30.0
T02,1359.47,30.0
T03,1359.59,30.0
T04,1359.68,30.0
T05,816.22,30.0
T06,874.45,30.0
T07,874.37,30.0
T08,816.28,30.0
T09,816.15,30.0
T10,1359.91,30.0
T11,1529.53,30.0
T12,816.35,30.0
