setting,scan,tic,g,drift_obs_ppm,drift_state_ppm,residual_ppm,width_obs_ppm
ModeA_points,0,2880645.6178457737,0.003397355421792993,-9.032473327106523,-9.032473327106523,0.0,17.33517359546758
ModeA_points,1,2596175.3161836863,0.0,-7.688683707316111,-8.931689105622242,1.2430053983061313,0.0
ModeA_points,2,2855348.542347729,0.002801929508247365,-8.74023510840197,-8.917209356694759,0.17697424829278852,0.0
ModeA_points,3,2803975.8152570873,0.0015927520694702928,-9.228445970905678,-8.940663640381889,-0.28778233052378965,0.0
ModeA_points,4,2620419.252092123,0.0,-8.295492205920667,-8.892275782797297,0.5967835768766303,0.0
ModeA_points,5,2662311.3936886117,0.0,-8.714068659769348,-8.8789102485702,0.16484158880085253,0.0
ModeA_points,6,2633620.5623630285,0.0,-9.091362567507979,-8.894844172490533,-0.1965183950174456,0.0
ModeA_points,7,2461958.867040634,0.0,-8.407436816184362,-8.85828862076757,0.45085180458320906,4.263738230466428
ModeA_points,8,2598727.669583082,0.0,-9.237822313251955,-8.8867536477039,-0.3510686655480555,5.354245348805737
ModeA_points,9,2597908.6184910536,0.0,-7.562347522022745,-8.787423188277813,1.2250756662550684,0.0
ModeA_points,10,2597260.69211947,0.0,-8.551843108569187,-8.769754682299666,0.2179115737304791,0.0
ModeA_points,11,2687603.271432996,0.0,-9.525650307496031,-8.826446854189394,-0.6992034533066374,0.0
ModeA_points,12,3277072.677307129,0.012728194634896144,-8.750741705616326,-8.820552160326585,0.06981045471025915,0.0
ModeA_points,13,4893106.5135650635,0.05076533546364169,-4.947468324326619,-8.485831732578585,3.538363408251967,0.0
ModeA_points,14,8071211.216674805,0.1255694722635281,-11.851744453775058,-8.833372760587611,-3.018371693187447,0.0
ModeA_points,15,7421335.147323608,0.11027311706567963,-12.416382425599107,-9.19099815541686,-3.2253842701822464,0.0
ModeA_points,16,7683311.632339478,0.11643934714749697,-9.507380072737647,-9.223015642593893,-0.28436443014375357,0.08566297626632924
ModeA_points,17,4852418.952041626,0.04980765841943516,-10.647183687074374,-9.345788502915484,-1.3013951841588902,0.0
ModeA_points,18,4074183.148300171,0.031490056274772533,-9.689066696076951,-9.373966583567219,-0.31510011250973236,0.0
ModeA_points,19,3647910.180616379,0.021456723717317498,-9.666531248931031,-9.39732136628819,-0.2692098826428406,0.0
ModeA_points,20,3751116.3504579663,0.02388592261685918,-10.444322315382069,-9.481473368791445,-0.9628489465906238,0.0
ModeA_points,21,5334630.48274231,0.061157636056648014,-10.599121159207236,-9.580676309853926,-1.01844484935331,0.0
ModeA_points,22,4451947.91658783,0.04038163476100583,-10.496931778423276,-9.657720446074524,-0.8392113323487518,0.0
ModeA_points,23,4817764.550613403,0.04899198592676416,-11.02018817797373,-9.774924275955012,-1.245263902018717,0.0
ModeA_points,24,3899220.691390991,0.027371905117363492,-9.751851466491447,-9.773051717226174,0.021200250734727533,0.0
