sqrts_GeV,t,F_re,F_im,rho_pred,chiI_min,chiI_max,S_abs_max,sigma_tot_data_mb,sigma_tot_resid_mb,sigma_tot_pred_mb_sm,sigma_tot_pred_mb_geo,obs,pred_sm,pred_geo,resid_sm,resid_geo,var_diag,chi2_contrib_sm_diag,chi2_contrib_geo_diag,dchi2_contrib_diag
13000.0,18.945409272887343,4.554826964038563,108.686230398315,0.0419080406721804,0.0015457796568962,3.637137197665975,0.9984554144451256,110.5,1.813769601684996,108.686230398315,107.81099881998188,110.5,108.686230398315,107.81099881998188,1.8137696016849958,2.689001180018124,5.76,0.5711389180549563,1.255334608704664,-0.6841956906497076
13000.0,18.945409272887343,4.554826964038563,108.686230398315,0.0419080406721804,0.0015457796568962,3.637137197665975,0.9984554144451256,104.7,-3.986230398315002,108.686230398315,107.81099881998188,104.7,108.686230398315,107.81099881998188,-3.9862303983150014,-3.110998819981873,1.21,13.132258502851714,7.998606328866617,5.133652173985097
8000.0,17.974393641323946,4.404606967082766,103.30932181920171,0.0426351358185384,0.0011637338931106,3.507658350387385,0.9988369429825832,101.7,-1.6093218192017105,103.30932181920171,103.64554492187168,101.7,103.30932181920171,103.64554492187168,-1.6093218192017105,-1.9455449218716723,8.41,0.3079568035384902,0.4500766995268313,-0.14211989598834113
8000.0,17.974393641323946,4.404606967082766,103.30932181920171,0.0426351358185384,0.0011637338931106,3.507658350387385,0.9988369429825832,96.07,-7.23932181920172,103.30932181920171,103.64554492187168,96.07,103.30932181920171,103.64554492187168,-7.23932181920172,-7.575544921871682,0.8464,61.91845510629737,67.80349818442323,-5.885043078125861
7000.0,17.7073308560749,4.3629883258568265,101.8407383601389,0.0428412872501769,0.0010731203022483,3.472045569652148,0.9989274552854333,98.0,-3.8407383601389,101.8407383601389,102.48646418409608,98.0,101.8407383601389,102.48646418409608,-3.8407383601389,-4.486464184096079,6.25,2.3602033841667915,3.220537740028303,-0.8603343558615113
7000.0,17.7073308560749,4.3629883258568265,101.8407383601389,0.0428412872501769,0.0010731203022483,3.472045569652148,0.9989274552854333,95.35,-6.490738360138906,101.8407383601389,102.48646418409608,95.35,101.8407383601389,102.48646418409608,-6.490738360138906,-7.136464184096084,1.8496,22.777727324707335,27.535208180626185,-4.75748085591885
2760.0,15.845971917422393,4.06941447607185,91.73687043676529,0.0443596392235433,0.000586351883653,3.2238089032002266,0.9994138199870188,84.7,-7.036870436765284,91.73687043676529,92.55334133649332,84.7,91.73687043676529,92.55334133649332,-7.036870436765284,-7.853341336493315,10.89,4.547065706503327,5.663449967628522,-1.1163842611251953
2760.0,15.845971917422393,4.06941447607185,91.73687043676529,0.0443596392235433,0.000586351883653,3.2238089032002266,0.9994138199870188,85.6,-6.136870436765292,91.73687043676529,92.55334133649332,85.6,91.73687043676529,92.55334133649332,-6.136870436765292,-6.953341336493324,1.96,19.214887121246853,24.667834562136104,-5.45294744088925
1960.0,15.161399504449124,3.959896289682403,88.08224004673137,0.0449568072699049,0.0004606372743348,3.1324906645206987,0.999539468802726,78.6,-9.482240046731375,88.08224004673137,88.1646363333622,78.6,88.08224004673137,88.1646363333622,-9.482240046731377,-9.564636333362202,8.41,10.691186243024527,10.877796455347484,-0.18661021232295738
1800.0,14.991083887768513,3.9325151081427214,87.17839177683729,0.0451088283230703,0.0004330421836427,3.1097681120438394,0.9995670515655908,80.03,-7.148391776837286,87.17839177683729,87.06299047847476,80.03,87.17839177683729,87.06299047847476,-7.148391776837286,-7.032990478474758,5.0176,10.184053132006325,9.857891236909401,0.3261618950969236
