target_label,target_mz,g_bin,g_center,baseline,compare,delta_p_success,ratio_mad_success
T02,1359.47,0,0.00569866436721068,ModeA_points,ModeB_holdout_points,-0.3181818181818182,1.9870814650469468
T02,1359.47,1,0.02876741847903696,ModeA_points,ModeB_holdout_points,-0.2692307692307692,1.0875764832901345
T02,1359.47,2,0.0889835613482258,ModeA_points,ModeB_holdout_points,-0.08333333333333337,1.013377037310426
T02,1359.47,3,0.13846613963391358,ModeA_points,ModeB_holdout_points,-0.17045454545454541,0.36956230071639956
T02,1359.47,4,0.15434882613821935,ModeA_points,ModeB_holdout_points,0.175,4.48139864890899
T02,1359.47,5,0.1647832953661028,ModeA_points,ModeB_holdout_points,-0.11363636363636365,1.0384285425047528
T02,1359.47,6,0.17120579175793643,ModeA_points,ModeB_holdout_points,-0.16666666666666663,1.0029625243367049
T02,1359.47,7,0.5866111563031892,ModeA_points,ModeB_holdout_points,0.05172020961494639,0.8790341933192706
