target_label,target_mz,g_bin,g_center,baseline,compare,delta_p_success,ratio_mad_success
T11,1529.53,0,0.0024256716107577984,ModeA_points,ModeB_holdout_points,-0.011904761904761918,0.3785184720933157
T11,1529.53,1,0.009229208595182468,ModeA_points,ModeB_holdout_points,0.07954545454545459,4.2836586192618595
T11,1529.53,2,0.02056936059538888,ModeA_points,ModeB_holdout_points,0.375,
T11,1529.53,3,0.04426358077320648,ModeA_points,ModeB_holdout_points,-0.041666666666666685,0.3880816911918169
T11,1529.53,4,0.09704230555599858,ModeA_points,ModeB_holdout_points,-0.41666666666666663,0.9827286941156642
T11,1529.53,5,0.1407229600705405,ModeA_points,ModeB_holdout_points,0.1029411764705882,0.9509006831625428
T11,1529.53,6,0.15656517450491197,ModeA_points,ModeB_holdout_points,0.29545454545454547,1.3490236136234872
T11,1529.53,7,0.5807614056933623,ModeA_points,ModeB_holdout_points,0.18148097454147272,0.7993335679458183
