target_label,target_mz,g_bin,g_center,baseline,compare,delta_p_success,ratio_mad_success
T07,874.37,0,0.007642257132257308,ModeA_points,ModeB_points,0.0,
T07,874.37,1,0.041676818126833895,ModeA_points,ModeB_points,0.1111111111111111,
T07,874.37,2,0.08382204263778209,ModeA_points,ModeB_points,-0.06666666666666667,
T07,874.37,3,0.10501403164293269,ModeA_points,ModeB_points,0.024999999999999994,
T07,874.37,4,0.12428785300457175,ModeA_points,ModeB_points,-0.125,
T07,874.37,5,0.13916901305263268,ModeA_points,ModeB_points,-0.125,
T07,874.37,6,0.15052366605188,ModeA_points,ModeB_points,-0.125,
T07,874.37,7,0.5782071625459475,ModeA_points,ModeB_points,0.08441237113402061,0.8931269421416445
