fold,n_train_points,n_test_points,n_test_galaxies,A_best,alpha_best,chi2_train_base,chi2_train_best,delta_chi2_train,chi2_test_base,chi2_test_best,delta_chi2_test,use_env_scale,env_model,thread_mode,thread_q,thread_xi,thread_norm,thread_r_weight_power,thread_S0,thread_gate_p,thread_k2,thread_k4
0,2742,649,35,0.1778279410038923,0.001,783.3403356086048,143.15843273608175,640.1819028725231,162.50260233212413,37.361915749788594,125.14068658233553,,thread,down,0.6,0.5,median,1.0,,4.0,1.0,0.0
1,2803,588,35,0.1778279410038923,0.001,761.6235032710279,154.73989637795654,606.8836068930714,184.21943466970106,25.780452107724784,158.43898256197627,,thread,down,0.6,0.5,median,1.0,,4.0,1.0,0.0
2,2596,795,35,0.1778279410038923,0.001,763.8170231185914,129.94702728010407,633.8699958384873,182.02591482213748,50.57331772502029,131.45259709711718,,thread,down,0.6,0.5,median,1.0,,4.0,1.0,0.0
3,2694,697,35,0.1778279410038923,0.001,743.6123798784224,144.554971965361,599.0574079130614,202.23055806230656,35.965376509319185,166.26518155298737,,thread,down,0.6,0.5,median,1.0,,4.0,1.0,0.0
4,2729,662,35,0.1778279410038923,0.001,730.9785098862692,149.68106468069635,581.2974452055728,214.86442805445978,30.83928380521937,184.0251442492404,,thread,down,0.6,0.5,median,1.0,,4.0,1.0,0.0
