fold,n_train_points,n_test_points,n_test_galaxies,A_best,alpha_best,chi2_train_base,chi2_train_best,delta_chi2_train,chi2_test_base,chi2_test_best,delta_chi2_test,use_env_scale,env_model,thread_mode,thread_q,thread_xi,thread_norm,thread_norm_scale_train,thread_r_weight_power,thread_S0,thread_gate_p,thread_k2,thread_k4
0,1741,1650,88,0.177827941,0.001,495.25728410832903,92.96803010536263,402.2892540029664,450.5856538323999,87.55231838775438,363.0333354446455,,none,down,0.6,0.5,median,1.0,1.0,,4.0,1.0,0.0
1,1650,1741,87,0.177827941,0.001,450.5856538323999,87.55231838775438,363.0333354446455,495.25728410832903,92.96803010536263,402.2892540029664,,none,down,0.6,0.5,median,1.0,1.0,,4.0,1.0,0.0
