pair_shell,target_a,target_b,shell_offset_current,classification_current,boundary_confidence_current,mz_a_current,mz_b_current,delta_mz_current,corridor_proxy_current,rejection_proxy_current,effective_leak_ratio_current,shell_offset_rebuilt,classification_rebuilt,boundary_confidence_rebuilt,mz_a_rebuilt,mz_b_rebuilt,delta_mz_rebuilt,corridor_proxy_rebuilt,rejection_proxy_rebuilt,effective_leak_ratio_rebuilt,pair_presence,classification_changed,boundary_confidence_changed,mz_a_diff,mz_a_abs_diff,mz_b_diff,mz_b_abs_diff,delta_mz_diff,delta_mz_abs_diff,corridor_proxy_diff,corridor_proxy_abs_diff,rejection_proxy_diff,rejection_proxy_abs_diff,effective_leak_ratio_diff,effective_leak_ratio_abs_diff
adjacent,T01,T10,1,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE,1359.8,1359.91,0.1100000000001273,0.8958341352964142,0.1041658647035858,0.5520829323517928,1,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE,1359.800869447395,1359.9094342305789,0.10856478318396512,0.8971207745942053,0.10287922540579475,0.5514396127028973,matched,False,False,0.0008694473949617532,0.0008694473949617532,-0.0005657694212004571,0.0005657694212004571,-0.0014352168161621826,0.0014352168161621826,0.001286639297791048,0.001286639297791048,-0.001286639297791048,0.001286639297791048,-0.000643319648895524,0.000643319648895524
adjacent,T02,T03,1,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE,1359.47,1359.59,0.1199999999998908,0.8869204367172543,0.1130795632827457,0.5565397816413729,1,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE,1359.4677308255318,1359.5761916327867,0.10846080725491447,0.897214058409766,0.10278594159023402,0.5513929707951171,matched,False,False,-0.002269174468210622,0.002269174468210622,-0.013808367213187012,0.013808367213187012,-0.011539192744976334,0.011539192744976334,0.01029362169251169,0.01029362169251169,-0.010293621692511676,0.010293621692511676,-0.005146810846255789,0.005146810846255789
adjacent,T03,T04,1,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE,1359.59,1359.68,0.0900000000001455,0.9139311852710952,0.0860688147289048,0.5430344073644524,1,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE,1359.5761916327867,1359.692456956251,0.11626532346417662,0.8902389906668796,0.10976100933312039,0.5548805046665601,matched,False,False,-0.013808367213187012,0.013808367213187012,0.012456956250844087,0.012456956250844087,0.026265323464031112,0.026265323464031112,-0.023692194604215566,0.023692194604215566,0.02369219460421558,0.02369219460421558,0.011846097302107728,0.011846097302107728
adjacent,T04,T01,1,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE,1359.68,1359.8,0.1199999999998908,0.8869204367172543,0.1130795632827457,0.5565397816413729,1,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE,1359.692456956251,1359.800869447395,0.10841249114400853,0.8972574093509845,0.10274259064901548,0.5513712953245078,matched,False,False,0.012456956250844087,0.012456956250844087,0.0008694473949617532,0.0008694473949617532,-0.011587508855882278,0.011587508855882278,0.010336972633730235,0.010336972633730235,-0.010336972633730221,0.010336972633730221,-0.005168486316865062,0.005168486316865062
adjacent,T05,T08,1,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE,816.22,816.28,0.0599999999999454,0.9417645335843,0.0582354664156998,0.5291177332078499,1,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE,816.2170287663264,816.2833460688211,0.06631730249466727,0.9358338747532965,0.06416612524670351,0.5320830626233517,matched,False,False,-0.002971233673633833,0.002971233673633833,0.0033460688210880107,0.0033460688210880107,0.0063173024947218714,0.0063173024947218714,-0.005930658831003521,0.005930658831003521,0.005930658831003709,0.005930658831003709,0.0029653294155017607,0.0029653294155017607
adjacent,T06,T02,1,REPULSIVE,BORDERLINE,874.45,1359.47,485.02,2.2829183937880144e-211,1.0,1.0,1,REPULSIVE,STRONG_REPULSIVE,874.445628282081,1359.4677308255318,485.02210254345084,2.2781235011716054e-211,1.0,1.0,matched,False,True,-0.004371717919070761,0.004371717919070761,-0.002269174468210622,0.002269174468210622,0.0021025434508601393,0.0021025434508601393,-4.7948926164089036e-214,4.7948926164089036e-214,0.0,0.0,0.0,0.0
adjacent,T07,T06,1,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE,874.37,874.45,0.0800000000000409,0.923116346386598,0.0768836536134019,0.538441826806701,1,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE,874.3731676781169,874.445628282081,0.07246060396403209,0.9301023882856491,0.06989761171435094,0.5349488058571754,matched,False,False,0.0031676781169380774,0.0031676781169380774,-0.004371717919070761,0.004371717919070761,-0.007539396036008811,0.007539396036008811,0.006986041899051054,0.006986041899051054,-0.006986041899050957,0.006986041899050957,-0.003493020949525638,0.003493020949525638
adjacent,T08,T12,1,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE,816.28,816.35,0.07000000000005,0.9323938199059016,0.0676061800940984,0.5338030900470492,1,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE,816.2833460688211,816.3496492904699,0.06630322164880909,0.9358470521786102,0.0641529478213898,0.5320764739106949,matched,False,False,0.0033460688210880107,0.0033460688210880107,-0.00035070953015292616,0.00035070953015292616,-0.003696778351240909,0.003696778351240909,0.0034532322727085507,0.0034532322727085507,-0.0034532322727085923,0.0034532322727085923,-0.0017266161363542754,0.0017266161363542754
adjacent,T09,T05,1,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE,816.15,816.22,0.07000000000005,0.9323938199059016,0.0676061800940984,0.5338030900470492,1,STABLE-INTERMEDIATE-CANDIDATE,STRONG_STABLE,816.1508423429284,816.2170287663264,0.06618642339799408,0.9359563638609174,0.0640436361390826,0.5320218180695413,matched,False,False,0.0008423429284221129,0.0008423429284221129,-0.002971233673633833,0.002971233673633833,-0.003813576602055918,0.003813576602055918,0.0035625439550157623,0.0035625439550157623,-0.003562543955015804,0.003562543955015804,-0.0017812719775078811,0.0017812719775078811
adjacent,T10,T11,1,REPULSIVE,BORDERLINE,1359.91,1529.53,169.6199999999999,2.162569031855021e-74,1.0,1.0,1,REPULSIVE,STRONG_REPULSIVE,1359.9094342305789,1529.5291052067305,169.6196709761516,2.1632806857091175e-74,1.0,1.0,matched,False,True,-0.0005657694212004571,0.0005657694212004571,-0.0008947932694809424,0.0008947932694809424,-0.00032902384828048525,0.00032902384828048525,7.1165385409666505e-78,7.1165385409666505e-78,0.0,0.0,0.0,0.0
